,회계년도,회사명,거래소코드,ESG등급,환경,사회,지배구조,내용
0,2022,AJ네트웍스,95570,B+,C,B+,B+,
1,2022,AK홀딩스,6840,B+,B,A,B,
2,2022,AP시스템,265520,D,D,C,C,
3,2022,BGF,27410,B+,A,A+,B,
4,2022,BGF리테일,282330,A,A,A+,A,
5,2022,BNK금융지주,138930,A,A,A,A,
6,2022,BNK캐피탈,801190,-,-,-,B+,
7,2022,BYC,1460,D,D,D,D,시정명령
8,2022,CJ,1040,B+,B+,A,B+,
9,2022,CJ CGV,79160,B+,B,B+,B+,
10,2022,CJ ENM,35760,B+,B+,A,B,
11,2022,CJ대한통운,120,B+,B+,A+,B,
12,2022,CJ씨푸드,11150,B,C,B,B,
13,2022,CJ제일제당,97950,A,A,A,B+,원안의결
14,2022,CJ프레시웨이,51500,A,B,A,A,
15,2022,CMG제약,58820,D,D,D,D,
16,2022,CS홀딩스,590,C,D,D,B,
17,2022,DB,12030,B,D,B,B+,
18,2022,DB금융투자,16610,B,C,B,B,
19,2022,DB생명보험,818158,-,-,-,B+,
20,2022,DB손해보험,5830,B+,B+,A,B+,"과징금,시정명령"
21,2022,DB하이텍,990,B,B,B+,B,
22,2022,DGB금융지주,139130,A,A+,A+,A,
23,2022,DGB생명보험,813363,-,-,-,B+,
24,2022,DL,210,A,A,A+,A,
25,2022,DL건설,1880,A,A,A,B+,
26,2022,DL이앤씨,375500,A,A,A,A,
27,2022,DRB동일,4840,C,D,B+,B,
28,2022,DSR,155660,D,D,C,D,
29,2022,DSR제강,69730,C,D,C,B,
30,2022,E1,17940,B+,B+,B+,B+,
31,2022,F&F 홀딩스,7700,B,B,B+,B,
32,2022,GKL,114090,A,B,A,A,
33,2022,GS,78930,A,B+,A+,A,
34,2022,GS건설,6360,A,A,A,A,
35,2022,GS글로벌,1250,B+,C,B+,B+,
36,2022,GS리테일,7070,A,B+,A+,A,
37,2022,HDC,12630,C,D,B,C,
38,2022,HDC랩스,39570,D,D,D,D,
39,2022,HDC현대EP,89470,C,C,B,C,
