,회사명,거래소코드,회계년도,대주주지분변화분,외국인지분분변화,상장일,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,산업분류,1인년간평균급여(직원),토빈Q,target,WW지수,RDS,수명주기,산업평균_총자산증가율차분,대주주지분율,외국인지분율,업력,predict,상장협 산업분류 코드(대분류),기업규모명,배당금_현금,배당성향,종합등급,환경,사회,지배구조,한국ESG연구소,Moody's,MSCI,S&P,내용
0,(주)DB하이텍,990,2016,-25.96,3.41,1975-12-12,986788572.0,88002359,-4.49,9.23,34.58,15.98,37.98,-30.29,-23.75,11.43,8.96,29.65,62.49,0.0,64.24,180.71,134.53,106.69,42.15,188.6,80.2,123.51,4.41,14.49,0.64,116.48,제조업,53000,1.367004464,0,-0.67724327,0.069506153,성숙기,0.113259767,19.06,13.46,63,,30000,중견기업,0,0.0,,,,,,,,,
1,(주)DB하이텍,990,2017,25.96,6.69,1975-12-12,993950720.0,74401732,3.63,-4.14,33.31,-12.08,-16.95,24.71,29.62,16.21,11.12,27.62,62.7,0.0,115.41,140.48,243.53,191.87,74.02,118.07,31.86,78.01,6.05,25.84,1.15,133.86,제조업,55000,1.090339776,0,-0.444753449,0.080072058,성숙기,0.568909362,19.63,20.15,64,,30000,중견기업,10963680,14.73578599,,,,,,,,,
2,(주)DB하이텍,990,2018,0.0,8.16,1975-12-12,1066533840.0,95087399,6.69,8.4,22.51,-1.54,-21.09,-21.19,-14.1,12.97,8.43,17.12,67.83,0.0,160.4,122.34,244.51,217.15,75.96,91.0,28.08,54.62,6.77,33.47,1.6,138.53,제조업,56000,0.93927241,0,-0.671716299,0.078905792,성숙기,7.272434709,19.77,28.31,65,,30000,중견기업,10857470,11.41841097,,,,,,,,,
3,(주)DB하이텍,990,2019,-0.14,11.29,1975-12-12,1088889810.0,121159865,-3.0,11.19,15.45,20.64,60.45,20.51,2.3,12.96,9.71,17.4,63.57,0.0,199.0,102.79,194.01,170.41,38.58,68.91,34.08,39.2,13.44,40.67,1.99,125.81,제조업,66000,1.360663012,1,-0.485688783,0.068485107,성숙기,1.991705283,19.46,39.6,66,,30000,중견기업,15204861,12.54942055,,,,,,,,,
4,(주)MH에탄올,23150,2013,7.79,-0.11,1996-12-24,129697936.0,-11627211,2.54,-13.66,17.05,4.07,-44.79,1640.29,45.22930641,11.3,5.32,16.85,87.33,0.01,939.04,188.56,57.37,40.78,0.14,182.66,164.02,163.01,0.87,31.98,9.41,190.53,제조업,49954,0.806346008,0,-0.566668397,0.0,성숙기,-3.530169284,54.6,0.02,35,,30000,중소기업,0,0.0,,,,,,,,,
5,(주)MH에탄올,23150,2014,2.11,3.32,1996-12-24,85534839.0,4618332,-34.35,-33.46,15.27,-21.25,190.55,860.9023444,-98.66,-0.41,-0.19,-0.38,75.76,0.14,1048.39,107.61,90.87,68.77,0.02,62.03,59.9,55.71,5.62,56.34,10.48,141.36,제조업,50868,1.071566986,0,-1.991448177,0.0,성숙기,-33.0546157,51.79,3.34,36,,30000,중소기업,1475705,31.95320302,,,,,,,,,
6,(주)MH에탄올,23150,2015,-10.18,0.87,1996-12-24,78996052.0,7744832,-0.54,-21.69,9.65,2.86,26.84,860.9023444,8529.74,15.44,9.46,14.06,72.29,0.01,1178.69,97.6,109.55,92.01,15.38,36.47,35.48,32.17,12.69,68.59,11.79,126.67,제조업,48575,1.066972861,0,-0.922420508,0.0,쇠퇴기,-7.850747247,51.79,4.21,37,,30000,중소기업,1819632,23.49478982,,,,,,,,,
7,(주)MH에탄올,23150,2016,3.58,-2.57,1996-12-24,72339673.0,8134873,-6.84,-12.41,9.84,-2.96,7.05,4.71,8.01,16.66,10.76,13.41,69.46,0.0,1314.52,82.78,257.95,185.46,17.87,13.77,12.02,8.63,29.41,83.53,13.15,125.25,제조업,57211,0.918079795,1,-1.285583866,0.0,쇠퇴기,-8.536740233,51.79,1.64,38,,30000,중소기업,2162558,26.58379547,,,,,,,,,
8,(주)MH에탄올,23150,2017,33.68,-0.38,1996-12-24,500180086.0,5903108,689.3,330.09,3.63,6.3,-31.65,-17.16,-18.62,8.29,1.5,10.42,71.62,0.0,1410.23,388.83,44.64,41.69,7.8,368.17,177.74,237.29,3.46,21.15,23.01,921.59,제조업,55964,0.882303298,1,0.245379796,0.0,성장기,591.2689094,52.55,1.26,39,,30000,중소기업,2415000,40.91065249,,,,,,,,,
9,(주)MH에탄올,23150,2018,-24.86,-0.84,1996-12-24,440177523.0,6553371,-1.16,-65.11,-5.46,40.05,-84.87,-108.83,-101.48,-16.53,-2.56,-0.93,73.53,0.03,1355.58,448.33,20.96,16.33,4.89,380.62,154.04,239.34,0.1,20.81,19.93,583.76,제조업,71137,0.88820284,0,0.842942907,0.0,쇠퇴기,-12.02756529,55.46,0.42,40,,30000,중소기업,2347984,35.82864453,,,,,,,,,
