회사명,거래소코드,회계년도,[제조]자산(*)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),배당금_현금,[제조]      장기차입금(*)(IFRS),[제조]매출액증가율(IFRS)
(주)CMG제약,058820,2011/12,27548539,-2488268,,0,56.4
(주)CMG제약,058820,2012/12,56988604,-1453276,,0,-8.43
(주)CMG제약,058820,2013/12,55961620,-3891420,,0,25.02
(주)CMG제약,058820,2014/12,58127098,730447,,0,11.96
(주)CMG제약,058820,2015/12,56591972,2411254,,0,18.85
(주)CMG제약,058820,2016/12,110979867,3321352,,0,21.92
(주)CMG제약,058820,2017/12,109568153,1948086,,0,25.98
(주)CMG제약,058820,2018/12,114379880,886779,,0,20.05
(주)CMG제약,058820,2019/12,192243166,2823387,,0,17.56
(주)CMG제약,058820,2020/12,195355583,2944289,,0,9.96
(주)CMG제약,058820,2021/12,199174593,5628620,,0,7.78
(주)DB하이텍,000990,2011/12,1183957429,61642286,,0,-9.96
(주)DB하이텍,000990,2012/12,1149069244,68047966,,214817416,9.28
(주)DB하이텍,000990,2013/12,1049494642,28528798,,276846544,-15.44
(주)DB하이텍,000990,2014/12,1001959816,47362460,,391619824,14.98
(주)DB하이텍,000990,2015/12,1005673854,150510354,,399748737,17.42
(주)DB하이텍,000990,2016/12,1006370876,247018873,,282487037,15.98
(주)DB하이텍,000990,2017/12,977575054,182244045,146091,315595985,-12.08
(주)DB하이텍,000990,2017/12,977575054,182244045,30734,315595985,-12.08
(주)DB하이텍,000990,2017/12,977575054,182244045,10786855,315595985,-12.08
(주)DB하이텍,000990,2018/12,1050696487,182780278,30734,277380073,-1.54
(주)DB하이텍,000990,2018/12,1050696487,182780278,10826736,277380073,-1.54
(주)DB하이텍,000990,2019/12,1089400761,160796839,40979,179746294,20.64
(주)DB하이텍,000990,2019/12,1089400761,160796839,15163882,179746294,20.64
(주)DB하이텍,000990,2020/12,1179256936,310467238,40979,96717358,15.92
(주)DB하이텍,000990,2020/12,1179256936,310467238,15166418,96717358,15.92
(주)DB하이텍,000990,2021/12,1548223597,391303244,51224,96499920,29.78
(주)DB하이텍,000990,2021/12,1548223597,391303244,19511414,96499920,29.78
(주)ES큐브,050120,2011/12,45233434,1625293,,0,20.38
(주)ES큐브,050120,2012/12,44676182,4618957,,0,5.94
(주)ES큐브,050120,2013/12,47509654,4508559,,0,3.72
(주)ES큐브,050120,2014/12,44914173,2934159,,0,-18.84
(주)ES큐브,050120,2015/12,47123684,3265832,,0,-0.81
(주)ES큐브,050120,2016/12,104459992,3735385,,28600000,-5.61
(주)ES큐브,050120,2017/12,104850192,3989913,,27400000,6.57
(주)ES큐브,050120,2018/12,108481764,116879,,2100000,-15.62
(주)ES큐브,050120,2019/12,136065488,1886276,,24900000,-8.88
(주)ES큐브,050120,2020/12,81995388,-312007,,0,6.19
(주)ES큐브,050120,2021/12,76172807,3015063,,0,35.69
(주)HJ중공업,097230,2011/12,5857119000,-297988000,,178967000,-15.3
(주)HJ중공업,097230,2012/12,5938108000,-227250000,,315044000,-14.48
(주)HJ중공업,097230,2013/12,5839633000,-186309000,,588662000,-2.7
(주)HJ중공업,097230,2014/12,5469810000,-101009000,,904138000,-6.66
(주)HJ중공업,097230,2015/12,4638381000,109406000,,224253000,13.47
(주)HJ중공업,097230,2016/12,3921561000,78719000,,970466000,-5.52
(주)HJ중공업,097230,2017/12,3312303000,368798000,,5497000,-9.91
(주)HJ중공업,097230,2019/12,2465650000,140634000,,3927000,-8.08
(주)HJ중공업,097230,2020/12,2189125000,252907000,,524020000,5.29
(주)HJ중공업,097230,2021/12,2381044000,-111432000,,520778000,0.66
(주)MH에탄올,023150,2011/12,135927085,4202371,,8088960,-0.23
(주)MH에탄올,023150,2012/12,139200817,2788992,,7613360,5.28
(주)MH에탄올,023150,2013/12,122520742,5638467,,7181760,1.78
(주)MH에탄올,023150,2014/12,85253876,5125822,1475705,732160,5.8
(주)MH에탄올,023150,2015/12,78691328,13354086,1819632,484060,2.86
(주)MH에탄올,023150,2016/12,72025138,12230065,2162558,348460,-2.96
(주)MH에탄올,023150,2017/12,107437079,10755779,2415000,25212860,-1.28
(주)MH에탄올,023150,2018/12,109656889,6668746,2347984,25077260,-2.75
(주)MH에탄올,023150,2019/12,101058662,6417691,2277984,25000000,0.1
(주)MH에탄올,023150,2020/12,97515830,7639662,2277984,20300000,9.12
(주)MH에탄올,023150,2021/12,98740736,2030480,2277984,15000000,-10.5
(주)SH에너지화학,002360,2011/12,102383199,6995359,,181920,14.9
(주)SH에너지화학,002360,2012/12,102492810,363577,,4000000,11.09
(주)SH에너지화학,002360,2013/12,109984767,7500585,124,500000,19.74
(주)SH에너지화학,002360,2013/12,109984767,7500585,1663463,500000,19.74
(주)SH에너지화학,002360,2014/12,109098264,24219262,311,0,-1.22
(주)SH에너지화학,002360,2014/12,109098264,24219262,4990388,0,-1.22
(주)SH에너지화학,002360,2015/12,114048206,24557427,305,0,-5.77
(주)SH에너지화학,002360,2015/12,114048206,24557427,4879490,0,-5.77
(주)SH에너지화학,002360,2016/12,122956894,11581159,6099363,0,0.23
(주)SH에너지화학,002360,2016/12,122956894,11581159,373,0,0.23
(주)SH에너지화학,002360,2017/12,123261552,16292838,4768593,0,-13.86
(주)SH에너지화학,002360,2017/12,123261552,16292838,299,0,-13.86
