회사명,거래소코드,회계년도,[제조]총자본증가율(IFRS),[제조]비유동자산증가율(IFRS),[제조]유동자산증가율(IFRS),[제조]자기자본증가율(IFRS),[제조]매출액증가율(IFRS),[제조]정상영업이익증가율(IFRS),[제조]순이익증가율(IFRS),[제조]총포괄이익증가율(IFRS)
(주)CMG제약,058820,2011/12,2.89,-10.56,17.05,-0.62,56.4,0,0,0
(주)CMG제약,058820,2012/12,106.87,-19.28,208.38,72.78,-8.43,0,0,0
(주)CMG제약,058820,2013/12,-1.8,78.54,-18.73,55.2,25.02,0,0,0
(주)CMG제약,058820,2014/12,3.87,68.15,-25.87,0.04,11.96,-45.78,-48.84,-182.23
(주)CMG제약,058820,2015/12,-2.64,1.66,-7.15,-4.47,18.85,0,0,0
(주)CMG제약,058820,2016/12,96.11,6.43,199.16,115.71,21.92,0,0,0
(주)CMG제약,058820,2017/12,-1.27,-12.01,3.12,-3.13,25.98,-9.95,67.4,54.68
(주)CMG제약,058820,2018/12,4.39,16.47,0.18,6.16,20.05,64.75,113.94,103.53
(주)CMG제약,058820,2019/12,68.07,26.2,85.06,73.26,17.56,1.4,-49.69,-51.79
(주)CMG제약,058820,2020/12,1.62,18.52,-3.06,0.54,9.96,-30.01,-92.95,-78.8
(주)CMG제약,058820,2021/12,1.95,49.25,-14.04,1.97,7.78,-8.88,1372.34,509.4
(주)DB하이텍,000990,2011/12,-13.18,-13.8,-10.98,-22.61,-9.96,0,0,0
(주)DB하이텍,000990,2012/12,-2.95,-7.87,14.03,-5.88,9.28,0,0,0
(주)DB하이텍,000990,2013/12,-8.67,-2.2,-26.7,-28.14,-15.44,0,0,0
(주)DB하이텍,000990,2014/12,-4.53,-8.65,10.79,-31.01,14.98,0,0,0
(주)DB하이텍,000990,2015/12,0.37,-11.12,35.62,104.01,17.42,174.49,0,0
(주)DB하이텍,000990,2016/12,0.07,-4.38,9.01,31.26,15.98,38.12,-30.96,-29.69
(주)DB하이텍,000990,2017/12,-2.86,-2.05,-4.29,21.15,-12.08,-17.13,-15.45,-11.17
(주)DB하이텍,000990,2018/12,7.48,6.6,9.06,22.88,-1.54,-20.7,27.8,24.83
(주)DB하이텍,000990,2019/12,3.68,-0.56,11.16,18.94,20.64,60.48,27.42,21.12
(주)DB하이텍,000990,2020/12,8.25,8.51,7.84,23.23,15.92,32.03,36.73,41.51
(주)DB하이텍,000990,2021/12,31.29,2.12,77.6,39.07,29.78,66.79,91.31,96.91
