회사명,거래소코드,회계년도,[제조]매출액순이익률(IFRS),[제조]총자본순이익률(IFRS),[제조]자기자본순이익률(IFRS),[제조]매출원가 대 매출액비율(IFRS),[제조]광고선전비 대 매출액비율(IFRS),[제조]유보율(IFRS)
(주)CMG제약,058820,2011/12,-7.12,-4.66,-6.89,58.17,0.26,-16.28
(주)CMG제약,058820,2012/12,-42.4,-16.31,-27.63,71.66,0.14,-4.27
(주)CMG제약,058820,2013/12,1.65,0.59,0.83,61.54,0.26,13.24
(주)CMG제약,058820,2014/12,0.75,0.3,0.35,62.93,0.21,13.28
(주)CMG제약,058820,2015/12,-13.49,-6.36,-7.61,63.74,1.46,6.17
(주)CMG제약,058820,2016/12,5.14,2.02,2.29,59.64,1.57,86.02
(주)CMG제약,058820,2017/12,6.83,2.57,2.85,56.57,1.04,79.9
(주)CMG제약,058820,2018/12,12.16,5.42,6.01,54.4,1.67,90.99
(주)CMG제약,058820,2019/12,5.2,1.99,2.15,50.66,1.05,159.42
(주)CMG제약,058820,2020/12,0.33,0.11,0.12,51.58,1.2,160.82
(주)CMG제약,058820,2021/12,4.56,1.6,1.73,51.85,1.49,165.97
(주)DB하이텍,000990,2011/12,-17.42,-7.31,-27.84,82.94,0,73.37
(주)DB하이텍,000990,2012/12,-5.5,-2.75,-11.35,83.4,0,59.48
(주)DB하이텍,000990,2013/12,-14.83,-6.66,-31.05,81.92,0,24.76
(주)DB하이텍,000990,2014/12,-10.27,-5.69,-34.99,75.89,0,-3.23
(주)DB하이텍,000990,2015/12,19.12,12.7,61.61,65.54,0,35.37
(주)DB하이텍,000990,2016/12,11.38,8.75,27.41,62.49,0,74.37
(주)DB하이텍,000990,2017/12,10.95,7.5,18.46,62.7,0,109.01
(주)DB하이텍,000990,2018/12,14.21,9.38,19.32,67.83,0,153.28
(주)DB하이텍,000990,2019/12,15.01,11.32,20.4,63.57,0,199.29
(주)DB하이텍,000990,2020/12,17.7,14.6,23,61.65,0,266.6
(주)DB하이텍,000990,2021/12,26.09,23.24,33.34,55.94,0,405.99
(주)ES큐브,050120,2011/12,-7.03,-6.3,-7.22,69.79,10.45,236.81
(주)ES큐브,050120,2012/12,1.17,1.15,1.31,71.64,6.43,240.97
(주)ES큐브,050120,2013/12,-32.19,-32,-35.29,74.25,3.33,139.57
(주)ES큐브,050120,2014/12,-6.49,-5.22,-5.68,82.21,1.09,125.94
