회사명,거래소코드,회계년도,[제조]비유동비율(IFRS),[제조]유동비율(IFRS),[제조]당좌비율(IFRS),[제조]현금비율(IFRS),[제조]부채비율(IFRS),[제조]유동부채비율(IFRS),[제조]차입금비율(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]유보액대비율(IFRS),[제조]유보액 대 납입자본배율(IFRS),[제조]투자집중도(IFRS)
(주)CMG제약,058820,2011/12,67.16,200.32,164.32,15.12,50.61,41.66,25.22,3.94,-12.91,-0.16,145.97
(주)CMG제약,058820,2012/12,31.37,706.26,661.93,70.11,80.33,21.09,61.69,-7.45,-2.47,-0.04,348.72
(주)CMG제약,058820,2013/12,36.09,695.84,611.84,394.76,14.1,11.21,2.89,0.73,10.25,0.13,264.9
(주)CMG제약,058820,2014/12,60.67,325.47,269.08,101.3,18.46,17.76,3.13,3.63,9.9,0.13,253.92
(주)CMG제약,058820,2015/12,64.56,297.75,236.06,29.02,20.74,18.87,0,-32.2,4.81,0.06,208.53
(주)CMG제약,058820,2016/12,31.85,862.15,792.17,23.52,9.76,9.04,0,999999999,42.13,0.86,332.58
(주)CMG제약,058820,2017/12,28.94,746.28,673.66,34.9,11.87,11.11,0,999999999,39.7,0.8,253.72
(주)CMG제약,058820,2018/12,31.75,957.86,856.94,158.5,10,8.17,0,999999999,43.31,0.91,211.17
(주)CMG제약,058820,2019/12,23.12,1618.07,1520.84,199.55,6.71,5.17,0.16,303,57.59,1.59,304.09
(주)CMG제약,058820,2020/12,27.26,1069.54,959.3,58.94,7.85,7.54,0.27,79.74,57.17,1.61,269.57
(주)CMG제약,058820,2021/12,39.9,913.99,817.88,34.66,7.84,7.43,0.28,80.23,57.87,1.66,220.78
(주)DB하이텍,000990,2011/12,314.69,33.38,23.7,4.33,305.87,273.15,242.51,-0.69,13.3,0.73,194.92
(주)DB하이텍,000990,2012/12,308.05,53.84,39.77,6.84,318.52,205.19,248.28,-0.29,11.52,0.59,179.6
(주)DB하이텍,000990,2013/12,419.28,46.64,31.45,7.28,431.96,241.63,336.53,-0.16,5.25,0.25,182.86
(주)DB하이텍,000990,2014/12,555.2,65.48,47.09,10.45,636.17,276.37,483.77,0.67,-0.72,-0.03,153.14
(주)DB하이텍,000990,2015/12,241.89,137.97,103.5,43.28,262.19,87.2,189.32,2.49,7.83,0.35,129.92
(주)DB하이텍,000990,2016/12,176.22,133.9,105.82,40.74,176.13,74.62,115.87,4.39,16.45,0.74,115.85
(주)DB하이텍,000990,2017/12,142.47,243.54,191.12,71.34,121.4,32.41,80.53,6.01,24.82,1.09,133.1
(주)DB하이텍,000990,2018/12,123.6,242.42,215.06,75.75,93.66,28.9,56.21,6.76,32.47,1.53,138.04
(주)DB하이텍,000990,2019/12,103.34,192.43,168.83,38.36,68.82,34.03,39.16,13.43,40.71,1.99,125.34
(주)DB하이텍,000990,2020/12,90.99,174.09,154.28,18.24,48.29,32.91,22.34,36.77,50.31,2.67,113.24
(주)DB하이텍,000990,2021/12,66.82,241.47,221.77,54.25,39.99,30.3,15.53,121.56,58.36,4.06,114.19
(주)ES큐브,050120,2011/12,67.56,388.16,380.23,31.15,15.56,12.36,0,-142.77,60.85,2.37,80.79
(주)ES큐브,050120,2012/12,72.83,484.22,471.49,68.9,12.02,8.09,0,20.03,63.09,2.41,76.44
(주)ES큐브,050120,2013/12,34.29,1208.64,1192.79,339.36,8.69,6.16,0,9.51,53.6,1.4,82.99
(주)ES큐브,050120,2014/12,56.85,703.02,694.35,174.69,8.95,7.41,0,999999999,51.16,1.26,64.92
(주)ES큐브,050120,2015/12,54.67,1260.55,1238.36,814.29,5.02,3.99,0,999999999,56.5,1.46,67.81
(주)ES큐브,050120,2016/12,87.45,949.52,940.31,626.84,49.59,6.54,42.67,11.58,46.93,2.36,143.03
(주)ES큐브,050120,2017/12,84.16,1095.59,1085.6,529.21,46.85,5.72,40.06,2.76,28.4,0.72,144.53
(주)ES큐브,050120,2018/12,119.41,77.08,75.59,49.78,63.08,56.67,53.32,0.47,24.79,0.65,131.28
(주)ES큐브,050120,2019/12,207.03,44.35,43.49,24.83,152.04,101.49,118.33,0.17,9.68,0.31,124.5
(주)ES큐브,050120,2020/12,102.09,90.15,82.48,15.15,12.4,11.44,4.2,0.45,5.92,0.07,27.33
(주)ES큐브,050120,2021/12,99.11,116.07,116.07,36.98,16.65,15.12,4.32,4.39,-3.66,-0.04,30.73
(주)HJ중공업,097230,2011/12,195.94,121.27,111.06,35.94,212.4,96.03,134.88,0.34,27.91,6.77,160.32
(주)HJ중공업,097230,2012/12,188.81,113.85,106.16,29.3,218.65,114.05,163.56,0.17,27.34,6.72,191.07
(주)HJ중공업,097230,2013/12,215.56,78.29,58.64,17.91,223.6,137.99,162.71,-0.72,24.99,4.21,193.48
(주)HJ중공업,097230,2014/12,204.97,84.34,63.48,9.77,210.45,125.06,136.47,-0.78,22.89,2.45,190.95
(주)HJ중공업,097230,2015/12,218.9,63.44,35.23,3.12,236.72,185.73,158.07,-0.75,18.7,1.7,151.94
(주)HJ중공업,097230,2016/12,244.65,106.91,74.48,6.19,333.73,176.85,232.78,0.4,9.57,0.71,139.54
(주)HJ중공업,097230,2017/12,341.09,54.92,29.04,4.24,487.9,449.43,320.22,0.89,1.04,0.07,127.91
(주)HJ중공업,097230,2019/12,471.59,70.61,50.85,6.65,897.14,744.27,456.52,0.64,-6.8,-0.4,130.81
(주)HJ중공업,097230,2020/12,350.11,103.45,87.25,20.73,583.21,321.98,273.96,0.88,-4.32,-0.23,108.66
(주)HJ중공업,097230,2021/12,331.36,100.15,84.62,12.49,450.92,219.23,201.58,-2.33,0.72,0.04,120.84
(주)MH에탄올,023150,2011/12,195.28,39.49,32.66,1.33,142.03,118.38,128.75,1.5,38.07,11.74,152.12
(주)MH에탄올,023150,2012/12,197.74,34.27,26.4,0,137.09,114.8,123.61,1.64,39.01,12.32,136.18
(주)MH에탄올,023150,2013/12,205.12,38.13,29.15,0.07,160.02,143.98,151.94,3.44,34.86,9.69,138.78
(주)MH에탄올,023150,2014/12,109,88.61,66.52,0.01,62.36,60.22,56.01,5.62,56.2,10.42,139.88
(주)MH에탄올,023150,2015/12,98.89,105.94,88.4,15.34,36.69,35.68,32.34,12.7,68.45,11.72,125.2
(주)MH에탄올,023150,2016/12,83.89,248.1,175.61,17.76,13.86,12.08,8.67,29.42,83.44,13.07,123.71
(주)MH에탄올,023150,2017/12,137.87,117.34,81.93,4.9,66.06,24.02,56.5,33.29,59.23,13.84,128.34
(주)MH에탄올,023150,2018/12,133.3,133.8,87,0.03,60.15,20.07,51.93,8.73,62.46,14.9,135.55
(주)MH에탄올,023150,2019/12,139.43,127.22,70.51,0.01,69.91,23.96,60.01,7.59,60.13,13.22,135.43
(주)MH에탄올,023150,2020/12,133.68,117.69,70.26,0.03,69.27,30.24,58.36,9.71,60.4,12.81,128.91
(주)MH에탄올,023150,2021/12,137.14,82.43,43.13,0.56,70.07,39.96,60.24,5.34,60.1,12.91,146.16
(주)SH에너지화학,002360,2011/12,84.87,145.06,111.22,10.93,58.74,50.92,45.12,3.5,9.29,0.17,46.51
(주)SH에너지화학,002360,2012/12,82.8,169.76,120.29,1.6,57.95,44.27,44.02,2.26,9.66,0.18,42.55
(주)SH에너지화학,002360,2013/12,74.82,165.4,131.2,13.76,57.61,50.06,40.1,5.95,13.45,0.27,39.32
(주)SH에너지화학,002360,2014/12,64.28,271.71,203.65,32.85,30.81,24.48,11.47,25.43,26.05,0.51,38.57
(주)SH에너지화학,002360,2015/12,55.45,379.52,311.55,110.18,25.69,18.51,7.52,85,31.35,0.64,45.8
(주)SH에너지화학,002360,2016/12,42.08,652.02,563.52,201.66,19.28,11.84,3.4,209.47,39.12,0.86,52.5
(주)SH에너지화학,002360,2017/12,41.74,943.62,722.3,362.72,16.59,7.93,3.31,155.23,41.16,0.91,59.83
(주)SH에너지화학,002360,2018/12,41.61,1166.09,852.64,396.3,16.17,6.39,3.36,30.8,40.66,0.88,59.72
(주)SH에너지화학,002360,2019/12,47.58,1062.65,836.92,532.73,24.38,7.23,9,-18.2,35.33,0.77,78.13
(주)SH에너지화학,002360,2020/12,57.98,917.82,781.6,368.84,29.79,7.82,12.45,-36.8,30.74,0.64,105.21
(주)SH에너지화학,002360,2021/12,52.91,561.48,470.24,109.95,29.78,13.69,12.03,3.76,31.5,0.67,75.34
(주)SIMPAC,009160,2011/12,93.52,129.33,106.79,53.55,90.56,75.03,27.95,20.95,48.24,9.85,100.04
(주)SIMPAC,009160,2012/12,88.13,139.43,116.03,20.81,72.84,60.76,22.68,15.59,53.76,11.36,96.53
(주)SIMPAC,009160,2013/12,122.94,79.66,60.51,6.31,76.77,67.58,33.52,16.68,52.97,12.74,121.37
(주)SIMPAC,009160,2014/12,103.62,101.68,74.21,15.63,61.51,56.93,15.12,9.26,58.1,13.16,82.39
(주)SIMPAC,009160,2015/12,105.08,96.59,62.41,9.27,67.82,64.95,19.31,23.49,56.17,14.27,98.55
(주)SIMPAC,009160,2016/12,99.58,105.64,73.9,28.69,59.96,57.16,17.47,20.91,59.84,15.07,99.32
(주)SIMPAC,009160,2017/12,97.51,109.29,79.26,18.72,53.28,51.03,22.34,15.27,64.72,15.27,96.58
(주)SIMPAC,009160,2018/12,86.38,131.38,81.43,46.5,52.83,50.58,25.11,3.25,62.72,12.05,160.56
(주)SIMPAC,009160,2019/12,91.69,125.92,86.65,57.53,45.2,42.49,25.12,2.86,66.07,12.29,97.13
(주)SIMPAC,009160,2020/12,91.37,125.85,77.57,39.29,51.22,47.55,28,2.86,64.7,12.99,150.26
(주)SIMPAC,009160,2021/12,77.34,144.38,98.12,63.82,62.24,58.8,31.79,25.52,61.09,14.88,113.54
(주)SNT에너지,100840,2011/12,81.6,151.52,135.46,21.28,72.18,59.78,12.45,-9.21,61.17,47.75,139.97
(주)SNT에너지,100840,2012/12,71.65,182.56,162.88,51.29,59.73,48.25,2.65,77.44,61.39,50.75,125.17
(주)SNT에너지,100840,2013/12,65.79,197.1,177.76,71.62,57.28,46.42,2.62,50.81,62.44,54.94,153.09
(주)SNT에너지,100840,2014/12,64.52,222.54,199.37,50.89,46.6,36.88,2.66,41.09,67.05,57.64,121.97
(주)SNT에너지,100840,2015/12,57.1,286.28,269.65,49.36,36.64,27.78,0,359.1,72.06,64.32,118.41
(주)SNT에너지,100840,2016/12,59.3,207.24,200.61,57.56,51.45,44.47,0,999999999,65.01,63.87,133.69
(주)SNT에너지,100840,2017/12,54.46,351.97,347.24,116.39,28.42,21.01,0,999999999,76.69,65.01,159
(주)SNT에너지,100840,2018/12,54.25,492.86,474.82,188.8,21.5,13.64,0,999999999,82.67,63.67,195.92
(주)SNT에너지,100840,2019/12,52.6,310.45,294.91,31.39,34.96,26.53,0.02,2833.92,74.38,65.67,157.58
(주)SNT에너지,100840,2020/12,56.2,257.09,249.39,82.24,40.37,32.74,0.03,6454.27,74.51,65.92,139.71
(주)SNT에너지,100840,2021/12,54.24,336.67,332.34,148.12,31.22,22.86,0.34,715.94,79.46,68.19,188.18
(주)SNT홀딩스,036530,2011/12,83.4,32384.42,32384.42,18079.7,0.07,0.05,0,999999999,98.64,49.97,2874.9
(주)SNT홀딩스,036530,2012/12,89.61,24567.42,24567.42,8944.33,0.09,0.04,0,999999999,99.23,50.38,469.19
(주)SNT홀딩스,036530,2013/12,87.72,16077.7,16077.7,5792.66,0.12,0.08,0,999999999,97.95,50.8,558.67
(주)SNT홀딩스,036530,2014/12,88.29,19138.35,19138.35,3949.6,0.1,0.06,0,999999999,98.13,51.13,616.89
(주)SNT홀딩스,036530,2015/12,78.34,1155.4,1155.4,463.03,2.05,2.05,0,999999999,96.29,52.58,1185.17
(주)SNT홀딩스,036530,2016/12,77.24,30571.26,30571.26,9877.2,0.07,0.07,0,999999999,98.17,51.66,993.58
(주)SNT홀딩스,036530,2017/12,76.97,32821.88,32821.88,4394.01,0.07,0.07,0,999999999,98.17,51.47,1325.15
(주)SNT홀딩스,036530,2018/12,78.86,38653.87,38653.87,1554.05,0.05,0.05,0,999999999,99.64,50.44,1229.06
(주)SNT홀딩스,036530,2019/12,92.44,13604.82,13604.82,853.08,0.06,0.06,0,999999999,101.66,50.78,289.72
(주)SNT홀딩스,036530,2020/12,94.78,8808.28,8808.28,957.28,0.07,0.06,0.01,65079.46,102.8,52.19,89.37
(주)SNT홀딩스,036530,2021/12,94.66,7586.68,7586.68,1150.64,0.16,0.07,0.11,1486.06,103.87,52.94,127.98
(주)STX,011810,2011/12,198.26,63.31,47.99,5.63,183.54,134.7,150.58,0.67,31.23,6.87,27.58
(주)STX,011810,2012/12,210.93,47.05,41.09,0.97,187.21,162.13,157.41,0.19,30.87,6.59,24.11
(주)STX,011810,2014/12,623.29,108.38,86.28,11.61,1850,1224.13,1580.23,0.53,-1.86,-0.27,64.18
(주)STX,011810,2015/12,545.56,97.8,76.64,6.85,1362.39,937.45,1138.71,-0.42,-0.23,-0.03,60.4
(주)STX,011810,2016/12,0,48.26,32.98,2.12,0,0,0,-2.95,0,0,36.05
(주)STX,011810,2017/12,381.35,77.07,54.31,16.37,1063.93,1015.39,669.5,1.56,-0.55,-0.06,26.1
(주)STX,011810,2018/12,239.36,82.29,57.67,4.99,618.11,581.77,458.85,-0.58,2.94,0.27,26.14
(주)STX,011810,2019/12,336.38,77.55,53.77,5.08,814.2,745.12,596.15,-1.05,0.33,0.03,29.22
(주)STX,011810,2020/12,797.49,49.62,36.08,3.28,1303.36,1221.07,990.01,-0.72,-6.4,-0.47,29.76
(주)STX,011810,2021/12,362.98,56.55,43.47,1.31,547.76,503.58,373.38,1.23,-2.88,-0.16,37.11
(주)TCC스틸,002710,2011/12,118.78,113.58,60.39,1.81,98.3,70.01,61.76,1.8,47.86,12.2,52.95
(주)TCC스틸,002710,2012/12,128.71,145.73,80.18,3.63,109.12,55.18,72.55,1.44,45.18,11.66,54.87
(주)TCC스틸,002710,2013/12,140,152.32,88.67,2.21,111.44,46.9,78.48,1.01,44.47,10.97,53.6
(주)TCC스틸,002710,2014/12,152.36,74.48,43.3,0.38,119.57,90.23,86.14,1.31,42.6,10.34,53.03
(주)TCC스틸,002710,2015/12,167.9,166.66,128.99,1.63,331.91,158.42,203.6,2.11,18.04,2.67,42.55
(주)TCC스틸,002710,2016/12,166.12,125.14,67.23,3.37,170.86,83.7,114.39,2.36,30.18,3.39,45.24
(주)TCC스틸,002710,2017/12,163.99,68.58,36.23,0.76,177.7,165.81,135.93,1.41,29.22,3.26,44.18
(주)TCC스틸,002710,2018/12,141.85,156.79,80.87,9.75,172.63,83.41,119.43,3.46,29.87,3.58,48.61
(주)TCC스틸,002710,2019/12,152.19,79.7,35.63,4.64,177.19,156.83,133.65,2.34,29.32,3.55,49.1
(주)TCC스틸,002710,2020/12,153.56,92.8,50.65,2.94,165.86,121.02,134.5,0.41,29.28,3.33,48.24
(주)TCC스틸,002710,2021/12,112.83,141.17,82.69,24.88,142.17,91.62,90.32,4.73,34.09,4.48,52.2
(주)가비아,079940,2011/12,115.44,77.35,77.23,23.26,53.49,49.19,15.56,10.88,51.38,3.01,53.61
(주)가비아,079940,2012/12,135.35,89.64,88.78,26.07,66.2,34.41,36.75,6.25,49.68,3.86,91.02
(주)가비아,079940,2013/12,120.01,89.4,88.7,45.75,49.76,33.28,27.76,7.48,56.35,4.41,87.53
(주)가비아,079940,2014/12,107.66,113.33,113.33,40.72,46.76,34.5,22.28,11.16,58.25,4.82,90.17
(주)가비아,079940,2015/12,94.7,180,180,106.22,35.76,22.81,12.95,28.34,64.06,5.46,90.17
(주)가비아,079940,2016/12,107.73,119.42,119.42,82.77,34.68,22.56,12.11,33.33,65.2,5.89,78.3
(주)가비아,079940,2017/12,104.63,87.26,87.26,57.66,36.35,36.35,11.54,27.12,64.83,6.22,78.79
(주)가비아,079940,2018/12,102.2,101.65,101.65,64.26,39.1,36.3,13.04,25.87,63.91,6.55,81.32
(주)가비아,079940,2019/12,128.25,67.14,67.14,46.45,53.4,37.46,26.49,19.48,58.52,7.17,79.52
(주)가비아,079940,2020/12,133.16,80.56,80.56,45.21,68.07,43.33,38.48,36.98,53.86,7.81,109.6
(주)가비아,079940,2021/12,132.65,94.19,94.19,21.41,68.64,38.21,43.49,105.99,53.87,8.56,114.33
(주)강스템바이오텍,217730,2015/12,28.66,637.19,625.9,211.66,17.64,13.96,5.03,-5.41,57.35,2.07,1569.08
(주)강스템바이오텍,217730,2016/12,41.24,1175.05,1157.01,59.67,106.48,14.06,67.66,-18.89,33.45,2.23,5423.85
(주)강스템바이오텍,217730,2017/12,81.86,607.77,564.65,82.11,80.43,16.22,51.08,-7.93,37.17,2.04,574.37
