회사명,거래소코드,회계년도,[제조]자산(*)(IFRS),[제조]부채(*)(IFRS),산술평균,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수),주식의 종류
(주)CMG제약,058820,2011/12,27548539,9257624,775,43693200,10
(주)CMG제약,058820,2011/12,27548539,9257624,775,43693200,90
(주)CMG제약,058820,2012/12,56988604,25386064,1387,66025540,90
(주)CMG제약,058820,2012/12,56988604,25386064,1387,66025540,10
(주)CMG제약,058820,2013/12,55961620,6913407,923,86626866,10
(주)CMG제약,058820,2013/12,55961620,6913407,923,86626866,90
(주)CMG제약,058820,2014/12,58127098,9060059,964,86626866,90
(주)CMG제약,058820,2014/12,58127098,9060059,964,86626866,10
(주)CMG제약,058820,2014/12,58127098,9060059,964,0,20
(주)CMG제약,058820,2015/12,56591972,9719267,1987,88297244,90
(주)CMG제약,058820,2015/12,56591972,9719267,1987,88297244,10
(주)CMG제약,058820,2016/12,110979867,9872232,2747,108707244,90
(주)CMG제약,058820,2016/12,110979867,9872232,2747,108707244,10
(주)CMG제약,058820,2017/12,109568153,11624134,6285,108887244,90
(주)CMG제약,058820,2017/12,109568153,11624134,6285,108887244,10
(주)CMG제약,058820,2018/12,114379880,10398033,4348,108887244,90
(주)CMG제약,058820,2018/12,114379880,10398033,4348,108887244,10
(주)CMG제약,058820,2019/12,192243166,12084883,3981,138892244,90
(주)CMG제약,058820,2019/12,192243166,12084883,3981,138892244,10
(주)CMG제약,058820,2020/12,195355583,14224578,5752,138892244,90
(주)CMG제약,058820,2020/12,195355583,14224578,5752,138892244,10
(주)CMG제약,058820,2021/12,199174593,14472099,3730,138892244,90
(주)CMG제약,058820,2021/12,199174593,14472099,3730,138892244,10
(주)DB하이텍,000990,2011/12,1183957429,892247931,7352,42923284,90
(주)DB하이텍,000990,2011/12,1183957429,892247931,7352,143335,20
(주)DB하이텍,000990,2011/12,1183957429,892247931,7352,42779949,10
(주)DB하이텍,000990,2012/12,1149069244,874516025,6357,44511167,90
(주)DB하이텍,000990,2012/12,1149069244,874516025,6357,143335,20
(주)DB하이텍,000990,2012/12,1149069244,874516025,6357,44367832,10
(주)DB하이텍,000990,2013/12,1049494642,852207175,5506,44367832,10
