회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원)
(주)CMG제약,058820,2011/12,-2488268,-1845332,3038758
(주)CMG제약,058820,2012/12,-1453276,-30286514,35260511
(주)CMG제약,058820,2013/12,-3891420,20988786,-56948
(주)CMG제약,058820,2014/12,730447,-13611109,0
(주)CMG제약,058820,2015/12,2411254,-8670890,0
(주)CMG제약,058820,2016/12,3321352,-56094458,52359861
(주)CMG제약,058820,2017/12,1948086,-467123,171180
(주)CMG제약,058820,2018/12,886779,8779219,0
(주)CMG제약,058820,2019/12,2823387,-70595614,72877952
(주)CMG제약,058820,2020/12,2944289,-13008899,-461469
(주)CMG제약,058820,2021/12,5628620,-8480048,-483840
(주)DB하이텍,000990,2011/12,61642286,-26649125,-88776492
(주)DB하이텍,000990,2012/12,68047966,-40437367,-22718301
(주)DB하이텍,000990,2013/12,28528798,-13799557,-18089531
(주)DB하이텍,000990,2014/12,47362460,-43422794,1205904
(주)DB하이텍,000990,2015/12,150510354,-12201261,-71767078
(주)DB하이텍,000990,2016/12,247018873,-121028468,-118529941
(주)DB하이텍,000990,2017/12,182244045,-101907140,-85790774
(주)DB하이텍,000990,2018/12,182780278,-114336834,-50894632
(주)DB하이텍,000990,2019/12,160796839,-123827487,-70941329
(주)DB하이텍,000990,2020/12,310467238,-265306513,-76150274
(주)DB하이텍,000990,2021/12,391303244,-251392646,-4884073
(주)ES큐브,050120,2011/12,1625293,-2631208,0
(주)ES큐브,050120,2012/12,4618957,-4021693,249337
(주)ES큐브,050120,2013/12,4508559,-15525675,18283521
(주)ES큐브,050120,2014/12,2934159,-6727853,0
(주)ES큐브,050120,2015/12,3265832,5644794,0
(주)ES큐브,050120,2016/12,3735385,-27691503,37786301
(주)ES큐브,050120,2017/12,3989913,-9285270,-1313460
(주)ES큐브,050120,2018/12,116879,-9930672,6704278
(주)ES큐브,050120,2019/12,1886276,-42892183,35797321
(주)ES큐브,050120,2020/12,-312007,21184752,-33200382
(주)ES큐브,050120,2021/12,3015063,340546,-975531
(주)HJ중공업,097230,2011/12,-297988000,51907000,-71169000
(주)HJ중공업,097230,2012/12,-227250000,97508000,105359000
(주)HJ중공업,097230,2013/12,-186309000,-32693000,42453000
(주)HJ중공업,097230,2014/12,-101009000,249783000,-379667000
(주)HJ중공업,097230,2015/12,109406000,409000,-245147000
(주)HJ중공업,097230,2016/12,78719000,-43927000,-15868000
(주)HJ중공업,097230,2017/12,368798000,-36512000,-323602000
(주)HJ중공업,097230,2018/12,182116000,15886000,-76243000
(주)HJ중공업,097230,2019/12,140634000,51752000,-296104000
(주)HJ중공업,097230,2020/12,252907000,84604000,-245607000
(주)HJ중공업,097230,2021/12,-111432000,39216000,-23350000
