회사명,거래소코드,회계년도,[제조]   연구비(연결),[제조]   경상개발비(연결),[제조]매출액(영업수익)(*)
(주)CMG제약,058820,2011/12,0,23703,17751704
(주)CMG제약,058820,2012/12,0,120052,16255389
(주)CMG제약,058820,2013/12,0,134454,20322140
(주)CMG제약,058820,2014/12,0,116533,22752584
(주)CMG제약,058820,2015/12,0,831910,27041894
(주)CMG제약,058820,2016/12,0,397519,32969825
(주)CMG제약,058820,2017/12,0,1795891,41535588
(주)CMG제약,058820,2018/12,0,777797,49864782
(주)CMG제약,058820,2019/12,0,1993412,58622681
(주)CMG제약,058820,2020/12,,,64459891
(주)CMG제약,058820,2021/12,,,69475496
(주)DB하이텍,000990,2011/12,0,60572750,534317238
(주)DB하이텍,000990,2012/12,0,0,583901597
(주)DB하이텍,000990,2013/12,0,44409000,493752028
(주)DB하이텍,000990,2014/12,0,41769000,567718224
(주)DB하이텍,000990,2015/12,0,49406000,666594987
(주)DB하이텍,000990,2016/12,0,53738000,773140180
(주)DB하이텍,000990,2017/12,0,54428000,679737744
(주)DB하이텍,000990,2018/12,0,52810000,669279136
(주)DB하이텍,000990,2019/12,0,55296000,807416423
(주)DB하이텍,000990,2020/12,0,58511000,935919766
(주)DB하이텍,000990,2021/12,0,64222000,1214682040
(주)ES큐브,050120,2011/12,0,2481560,41700477
(주)ES큐브,050120,2012/12,0,1355428,44178050
(주)ES큐브,050120,2013/12,0,2358093,45823196
(주)ES큐브,050120,2014/12,0,878870,37188072
(주)ES큐브,050120,2015/12,0,1060388,36887119
(주)ES큐브,050120,2016/12,0,140435,34818205
(주)ES큐브,050120,2017/12,0,0,37104908
(주)ES큐브,050120,2018/12,0,452197,31308873
(주)ES큐브,050120,2019/12,0,0,28527284
(주)ES큐브,050120,2020/12,0,0,30293088
(주)ES큐브,050120,2021/12,0,0,41105787
(주)HJ중공업,097230,2011/12,0,2655000,2316017000
(주)HJ중공업,097230,2012/12,0,2287000,1980761000
(주)HJ중공업,097230,2013/12,0,3371000,1927307000
(주)HJ중공업,097230,2014/12,0,4495000,1799016000
(주)HJ중공업,097230,2015/12,0,4012000,2041347000
(주)HJ중공업,097230,2016/12,0,2695000,1928591000
(주)HJ중공업,097230,2017/12,0,1854000,1737428000
(주)HJ중공업,097230,2019/12,0,1734000,1609530000
(주)HJ중공업,097230,2020/12,0,2034000,1694634000
