회사명,거래소코드,회계년도,[제조]자산(*)(IFRS연결),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),배당금_현금,[제조]      장기차입금(*)(IFRS연결),[제조]매출액증가율(IFRS연결)
(주)CMG제약,058820,2011/12,27305198,-2560438,,0,56.4
(주)CMG제약,058820,2012/12,57108035,-1572581,,0,-8.43
(주)CMG제약,058820,2013/12,55912563,-3939013,,0,25.51
(주)CMG제약,058820,2014/12,58068326,724893,,0,11.52
(주)CMG제약,058820,2015/12,56532821,2410205,,0,18.85
(주)CMG제약,058820,2016/12,110979867,3321352,,0,21.92
(주)CMG제약,058820,2017/12,109568153,1948086,,0,25.98
(주)CMG제약,058820,2018/12,114379880,886779,,0,20.05
(주)CMG제약,058820,2019/12,192243166,2823387,,0,17.56
(주)CMG제약,058820,2020/12,,,,,
(주)CMG제약,058820,2021/12,,,,,
(주)DB하이텍,000990,2011/12,1199043869,60749180,,0,-10.94
(주)DB하이텍,000990,2012/12,1157755031,73876619,,214817416,6.98
(주)DB하이텍,000990,2013/12,1058391832,28380938,,276846544,-16.42
(주)DB하이텍,000990,2014/12,984876636,48078139,,391619824,14.98
(주)DB하이텍,000990,2015/12,984643712,152722221,,399748737,17.42
(주)DB하이텍,000990,2016/12,986788572,248312191,,282487037,15.98
(주)DB하이텍,000990,2017/12,993950720,183124083,146091,315595985,-12.08
(주)DB하이텍,000990,2017/12,993950720,183124083,30734,315595985,-12.08
(주)DB하이텍,000990,2017/12,993950720,183124083,10786855,315595985,-12.08
(주)DB하이텍,000990,2018/12,1066533840,180343534,30734,277380073,-1.54
(주)DB하이텍,000990,2018/12,1066533840,180343534,10826736,277380073,-1.54
(주)DB하이텍,000990,2019/12,1088889810,161078351,40979,179746294,20.64
(주)DB하이텍,000990,2019/12,1088889810,161078351,15163882,179746294,20.64
(주)DB하이텍,000990,2020/12,1178581197,309982630,40979,96717358,15.92
(주)DB하이텍,000990,2020/12,1178581197,309982630,15166418,96717358,15.92
(주)DB하이텍,000990,2021/12,1549937896,393129115,51224,96499920,29.78
(주)DB하이텍,000990,2021/12,1549937896,393129115,19511414,96499920,29.78
(주)ES큐브,050120,2011/12,55477032,1107724,,0,0
(주)ES큐브,050120,2012/12,46281660,5224759,,0,0
(주)ES큐브,050120,2013/12,47137573,2590980,,0,4.69
(주)ES큐브,050120,2014/12,56611836,2889415,,0,-24.13
(주)ES큐브,050120,2015/12,55620280,-2778236,,0,-5.19
(주)ES큐브,050120,2016/12,105164626,1240854,,28600000,-18.65
(주)ES큐브,050120,2017/12,105892131,2310978,,27400000,4.25
(주)ES큐브,050120,2018/12,112430896,-1347532,,2100000,-5.55
(주)ES큐브,050120,2019/12,463958680,75624795,,24900000,29.45
(주)ES큐브,050120,2020/12,714889745,-37420433,,0,84.57
(주)ES큐브,050120,2021/12,1082732056,69284861,,0,55.92
(주)HJ중공업,097230,2011/12,7036680000,-401788000,,677057000,-8.72
(주)HJ중공업,097230,2012/12,6585093000,-84391000,,777978000,-11.83
(주)HJ중공업,097230,2013/12,6683379000,-321347000,,793546000,-0.78
(주)HJ중공업,097230,2014/12,6470284000,-238336000,,1458914000,-0.36
(주)HJ중공업,097230,2015/12,5914637000,257547000,,628609000,23.61
(주)HJ중공업,097230,2016/12,5256464000,-36763000,,1269833000,-9.7
(주)HJ중공업,097230,2017/12,4206655000,385461000,,82638000,-12.83
(주)HJ중공업,097230,2019/12,2470222000,155934000,,3927000,-4.07
(주)HJ중공업,097230,2020/12,2193855000,264454000,,524020000,4.12
(주)HJ중공업,097230,2021/12,2385236000,-110633000,,520778000,0.63
(주)MH에탄올,023150,2011/12,134206851,178820,,8088960,-18.64
(주)MH에탄올,023150,2012/12,134385813,-4906202,,7613360,33.46
