,회사명,거래소코드,회계년도,직급명,1인평균지급액(임원),1인년간평균급여(직원)
0,(주)CMG제약,58820,2011/12,등기이사,12000.0,21000.0
4,(주)CMG제약,58820,2012/12,등기이사,26714.0,18701.0
9,(주)CMG제약,58820,2013/12,등기이사,0.0,34421.0
12,(주)CMG제약,58820,2014/12,등기이사,74247.0,28563.0
14,(주)CMG제약,58820,2015/12,등기이사,61596.0,42460.0
18,(주)CMG제약,58820,2016/12,사외이사 (감사위원회 위원 제외),24000.0,46422.0
21,(주)CMG제약,58820,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",96233.0,46422.0
22,(주)CMG제약,58820,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",86146.0,43289.0
24,(주)CMG제약,58820,2017/12,사외이사 (감사위원회 위원 제외),22839.0,43289.0
27,(주)CMG제약,58820,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",85378.0,47441.0
28,(주)CMG제약,58820,2018/12,사외이사 (감사위원회 위원 제외),24000.0,47441.0
31,(주)CMG제약,58820,2019/12,사외이사 (감사위원회 위원 제외),24000.0,51177.0
33,(주)CMG제약,58820,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",94196.0,51177.0
35,(주)CMG제약,58820,2020/12,사외이사 (감사위원회 위원 제외),24000.0,49342.0
37,(주)CMG제약,58820,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",86526.0,49342.0
40,(주)CMG제약,58820,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",100079.0,49209.0
41,(주)CMG제약,58820,2021/12,사외이사 (감사위원회 위원 제외),24067.0,49209.0
43,(주)DB하이텍,990,2011/12,등기이사,327689.0,42000.0
44,(주)DB하이텍,990,2012/12,등기이사,402000.0,48000.0
47,(주)DB하이텍,990,2013/12,등기이사,384000.0,47000.0
50,(주)DB하이텍,990,2014/12,등기이사,873000.0,51000.0
54,(주)DB하이텍,990,2015/12,등기이사,924000.0,54000.0
58,(주)DB하이텍,990,2016/12,사외이사 (감사위원회 위원 제외),0.0,53000.0
60,(주)DB하이텍,990,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",705000.0,53000.0
62,(주)DB하이텍,990,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",1911000.0,55000.0
64,(주)DB하이텍,990,2017/12,사외이사 (감사위원회 위원 제외),0.0,55000.0
67,(주)DB하이텍,990,2018/12,사외이사 (감사위원회 위원 제외),0.0,56000.0
68,(주)DB하이텍,990,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",649000.0,56000.0
70,(주)DB하이텍,990,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",670000.0,66000.0
71,(주)DB하이텍,990,2019/12,사외이사 (감사위원회 위원 제외),9000.0,66000.0
74,(주)DB하이텍,990,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",1891000.0,70000.0
76,(주)DB하이텍,990,2020/12,사외이사 (감사위원회 위원 제외),0.0,70000.0
78,(주)DB하이텍,990,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",1652000.0,81000.0
80,(주)DB하이텍,990,2021/12,사외이사 (감사위원회 위원 제외),0.0,81000.0
83,(주)ES큐브,50120,2011/12,등기이사,111400.0,31263.0
85,(주)ES큐브,50120,2012/12,등기이사,109167.0,32540.0
87,(주)ES큐브,50120,2013/12,등기이사,102167.0,37523.0
92,(주)ES큐브,50120,2014/12,등기이사,126033.0,38071.0
98,(주)ES큐브,50120,2015/12,등기이사,128167.0,34282.0
100,(주)ES큐브,50120,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",233133.0,41580.0
102,(주)ES큐브,50120,2016/12,사외이사 (감사위원회 위원 제외),0.0,41580.0
104,(주)ES큐브,50120,2017/12,사외이사 (감사위원회 위원 제외),0.0,40801.0
106,(주)ES큐브,50120,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",65667.0,40801.0
107,(주)ES큐브,50120,2018/12,사외이사 (감사위원회 위원 제외),0.0,46837.0
110,(주)ES큐브,50120,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",81796.0,46837.0
113,(주)ES큐브,50120,2019/12,사외이사 (감사위원회 위원 제외),0.0,46455.0
114,(주)ES큐브,50120,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",183245.0,46455.0
116,(주)ES큐브,50120,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",110234.0,48131.0
118,(주)ES큐브,50120,2020/12,사외이사 (감사위원회 위원 제외),9000.0,48131.0
121,(주)ES큐브,50120,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",131252.0,69809.0
122,(주)ES큐브,50120,2021/12,사외이사 (감사위원회 위원 제외),24000.0,69809.0
123,(주)HJ중공업,97230,2011/12,등기이사,308000.0,46360.0
126,(주)HJ중공업,97230,2012/12,등기이사,321000.0,53856.0
127,(주)HJ중공업,97230,2013/12,등기이사,176000.0,52667.0
132,(주)HJ중공업,97230,2014/12,등기이사,483000.0,58262.0
136,(주)HJ중공업,97230,2015/12,등기이사,445000.0,62248.0
139,(주)HJ중공업,97230,2016/12,사외이사 (감사위원회 위원 제외),45000.0,63010.0
140,(주)HJ중공업,97230,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",319000.0,63010.0
145,(주)HJ중공업,97230,2017/12,사외이사 (감사위원회 위원 제외),0.0,57795.0
146,(주)HJ중공업,97230,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",1173000.0,57795.0
147,(주)HJ중공업,97230,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",1025000.0,64154.0
148,(주)HJ중공업,97230,2019/12,사외이사 (감사위원회 위원 제외),0.0,64154.0
152,(주)HJ중공업,97230,2020/12,사외이사 (감사위원회 위원 제외),0.0,66787.0
153,(주)HJ중공업,97230,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",117000.0,66787.0
156,(주)HJ중공업,97230,2021/12,사외이사 (감사위원회 위원 제외),0.0,75397.0
