회사명,거래소코드,회계년도,배당금_현금
(주)CMG제약,058820,2011/12,
(주)CMG제약,058820,2012/12,
(주)CMG제약,058820,2013/12,
(주)CMG제약,058820,2014/12,
(주)CMG제약,058820,2015/12,
(주)CMG제약,058820,2016/12,
(주)CMG제약,058820,2017/12,
(주)CMG제약,058820,2018/12,
(주)CMG제약,058820,2019/12,
(주)CMG제약,058820,2020/12,
(주)CMG제약,058820,2021/12,
(주)DB하이텍,000990,2011/12,
(주)DB하이텍,000990,2012/12,
(주)DB하이텍,000990,2013/12,
(주)DB하이텍,000990,2014/12,
(주)DB하이텍,000990,2015/12,
(주)DB하이텍,000990,2016/12,
(주)DB하이텍,000990,2017/12,146091
(주)DB하이텍,000990,2017/12,30734
(주)DB하이텍,000990,2017/12,10786855
(주)DB하이텍,000990,2018/12,30734
(주)DB하이텍,000990,2018/12,10826736
(주)DB하이텍,000990,2019/12,40979
(주)DB하이텍,000990,2019/12,15163882
(주)DB하이텍,000990,2020/12,40979
(주)DB하이텍,000990,2020/12,15166418
(주)DB하이텍,000990,2021/12,51224
(주)DB하이텍,000990,2021/12,19511414
(주)ES큐브,050120,2011/12,
(주)ES큐브,050120,2012/12,
(주)ES큐브,050120,2013/12,
(주)ES큐브,050120,2014/12,
(주)ES큐브,050120,2015/12,
(주)ES큐브,050120,2016/12,
(주)ES큐브,050120,2017/12,
(주)ES큐브,050120,2018/12,
(주)ES큐브,050120,2019/12,
(주)ES큐브,050120,2020/12,
(주)ES큐브,050120,2021/12,
(주)HJ중공업,097230,2011/12,
(주)HJ중공업,097230,2012/12,
(주)HJ중공업,097230,2013/12,
(주)HJ중공업,097230,2014/12,
(주)HJ중공업,097230,2015/12,
(주)HJ중공업,097230,2016/12,
(주)HJ중공업,097230,2017/12,
(주)HJ중공업,097230,2019/12,
(주)HJ중공업,097230,2020/12,
(주)HJ중공업,097230,2021/12,
(주)MH에탄올,023150,2011/12,
(주)MH에탄올,023150,2012/12,
(주)MH에탄올,023150,2013/12,
(주)MH에탄올,023150,2014/12,1475705
(주)MH에탄올,023150,2015/12,1819632
(주)MH에탄올,023150,2016/12,2162558
(주)MH에탄올,023150,2017/12,2415000
(주)MH에탄올,023150,2018/12,2347984
(주)MH에탄올,023150,2019/12,2277984
(주)MH에탄올,023150,2020/12,2277984
(주)MH에탄올,023150,2021/12,2277984
(주)SH에너지화학,002360,2011/12,
(주)SH에너지화학,002360,2012/12,
(주)SH에너지화학,002360,2013/12,124
(주)SH에너지화학,002360,2013/12,1663463
(주)SH에너지화학,002360,2014/12,311
(주)SH에너지화학,002360,2014/12,4990388
(주)SH에너지화학,002360,2015/12,305
(주)SH에너지화학,002360,2015/12,4879490
(주)SH에너지화학,002360,2016/12,6099363
(주)SH에너지화학,002360,2016/12,373
(주)SH에너지화학,002360,2017/12,4768593
(주)SH에너지화학,002360,2017/12,299
(주)SH에너지화학,002360,2018/12,174
(주)SH에너지화학,002360,2018/12,2548951
(주)SH에너지화학,002360,2019/12,
(주)SH에너지화학,002360,2020/12,
(주)SH에너지화학,002360,2021/12,1096822
(주)SH에너지화학,002360,2021/12,93
(주)SIMPAC,009160,2011/12,2701000
(주)SIMPAC,009160,2012/12,2701000
(주)SIMPAC,009160,2013/12,2161252
(주)SIMPAC,009160,2014/12,2161252
(주)SIMPAC,009160,2015/12,3248141
(주)SIMPAC,009160,2016/12,2650978
(주)SIMPAC,009160,2017/12,1989425
(주)SIMPAC,009160,2018/12,3632594
(주)SIMPAC,009160,2019/12,3632594
(주)SIMPAC,009160,2020/12,3449178
(주)SIMPAC,009160,2021/12,11172129
(주)SNT에너지,100840,2011/12,
(주)SNT에너지,100840,2012/12,1417000
(주)SNT에너지,100840,2013/12,2125384
(주)SNT에너지,100840,2014/12,3542306
(주)SNT에너지,100840,2015/12,3542306
(주)SNT에너지,100840,2016/12,
(주)SNT에너지,100840,2017/12,0
(주)SNT에너지,100840,2018/12,0
(주)SNT에너지,100840,2019/12,5754961
(주)SNT에너지,100840,2020/12,5394600
(주)SNT에너지,100840,2021/12,5186424
(주)SNT홀딩스,036530,2011/12,5883000
(주)SNT홀딩스,036530,2012/12,5811000
(주)SNT홀딩스,036530,2013/12,4260462
(주)SNT홀딩스,036530,2014/12,2977692
(주)SNT홀딩스,036530,2015/12,3833581
(주)SNT홀딩스,036530,2016/12,5527452
(주)SNT홀딩스,036530,2017/12,3158544
(주)SNT홀딩스,036530,2018/12,6307383
(주)SNT홀딩스,036530,2019/12,7577903
(주)SNT홀딩스,036530,2020/12,9608855
(주)SNT홀딩스,036530,2021/12,10121764
(주)STX,011810,2011/12,14671000
(주)STX,011810,2011/12,0
(주)STX,011810,2012/12,0
(주)STX,011810,2012/12,7300000
(주)STX,011810,2014/12,
(주)STX,011810,2015/12,
(주)STX,011810,2016/12,
(주)STX,011810,2017/12,
(주)STX,011810,2018/12,
(주)STX,011810,2019/12,
(주)STX,011810,2020/12,
(주)STX,011810,2021/12,
(주)TCC스틸,002710,2011/12,2195000
(주)TCC스틸,002710,2012/12,1879000
(주)TCC스틸,002710,2013/12,832759
(주)TCC스틸,002710,2014/12,882759
(주)TCC스틸,002710,2015/12,
(주)TCC스틸,002710,2016/12,
(주)TCC스틸,002710,2017/12,
(주)TCC스틸,002710,2018/12,1706906
(주)TCC스틸,002710,2019/12,640090
(주)TCC스틸,002710,2020/12,340407
(주)TCC스틸,002710,2021/12,3479073
(주)가비아,079940,2011/12,367000
(주)가비아,079940,2012/12,257000
(주)가비아,079940,2013/12,256706
(주)가비아,079940,2014/12,260706
(주)가비아,079940,2015/12,391060
(주)가비아,079940,2016/12,391060
(주)가비아,079940,2017/12,391060
(주)가비아,079940,2018/12,391060
(주)가비아,079940,2019/12,521413
(주)가비아,079940,2020/12,782119
(주)가비아,079940,2021/12,921131
(주)강스템바이오텍,217730,2015/12,
(주)강스템바이오텍,217730,2016/12,
(주)강스템바이오텍,217730,2017/12,
(주)강스템바이오텍,217730,2018/12,
(주)강스템바이오텍,217730,2019/12,
(주)강스템바이오텍,217730,2020/12,
(주)강스템바이오텍,217730,2021/12,
(주)강원랜드,035250,2011/12,184734000
(주)강원랜드,035250,2012/12,153068000
(주)강원랜드,035250,2013/12,147999469
(주)강원랜드,035250,2014/12,172328148
(주)강원랜드,035250,2015/12,198684218
(주)강원랜드,035250,2016/12,200711608
(주)강원랜드,035250,2017/12,200711608
(주)강원랜드,035250,2018/12,182465098
(주)강원랜드,035250,2019/12,182465098
(주)강원랜드,035250,2020/12,
(주)강원랜드,035250,2021/12,
(주)강원에너지,114190,2011/11,761000
(주)강원에너지,114190,2011/12,
(주)강원에너지,114190,2012/12,103341
(주)강원에너지,114190,2012/12,530000
(주)강원에너지,114190,2013/12,380000
(주)강원에너지,114190,2014/12,
(주)강원에너지,114190,2015/12,
(주)강원에너지,114190,2016/12,
(주)강원에너지,114190,2017/12,
(주)강원에너지,114190,2018/12,
(주)강원에너지,114190,2019/12,
(주)강원에너지,114190,2020/12,
(주)강원에너지,114190,2021/12,
(주)갤럭시아에스엠,011420,2011/12,
(주)갤럭시아에스엠,011420,2012/12,
(주)갤럭시아에스엠,011420,2013/12,
(주)갤럭시아에스엠,011420,2014/12,
(주)갤럭시아에스엠,011420,2015/12,
(주)갤럭시아에스엠,011420,2016/12,
(주)갤럭시아에스엠,011420,2017/12,
(주)갤럭시아에스엠,011420,2018/12,
(주)갤럭시아에스엠,011420,2019/12,
(주)갤럭시아에스엠,011420,2020/12,
(주)갤럭시아에스엠,011420,2021/12,
(주)경농,002100,2011/12,3197000
(주)경농,002100,2012/12,2593000
(주)경농,002100,2013/12,3457632
(주)경농,002100,2014/12,3840658
(주)경농,002100,2015/12,4287516
(주)경농,002100,2016/12,4734132
(주)경농,002100,2017/12,5270072
(주)경농,002100,2018/12,4466162
(주)경농,002100,2019/12,3930223
(주)경농,002100,2020/12,4466162
(주)경농,002100,2021/12,6252628
(주)경동나비엔,009450,2011/12,1247000
(주)경동나비엔,009450,2012/12,1262000
(주)경동나비엔,009450,2013/12,1262385
(주)경동나비엔,009450,2014/12,1262385
(주)경동나비엔,009450,2015/12,1262385
(주)경동나비엔,009450,2016/12,1893578
(주)경동나비엔,009450,2017/12,2524770
(주)경동나비엔,009450,2018/12,3155962
(주)경동나비엔,009450,2019/12,3787155
(주)경동나비엔,009450,2020/12,4721174
