회사명,거래소코드,회계년도,[제조]총자본증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]정상영업이익증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]총포괄이익증가율(IFRS연결)
(주)CMG제약,058820,2011/12,1.98,-12.89,17.64,-2.02,56.4,0,0,0
(주)CMG제약,058820,2012/12,109.15,-16.43,207.08,75.17,-8.43,0,0,0
(주)CMG제약,058820,2013/12,-2.09,77.05,-18.89,55.1,25.51,0,0,0
(주)CMG제약,058820,2014/12,3.86,68.15,-25.93,0.01,11.52,-44.1,-46.64,-207.81
(주)CMG제약,058820,2015/12,-2.64,1.66,-7.17,-4.48,18.85,0,0,0
(주)CMG제약,058820,2016/12,96.31,6.43,199.84,116.01,21.92,0,0,0
(주)CMG제약,058820,2017/12,-1.27,-12.01,3.12,-3.13,25.98,-9.95,64.07,51.8
(주)CMG제약,058820,2018/12,4.39,16.47,0.18,6.16,20.05,64.75,113.94,103.53
(주)CMG제약,058820,2019/12,68.07,26.2,85.06,73.26,17.56,1.4,-49.69,-51.79
(주)CMG제약,058820,2020/12,,,,,,,,
(주)CMG제약,058820,2021/12,,,,,,,,
(주)DB하이텍,000990,2011/12,-13.19,-14.1,-10.08,-22.6,-10.94,0,0,0
(주)DB하이텍,000990,2012/12,-3.44,-7.69,10.52,-5.57,6.98,0,0,0
(주)DB하이텍,000990,2013/12,-8.58,-1.55,-27.88,-29.61,-16.42,0,0,0
(주)DB하이텍,000990,2014/12,-6.95,-11.75,11.04,-41.05,14.98,0,0,0
(주)DB하이텍,000990,2015/12,-0.02,-12.26,36.42,110.48,17.42,174.29,0,0
(주)DB하이텍,000990,2016/12,0.22,-4.49,9.23,34.58,15.98,37.98,-30.29,-23.75
(주)DB하이텍,000990,2017/12,0.73,3.63,-4.14,33.31,-12.08,-16.95,24.71,29.62
(주)DB하이텍,000990,2018/12,7.3,6.69,8.4,22.51,-1.54,-21.09,-21.19,-14.1
(주)DB하이텍,000990,2019/12,2.1,-3,11.19,15.45,20.64,60.45,20.51,2.3
(주)DB하이텍,000990,2020/12,8.24,8.56,7.73,23.26,15.92,32.02,58.67,64.83
(주)DB하이텍,000990,2021/12,31.51,2.14,77.51,39.2,29.78,66.76,90.87,97.35
(주)ES큐브,050120,2011/12,0,0,0,0,0,0,0,0
(주)ES큐브,050120,2012/12,0,0,0,0,0,0,0,0
(주)ES큐브,050120,2013/12,1.85,-62.76,68.92,6.4,4.69,0,0,0
(주)ES큐브,050120,2014/12,20.1,18.41,20.49,0.17,-24.13,0,0,0
(주)ES큐브,050120,2015/12,-1.75,38.88,-10.89,1.85,-5.19,0,0,12.23
(주)ES큐브,050120,2016/12,89.08,275.9,23.57,68.52,-18.65,0,3206.73,3188.55
(주)ES큐브,050120,2017/12,0.69,1.06,0.3,1.56,4.25,4.05,-92.01,-94.55
(주)ES큐브,050120,2018/12,6.17,22.82,-11.71,-6.15,-5.55,-153.86,-325.15,-317.33
(주)ES큐브,050120,2019/12,312.66,55.75,696.75,-18.89,29.45,0,0,0
(주)ES큐브,050120,2020/12,54.08,274.24,-10.26,25.23,84.57,0,0,0
(주)ES큐브,050120,2021/12,51.45,-82.89,-34.32,22.47,55.92,-97.25,0,0
(주)HJ중공업,097230,2011/12,-6.49,-2.58,-13.26,-4.59,-8.72,-9.82,0,0
(주)HJ중공업,097230,2012/12,-6.42,-7.2,-4.91,-8.1,-11.83,-50.99,0,0
(주)HJ중공업,097230,2013/12,1.49,-9.66,22.63,-4.44,-0.78,0,0,0
(주)HJ중공업,097230,2014/12,-3.19,-1.84,-5.07,-3.88,-0.36,0,0,0
(주)HJ중공업,097230,2015/12,-8.59,-8.83,-8.24,-12.99,23.61,0,0,0
(주)HJ중공업,097230,2016/12,-11.13,-17.24,-2.36,-34.57,-9.7,0,0,0
(주)HJ중공업,097230,2017/12,-19.97,-19.82,-20.15,-35.5,-12.83,0,0,0
(주)HJ중공업,097230,2019/12,-9.64,15.5,-24.43,0,-4.07,35.93,0,0
(주)HJ중공업,097230,2020/12,-11.19,-3.71,-17.92,30.59,4.12,-38.42,-74.39,-71.94
(주)HJ중공업,097230,2021/12,8.72,27.51,-11.1,35,0.63,0,0,49.42
(주)MH에탄올,023150,2011/12,-0.49,-0.4,-0.67,-8.46,-18.64,-82.51,0,0
(주)MH에탄올,023150,2012/12,0.13,-4.69,9.48,-6.76,33.46,803.71,0,0
(주)MH에탄올,023150,2013/12,-3.49,2.54,-13.66,17.05,4.07,-44.79,1640.29,0
(주)MH에탄올,023150,2014/12,-34.05,-34.35,-33.46,15.27,-21.25,190.55,0,-98.66
(주)MH에탄올,023150,2015/12,-7.64,-0.54,-21.69,9.65,2.86,26.84,0,8529.74
(주)MH에탄올,023150,2016/12,-8.43,-6.84,-12.41,9.84,-2.96,7.05,4.71,8.01
(주)MH에탄올,023150,2017/12,591.43,689.3,330.09,3.63,6.3,-31.65,-17.16,-18.62
(주)MH에탄올,023150,2018/12,-12,-1.16,-65.11,-5.46,40.05,-84.87,-108.83,-101.48
(주)MH에탄올,023150,2019/12,2.57,1.96,10.95,-7.78,11.1,537.44,0,0
(주)MH에탄올,023150,2020/12,-0.4,-1.6,14.97,6.85,17.02,101.58,0,0
(주)MH에탄올,023150,2021/12,0.4,-3.05,38.02,2.38,7.84,47.86,-13.4,-39.8
(주)SH에너지화학,002360,2011/12,9.51,-4.09,29.29,2.97,14.99,0,0,0
(주)SH에너지화학,002360,2012/12,-0.97,-2.16,0.31,-0.29,11.97,-47.6,-81.28,-78.56
(주)SH에너지화학,002360,2013/12,6.56,-3.28,16.91,7.81,19.57,194.26,1146.78,1158.1
(주)SH에너지화학,002360,2014/12,0.23,-1.99,2.16,20.89,-0.43,231.12,238.32,221.97
(주)SH에너지화학,002360,2015/12,4.32,-6.17,13.08,8.99,-6.27,7.89,-22.92,-21.75
(주)SH에너지화학,002360,2016/12,7.76,-14.88,23.47,13.99,0.9,5.02,42.44,40.85
(주)SH에너지화학,002360,2017/12,0.66,-6.34,4.01,3.22,-13.87,-41.16,-46.61,-46.37
(주)SH에너지화학,002360,2018/12,-2.3,-2.75,-2.1,-1.92,-2.4,-85.19,-75.89,-76.53
(주)SH에너지화학,002360,2019/12,0.8,8.67,-2.57,-5.94,-23.28,-249.05,-223.7,-249.07
(주)SH에너지화학,002360,2020/12,-4.91,12.67,-13.3,-7.76,-33.56,0,0,0
(주)SH에너지화학,002360,2021/12,1.94,-7.88,8.02,1.94,49.39,0,0,0
(주)SIMPAC,009160,2011/12,15.37,16.19,14.54,16.25,18.47,26.96,21.75,27.24
(주)SIMPAC,009160,2012/12,2.5,5.01,-0.08,11.2,4.64,-7.88,-22.78,-17.85
(주)SIMPAC,009160,2013/12,13.59,52.71,-28.88,11.16,-8.7,-6.32,3.93,9.48
(주)SIMPAC,009160,2014/12,5.51,-6.42,33.34,4.71,27.9,-26.52,-28.56,-49.3
(주)SIMPAC,009160,2015/12,10.71,4.92,20.18,6.1,2.42,22.48,14.79,25.29
(주)SIMPAC,009160,2016/12,-1.17,-3.08,1.55,3.62,-0.91,10.95,-1.54,-3.69
(주)SIMPAC,009160,2017/12,-8.78,-4.4,-14.77,0.17,-13.64,-50.36,-20.32,-23.49
(주)SIMPAC,009160,2018/12,78.86,60.97,106.23,80.64,32.74,-12.89,436.6,510.82
(주)SIMPAC,009160,2019/12,-0.38,5.1,-6.93,1.42,40.48,9.33,-86.29,-85.52
(주)SIMPAC,009160,2020/12,8.56,-1.52,22.15,5.17,-14.93,-30.1,259.84,247.83
(주)SIMPAC,009160,2021/12,22.51,-5.99,53.49,17.82,67.55,1266.33,166.06,167.24
(주)SNT에너지,100840,2011/12,,,,,,,,
(주)SNT에너지,100840,2012/12,,,,,,,,
(주)SNT에너지,100840,2013/12,,,,,,,,
(주)SNT에너지,100840,2014/12,,,,,,,,
(주)SNT에너지,100840,2015/12,,,,,,,,
(주)SNT에너지,100840,2016/12,,,,,,,,
(주)SNT에너지,100840,2017/12,,,,,,,,
(주)SNT에너지,100840,2018/12,,,,,,,,
(주)SNT에너지,100840,2019/12,0,0,0,0,0,0,0,0
(주)SNT에너지,100840,2020/12,0.44,2.09,-0.6,-3.75,11.28,32.35,-36.66,-39.44
(주)SNT에너지,100840,2021/12,0,0,0,0,0,0,0,0
(주)SNT홀딩스,036530,2011/12,4.21,-0.21,9.25,2.21,10.91,-0.27,13.66,-3.75
(주)SNT홀딩스,036530,2012/12,-2.35,-0.64,-4.13,7.44,0.29,-28.89,-14.76,3.14
(주)SNT홀딩스,036530,2013/12,3.58,0.22,7.2,4.85,-5.54,-1.04,-16.31,-1.97
(주)SNT홀딩스,036530,2014/12,-5.11,-3.15,-7.08,4.62,-1.52,-22.75,30.84,6.02
(주)SNT홀딩스,036530,2015/12,6.37,-1.52,14.66,6.51,3.89,146.6,10.19,6.29
(주)SNT홀딩스,036530,2016/12,1.88,-2.3,5.66,0.43,-4.65,-55.25,-91.61,-72.7
(주)SNT홀딩스,036530,2017/12,-2.9,-4.62,-1.46,1.47,-1.92,-16.11,146.91,-47.56
(주)SNT홀딩스,036530,2018/12,-1.51,-1.32,-1.66,9.82,-7.08,19.81,303.74,589.59
(주)SNT홀딩스,036530,2019/12,5.81,2.57,8.43,16.33,7.91,73.82,127.87,118.96
(주)SNT홀딩스,036530,2020/12,1.51,6.02,-1.94,11.38,-5.05,0.64,-40.18,-38.75
(주)SNT홀딩스,036530,2021/12,0,0,0,0,0,0,0,0
(주)STX,011810,2011/12,-14.09,-0.03,-37.48,28.79,47.5,162.45,1.24,-2.54
(주)STX,011810,2012/12,-3.19,-5.81,3.76,-34.6,3.22,0,0,-348.02
(주)STX,011810,2014/12,-6.52,-34.16,12.6,0,-33.27,0,0,0
(주)STX,011810,2015/12,0.97,1.03,0.95,-22.76,-0.23,0,0,-105.88
(주)STX,011810,2016/12,-44.15,-39.37,-46.09,-556.99,5.48,0,0,0
(주)STX,011810,2017/12,-11.33,-31.44,-2.17,0,4.87,0,0,0
(주)STX,011810,2018/12,-11.71,-13.55,-11.12,49.97,-16.68,-133.55,-97.28,-96.34
(주)STX,011810,2019/12,1.09,32.4,-8.62,-11.47,-2.12,0,-460.27,-363.3
(주)STX,011810,2020/12,10.26,71.35,-17.21,-50.05,-33.69,0,0,0
(주)STX,011810,2021/12,9.49,4.12,14.48,136.9,-5.13,0,0,0
(주)TCC스틸,002710,2011/12,9.56,12.52,5.46,0.1,11.61,-41.84,-67.08,-88.34
(주)TCC스틸,002710,2012/12,20.4,21.31,19.05,-0.29,-2.54,-48.05,-96.47,-39.72
(주)TCC스틸,002710,2013/12,-0.6,-1.49,0.73,-9.16,-0.1,0,0,-2697.81
(주)TCC스틸,002710,2014/12,1.34,-1.82,5.99,-7.98,3.63,0,0,0
(주)TCC스틸,002710,2015/12,-31.69,-57.14,2.98,-54.43,-4.47,4502.76,0,0
(주)TCC스틸,002710,2016/12,-24.84,19.03,-49.71,20.26,-10.36,-3.18,0,0
(주)TCC스틸,002710,2017/12,-1.49,-2.27,-0.44,-2.32,-11.94,-47.19,-90.98,-99.54
(주)TCC스틸,002710,2018/12,9.36,-3.68,26.55,11.28,5.57,110.7,537.96,8688.61
(주)TCC스틸,002710,2019/12,3.09,8.26,-2.09,4.11,5.81,-24.73,-48.34,-22.17
(주)TCC스틸,002710,2020/12,-2.37,2.83,-8.14,0.58,-1.23,-92.45,0,-143.4
(주)TCC스틸,002710,2021/12,19.64,-2.88,47.58,28.74,24.28,2536.42,0,0
(주)가비아,079940,2011/12,22.76,22.02,23.7,20.26,30.07,22.24,9.94,14.15
(주)가비아,079940,2012/12,31.24,47.43,10.96,28.11,30.7,-6.86,46.89,51.83
(주)가비아,079940,2013/12,7.02,1.07,16.92,16.43,2.34,-7.7,-10.69,-9.15
(주)가비아,079940,2014/12,8.02,5.21,12.05,9.56,13.8,19.18,-41.1,-42.22
(주)가비아,079940,2015/12,6.63,-6.68,24.61,12.25,13.95,35.39,62.73,69.56
(주)가비아,079940,2016/12,19.71,24.06,15.32,4.78,11.49,10.57,-3.61,-11.15
(주)가비아,079940,2017/12,6.03,2.61,9.75,5.42,13.74,1.3,-12.57,-6.35
(주)가비아,079940,2018/12,13.54,9.09,18.07,12.64,10.76,43.08,54.56,45.94
(주)가비아,079940,2019/12,32.01,54.04,11.3,16.59,15.21,30.5,43.49,47.31
(주)가비아,079940,2020/12,30.07,20.57,42.42,20.68,13.98,20.26,13.21,13.62
(주)가비아,079940,2021/12,16.51,8.03,25.85,13.47,18.57,15.94,-3.43,-2.1
(주)강스템바이오텍,217730,2015/12,,,,,,,,
(주)강스템바이오텍,217730,2016/12,,,,,,,,
(주)강스템바이오텍,217730,2017/12,0,0,0,0,0,0,0,0
(주)강스템바이오텍,217730,2018/12,55.08,10.24,94.06,94.25,0.36,0,0,0
(주)강스템바이오텍,217730,2019/12,55.26,140.63,13.09,48.29,-34.49,0,0,0
(주)강스템바이오텍,217730,2020/12,-27.4,-35.17,-19.23,-27.01,52.18,0,0,0
(주)강스템바이오텍,217730,2021/12,25.02,0.1,46.04,31.87,35.75,0,0,0
(주)강원랜드,035250,2011/12,3.92,0.64,8.63,7.53,-3.66,-12.08,-10.57,-12.21
(주)강원랜드,035250,2012/12,7.2,12.51,0.14,5.08,2.41,-17.13,-19.66,-19.02
(주)강원랜드,035250,2013/12,6.72,16.11,-7.3,6.13,5.02,-4.16,-2.82,-2.23
(주)강원랜드,035250,2014/12,8.8,-0.91,26.97,7.46,9.94,32.25,20.75,12.48
(주)강원랜드,035250,2015/12,9.35,-3.14,27.6,10.81,9.17,16.02,22.9,38.45
(주)강원랜드,035250,2016/12,7.81,11.81,3.38,8.51,3.84,3.9,2.93,-2.37
(주)강원랜드,035250,2017/12,5.19,-6.83,19.61,7.64,-5.43,-14.18,-3.73,-0.97
(주)강원랜드,035250,2018/12,1.09,22.3,-18.72,2.45,-10.37,-18.87,-32.06,-36.26
(주)강원랜드,035250,2019/12,4.89,3.55,6.77,3.65,5.7,16.36,12.56,13.89
(주)강원랜드,035250,2020/12,-17.95,-16.27,-20.23,-12.66,-68.52,0,0,-188.38
(주)강원랜드,035250,2021/12,5.1,1.25,10.6,0.18,64.74,0,0,0
(주)강원에너지,114190,2011/11,,,,,,,,
(주)강원에너지,114190,2011/12,,,,,,,,
(주)강원에너지,114190,2012/12,,,,,,,,
(주)강원에너지,114190,2013/12,,,,,,,,
(주)강원에너지,114190,2014/12,,,,,,,,
(주)강원에너지,114190,2015/12,0,0,0,0,0,0,0,0
(주)강원에너지,114190,2016/12,-9.68,4.17,-14.64,-2.65,-8.45,-393.2,-1190.24,-197.7
(주)강원에너지,114190,2017/12,20.72,6.99,26.72,-12.43,93.99,0,0,0
(주)강원에너지,114190,2018/12,0.71,-7.26,3.66,4.7,4.72,0,0,0
(주)강원에너지,114190,2019/12,-39.69,11.89,-56.71,-56.25,-50.47,-5132.09,-1763.05,-1821.67
(주)강원에너지,114190,2020/12,-41.75,-55.96,-29.63,-19.07,-9.88,0,0,0
(주)강원에너지,114190,2021/12,,,,,,,,
(주)갤럭시아에스엠,011420,2011/12,0,0,0,0,0,0,0,0
