회사명,거래소코드,회계년도,[제조]매출액순이익률(IFRS연결),[제조]총자본순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]매출원가 대 매출액비율(IFRS연결),[제조]광고선전비 대 매출액비율(IFRS연결),[제조]유보율(IFRS연결)
(주)CMG제약,058820,2011/12,-8.5,-5.58,-8.28,58.17,0.26,-17.45
(주)CMG제약,058820,2012/12,-40.97,-15.78,-26.84,71.66,0.14,-4.31
(주)CMG제약,058820,2013/12,1.45,0.52,0.74,61.3,0.26,13.12
(주)CMG제약,058820,2014/12,0.69,0.28,0.32,62.93,0.21,13.13
(주)CMG제약,058820,2015/12,-13.5,-6.37,-7.62,63.74,1.46,6.02
(주)CMG제약,058820,2016/12,5.24,2.06,2.34,59.64,1.57,86.02
(주)CMG제약,058820,2017/12,6.83,2.57,2.85,56.57,1.04,79.9
(주)CMG제약,058820,2018/12,12.16,5.42,6.01,54.4,1.67,90.99
(주)CMG제약,058820,2019/12,5.2,1.99,2.15,50.66,1.05,159.42
(주)CMG제약,058820,2020/12,,,,,,
(주)CMG제약,058820,2021/12,,,,,,
(주)DB하이텍,000990,2011/12,-17.74,-7.59,-27.74,83.38,0,80.99
(주)DB하이텍,000990,2012/12,-5.31,-2.66,-10.47,83.62,0,66.82
(주)DB하이텍,000990,2013/12,-16.82,-7.49,-33.51,81.92,0,28.12
(주)DB하이텍,000990,2014/12,-13.56,-7.54,-47.32,75.89,0,-10.15
(주)DB하이텍,000990,2015/12,19.01,12.87,67.63,65.54,0,24.76
(주)DB하이텍,000990,2016/12,11.43,8.96,29.65,62.49,0,64.24
(주)DB하이텍,000990,2017/12,16.21,11.12,27.62,62.7,0,115.41
(주)DB하이텍,000990,2018/12,12.97,8.43,17.12,67.83,0,160.4
(주)DB하이텍,000990,2019/12,12.96,9.71,17.4,63.57,0,199
(주)DB하이텍,000990,2020/12,17.74,14.64,23.07,61.65,0,266.3
(주)DB하이텍,000990,2021/12,26.09,23.23,33.35,55.94,0,406.03
(주)ES큐브,050120,2011/12,-8.99,-8.65,-12.61,72.08,8.26,227.25
(주)ES큐브,050120,2012/12,-0.64,-0.78,0.29,71.98,5.17,235.11
(주)ES큐브,050120,2013/12,-28.08,-35.23,-40.47,75.24,2.6,128.55
(주)ES큐브,050120,2014/12,-1.38,-1.19,1.15,78.58,0.91,128.93
(주)ES큐브,050120,2015/12,-5.47,-4.11,1.56,72.2,16.85,133.16
(주)ES큐브,050120,2016/12,62.82,26.79,38.07,71.32,0.27,244.51
(주)ES큐브,050120,2017/12,4.86,1.65,2.41,72.9,3.61,74.95
(주)ES큐브,050120,2018/12,-18.13,-5.61,-5.54,77.11,2.48,68.98
(주)ES큐브,050120,2019/12,-31.5,-4.78,-21.76,81.25,0.08,34.11
(주)ES큐브,050120,2020/12,-31.35,-4.29,-39.39,70.07,0.03,1.9
(주)ES큐브,050120,2021/12,4.27,0.6,11.62,87.85,0,24.49
(주)HJ중공업,097230,2011/12,-3.35,-1.33,-5.07,92.15,0.21,672.79
(주)HJ중공업,097230,2012/12,-2.09,-0.78,-2.95,92.51,0.13,610.26
(주)HJ중공업,097230,2013/12,-7.52,-2.87,-11.28,97.43,0.12,373.02
(주)HJ중공업,097230,2014/12,-11.9,-4.56,-18.64,100.67,0.13,207.99
(주)HJ중공업,097230,2015/12,-8.38,-4.21,-17.73,96.44,0.09,168.02
(주)HJ중공업,097230,2016/12,-11.89,-5.99,-29.53,97.88,0.05,69.23
(주)HJ중공업,097230,2017/12,-11.34,-5.87,-37.73,99.13,0.02,9.25
(주)HJ중공업,097230,2019/12,18.8,11.77,0,89.1,0.03,-40.79
(주)HJ중공업,097230,2020/12,4.62,3.36,27.71,92.31,0.03,-22.79
(주)HJ중공업,097230,2021/12,-8.19,-6.11,-37.18,101.2,0.05,4.11
(주)MH에탄올,023150,2011/12,-9.73,-3.24,-9.74,83.19,0.01,852.03
(주)MH에탄올,023150,2012/12,0.48,0.21,1.01,82.03,0.01,787.71
(주)MH에탄올,023150,2013/12,11.3,5.32,16.85,87.33,0.01,939.04
(주)MH에탄올,023150,2014/12,-0.41,-0.19,-0.38,75.76,0.14,1048.39
(주)MH에탄올,023150,2015/12,15.44,9.46,14.06,72.29,0.01,1178.69
(주)MH에탄올,023150,2016/12,16.66,10.76,13.41,69.46,0,1314.52
(주)MH에탄올,023150,2017/12,8.29,1.5,10.42,71.62,0,1410.23
(주)MH에탄올,023150,2018/12,-16.53,-2.56,-0.93,73.53,0.03,1355.58
(주)MH에탄올,023150,2019/12,-9.34,-1.69,-0.88,67.04,0.03,1277.63
(주)MH에탄올,023150,2020/12,4.02,0.84,11.49,63.21,0.04,1363.18
(주)MH에탄올,023150,2021/12,8.51,1.93,9.52,57.03,0.04,1394.96
(주)SH에너지화학,002360,2011/12,1.04,1.8,3.31,92.83,0.01,15.02
(주)SH에너지화학,002360,2012/12,0.11,0.2,0.61,92.2,0.02,14.69
(주)SH에너지화학,002360,2013/12,1.99,4.3,7.35,92.26,0.01,23.54
(주)SH에너지화학,002360,2014/12,7.25,15.13,21.7,85.6,0.01,49.06
(주)SH에너지화학,002360,2015/12,5.82,11.13,14.62,82.76,0,62.33
(주)SH에너지화학,002360,2016/12,8.26,15.02,18.66,82.31,0,84.85
(주)SH에너지화학,002360,2017/12,5.25,7.91,9.21,86.02,0,90.76
(주)SH에너지화학,002360,2018/12,1.11,1.64,2.21,93.32,0,87.25
(주)SH에너지화학,002360,2019/12,-2.19,-2.51,-2.84,95.27,0,76.79
(주)SH에너지화학,002360,2020/12,-7.42,-5.77,-7.29,98.84,0,64.31
(주)SH에너지화학,002360,2021/12,0.44,0.52,0.69,92.9,0,67.5
(주)SIMPAC,009160,2011/12,11.6,8.61,15.9,79.13,0.04,1075.2
(주)SIMPAC,009160,2012/12,8.56,6.13,10.81,81.14,0.22,1205.3
