회사명,거래소코드,회계년도,[제조]비유동비율(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]유동부채비율(IFRS연결),[제조]차입금비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]유보액대비율(IFRS연결),[제조]유보액 대 납입자본배율(IFRS연결),[제조]투자집중도(IFRS연결)
(주)CMG제약,058820,2011/12,66.34,200.97,165.03,15.1,51.41,42.33,13.74,3.53,-13.96,-0.17,147.04
(주)CMG제약,058820,2012/12,31.65,693.49,649.98,68.81,80.77,21.5,55.28,-7.75,-2.49,-0.04,349.56
(주)CMG제약,058820,2013/12,36.13,694.71,610.74,394.63,14.11,11.23,2.89,0.7,10.17,0.13,263.62
(주)CMG제약,058820,2014/12,60.75,324.58,268.23,101.24,18.5,17.79,3.15,3.6,9.8,0.13,253.66
(주)CMG제약,058820,2015/12,64.65,296.85,235.21,29,20.78,18.91,0.01,-32.22,4.7,0.06,208.31
(주)CMG제약,058820,2016/12,31.85,862.15,792.17,23.52,9.76,9.04,0,999999999,42.13,0.86,332.58
(주)CMG제약,058820,2017/12,28.94,746.28,673.66,34.9,11.87,11.11,0,999999999,39.7,0.8,253.72
(주)CMG제약,058820,2018/12,31.75,957.86,856.94,158.5,10,8.17,0,999999999,43.31,0.91,211.17
(주)CMG제약,058820,2019/12,23.12,1618.07,1520.84,199.55,6.71,5.17,0.16,303,57.59,1.59,304.09
(주)CMG제약,058820,2020/12,,,,,,,,,,,
(주)CMG제약,058820,2021/12,,,,,,,,,,,
(주)DB하이텍,000990,2011/12,298.42,35.2,25.5,5.04,289.22,257.97,229.64,-0.75,14.5,0.81,191.23
(주)DB하이텍,000990,2012/12,291.73,55.66,41.39,7.19,298,190.94,234.33,-0.31,12.85,0.67,178.58
(주)DB하이텍,000990,2013/12,408.01,46.76,31.58,7.39,416.9,232.89,324.25,-0.16,5.91,0.28,183.05
(주)DB하이텍,000990,2014/12,610.83,65.77,47.39,10.72,715.95,311.87,545.5,0.67,-2.29,-0.1,153.39
(주)DB하이텍,000990,2015/12,254.62,138.4,104.2,44.31,287.57,96.06,206.91,2.5,5.6,0.25,130.49
(주)DB하이텍,000990,2016/12,180.71,134.53,106.69,42.15,188.6,80.2,123.51,4.41,14.49,0.64,116.48
(주)DB하이텍,000990,2017/12,140.48,243.53,191.87,74.02,118.07,31.86,78.01,6.05,25.84,1.15,133.86
(주)DB하이텍,000990,2018/12,122.34,244.51,217.15,75.96,91,28.08,54.62,6.77,33.47,1.6,138.53
(주)DB하이텍,000990,2019/12,102.79,194.01,170.41,38.58,68.91,34.08,39.2,13.44,40.67,1.99,125.81
(주)DB하이텍,000990,2020/12,90.53,175.47,155.66,18.45,48.33,32.94,22.38,36.79,50.29,2.66,113.62
(주)DB하이텍,000990,2021/12,66.43,243.09,223.4,54.58,40.13,30.32,15.53,121.6,58.3,4.06,114.68
(주)ES큐브,050120,2011/12,54.53,230.24,194.35,21.35,41.36,37.71,0.25,-245.99,49.79,2.38,100.85
(주)ES큐브,050120,2012/12,59.14,472.77,371.91,84.78,16.11,12.05,0.39,1.72,60.85,2.41,80.86
(주)ES큐브,050120,2013/12,20.72,1056.51,883.95,278.73,11.25,8.57,0.36,-37.44,51.18,1.32,80.44
(주)ES큐브,050120,2014/12,20.95,769.89,668.53,425.42,14.07,12.1,5.41,22.2,55.43,1.72,124.96
