회사명,거래소코드,회계년도,상장일,[제조]자산(*)(IFRS연결),[제조]당기순이익(손실)(IFRS),[제조]      미처분이익잉여금(결손금)(IFRS)
(주)CMG제약,058820,2011/12,2001/08/31,27305198,-1264488,-44971257
(주)CMG제약,058820,2012/12,2001/08/31,57108035,-6892739,-52368787
(주)CMG제약,058820,2013/12,2001/08/31,55912563,335258,-52151440
(주)CMG제약,058820,2014/12,2001/08/31,58068326,171502,-52330174
(주)CMG제약,058820,2015/12,2001/08/31,56532821,-3648668,-56348409
(주)CMG제약,058820,2016/12,2001/08/31,110979867,1693463,-54546528
(주)CMG제약,058820,2017/12,2001/08/31,109568153,2834901,-3397713
(주)CMG제약,058820,2018/12,2001/08/31,114379880,6065026,2308864
(주)CMG제약,058820,2019/12,2001/08/31,192243166,3051177,5054709
(주)CMG제약,058820,2020/12,2001/08/31,,214996,5638076
(주)CMG제약,058820,2021/12,2001/08/31,,3165485,8790536
(주)DB하이텍,000990,2011/12,1975/12/12,1199043869,-93084414,-544307000
(주)DB하이텍,000990,2012/12,1975/12/12,1157755031,-32121504,-577552000
(주)DB하이텍,000990,2013/12,1975/12/12,1058391832,-73243309,-72161000
(주)DB하이텍,000990,2014/12,1975/12/12,984876636,-58319918,-134158000
(주)DB하이텍,000990,2015/12,1975/12/12,984643712,127469869,-10928000
(주)DB하이텍,000990,2016/12,1975/12/12,986788572,88002359,75869000
(주)DB하이텍,000990,2017/12,1975/12/12,993950720,74401732,152840000
(주)DB하이텍,000990,2018/12,1975/12/12,1066533840,95087399,268675000
(주)DB하이텍,000990,2019/12,1975/12/12,1088889810,121159865,371828000
(주)DB하이텍,000990,2020/12,1975/12/12,1178581197,165657642,519643000
(주)DB하이텍,000990,2021/12,1975/12/12,1549937896,316919978,824770000
(주)ES큐브,050120,2011/12,2002/04/25,55477032,-2933429,-3118128
(주)ES큐브,050120,2012/12,2002/04/25,46281660,516857,487726
(주)ES큐브,050120,2013/12,2002/04/25,47137573,-14749080,-13964452
(주)ES큐브,050120,2014/12,2002/04/25,56611836,-2412385,-2486485
(주)ES큐브,050120,2015/12,2002/04/25,55620280,3610344,3646306
(주)ES큐브,050120,2016/12,2002/04/25,105164626,17469014,21106703
(주)ES큐브,050120,2017/12,2002/04/25,105892131,1218923,22258442
(주)ES큐브,050120,2018/12,2002/04/25,112430896,-3836071,19157733
(주)ES큐브,050120,2019/12,2002/04/25,463958680,-12738710,4184768
(주)ES큐브,050120,2020/12,2002/04/25,714889745,-29081429,-24893968
(주)ES큐브,050120,2021/12,2002/04/25,1082732056,5694998,-19163933
(주)HJ중공업,097230,2011/12,2007/08/31,7036680000,-116272000,855587000
(주)HJ중공업,097230,2012/12,2007/08/31,6585093000,13082000,848158000
(주)HJ중공업,097230,2013/12,2007/08/31,6683379000,-212716000,638185000
(주)HJ중공업,097230,2014/12,2007/08/31,6470284000,-225739000,401262000
(주)HJ중공업,097230,2015/12,2007/08/31,5914637000,-260118000,12696000
(주)HJ중공업,097230,2016/12,2007/08/31,5256464000,-334429000,-492725000
(주)HJ중공업,097230,2017/12,2007/08/31,4206655000,-299028000,-714358000
(주)HJ중공업,097230,2019/12,2007/08/31,2470222000,-73654000,-1293567000
(주)HJ중공업,097230,2020/12,2007/08/31,2193855000,76553000,-1219781000
(주)HJ중공업,097230,2021/12,2007/08/31,2385236000,-139995000,-1360620000
(주)MH에탄올,023150,2011/12,1996/12/24,134206851,3351943,47936751
(주)MH에탄올,023150,2012/12,1996/12/24,134385813,2571700,50488444
(주)MH에탄올,023150,2013/12,1996/12/24,129697936,-11627211,38836880
(주)MH에탄올,023150,2014/12,1996/12/24,85534839,4618332,43110947
(주)MH에탄올,023150,2015/12,1996/12/24,78996052,7744832,48918815
(주)MH에탄올,023150,2016/12,1996/12/24,72339673,8134873,54967849
(주)MH에탄올,023150,2017/12,1996/12/24,500180086,5903108,58282649
(주)MH에탄올,023150,2018/12,1996/12/24,440177523,6553371,68051037
(주)MH에탄올,023150,2019/12,1996/12/24,451474451,-5004935,60387985
(주)MH에탄올,023150,2020/12,1996/12/24,449679366,1156387,58727543
(주)MH에탄올,023150,2021/12,1996/12/24,451460752,4938622,60433737
