회사명,거래소코드,회계년도,[제조]자산(*)(IFRS연결),[제조]부채(*)(IFRS연결),산술평균,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수),주식의 종류
(주)CMG제약,058820,2011/12,27305198,9270949,775,43693200,10
(주)CMG제약,058820,2011/12,27305198,9270949,775,43693200,90
(주)CMG제약,058820,2012/12,57108035,25517350,1387,66025540,90
(주)CMG제약,058820,2012/12,57108035,25517350,1387,66025540,10
(주)CMG제약,058820,2013/12,55912563,6915281,923,86626866,10
(주)CMG제약,058820,2013/12,55912563,6915281,923,86626866,90
(주)CMG제약,058820,2014/12,58068326,9065682,964,86626866,90
(주)CMG제약,058820,2014/12,58068326,9065682,964,86626866,10
(주)CMG제약,058820,2014/12,58068326,9065682,964,0,20
(주)CMG제약,058820,2015/12,56532821,9725933,1987,88297244,90
(주)CMG제약,058820,2015/12,56532821,9725933,1987,88297244,10
(주)CMG제약,058820,2016/12,110979867,9872232,2747,108707244,90
(주)CMG제약,058820,2016/12,110979867,9872232,2747,108707244,10
(주)CMG제약,058820,2017/12,109568153,11624134,6285,108887244,90
(주)CMG제약,058820,2017/12,109568153,11624134,6285,108887244,10
(주)CMG제약,058820,2018/12,114379880,10398033,4348,108887244,90
(주)CMG제약,058820,2018/12,114379880,10398033,4348,108887244,10
(주)CMG제약,058820,2019/12,192243166,12084883,3981,138892244,90
(주)CMG제약,058820,2019/12,192243166,12084883,3981,138892244,10
(주)CMG제약,058820,2020/12,,,5752,138892244,90
(주)CMG제약,058820,2020/12,,,5752,138892244,10
(주)CMG제약,058820,2021/12,,,3730,138892244,90
(주)CMG제약,058820,2021/12,,,3730,138892244,10
(주)DB하이텍,000990,2011/12,1199043869,890982181,7352,42923284,90
(주)DB하이텍,000990,2011/12,1199043869,890982181,7352,143335,20
(주)DB하이텍,000990,2011/12,1199043869,890982181,7352,42779949,10
(주)DB하이텍,000990,2012/12,1157755031,866861695,6357,44511167,90
(주)DB하이텍,000990,2012/12,1157755031,866861695,6357,143335,20
(주)DB하이텍,000990,2012/12,1157755031,866861695,6357,44367832,10
(주)DB하이텍,000990,2013/12,1058391832,853635085,5506,44367832,10
(주)DB하이텍,000990,2013/12,1058391832,853635085,5506,143335,20
(주)DB하이텍,000990,2013/12,1058391832,853635085,5506,44511167,90
(주)DB하이텍,000990,2014/12,984876636,864173902,5003,44367832,10
(주)DB하이텍,000990,2014/12,984876636,864173902,5003,143335,20
(주)DB하이텍,000990,2014/12,984876636,864173902,5003,44511167,90
(주)DB하이텍,000990,2015/12,984643712,730586221,13652,44511167,90
(주)DB하이텍,000990,2015/12,984643712,730586221,13652,44367832,10
(주)DB하이텍,000990,2015/12,984643712,730586221,13652,143335,20
(주)DB하이텍,000990,2016/12,986788572,644871257,15869,44511167,90
(주)DB하이텍,000990,2016/12,986788572,644871257,15869,44367832,10
(주)DB하이텍,000990,2016/12,986788572,644871257,15869,143335,20
(주)DB하이텍,000990,2017/12,993950720,538152775,12297,143335,20
(주)DB하이텍,000990,2017/12,993950720,538152775,12297,44367832,10
(주)DB하이텍,000990,2017/12,993950720,538152775,12297,44511167,90
(주)DB하이텍,000990,2018/12,1066533840,508142309,11118,44398588,10
(주)DB하이텍,000990,2018/12,1066533840,508142309,11118,44511167,90
(주)DB하이텍,000990,2018/12,1066533840,508142309,11118,112579,20
(주)DB하이텍,000990,2019/12,1088889810,444239080,23365,44511167,90
(주)DB하이텍,000990,2019/12,1088889810,444239080,23365,112579,20
(주)DB하이텍,000990,2019/12,1088889810,444239080,23365,44398588,10
(주)DB하이텍,000990,2020/12,1178581197,383996685,38186,44511167,90
(주)DB하이텍,000990,2020/12,1178581197,383996685,38186,112579,20
(주)DB하이텍,000990,2020/12,1178581197,383996685,38186,44398588,10
(주)DB하이텍,000990,2021/12,1549937896,443888190,70209,44511167,90
(주)DB하이텍,000990,2021/12,1549937896,443888190,70209,112579,20
(주)DB하이텍,000990,2021/12,1549937896,443888190,70209,44398588,10
(주)ES큐브,050120,2011/12,55477032,16231202,2156,23243905,10
(주)ES큐브,050120,2011/12,55477032,16231202,2156,23243905,90
(주)ES큐브,050120,2012/12,46281660,6421979,3635,23393158,90
(주)ES큐브,050120,2012/12,46281660,6421979,3635,23393158,10
(주)ES큐브,050120,2013/12,47137573,4765132,1597,36493326,90
(주)ES큐브,050120,2013/12,47137573,4765132,1597,36493326,10
(주)ES큐브,050120,2014/12,56611836,6983745,1386,36493326,90
(주)ES큐브,050120,2014/12,56611836,6983745,1386,36493326,10
(주)ES큐브,050120,2015/12,55620280,5965820,1606,36493326,10
(주)ES큐브,050120,2015/12,55620280,5965820,1606,36493326,90
(주)ES큐브,050120,2016/12,105164626,33468504,1643,41621527,90
(주)ES큐브,050120,2016/12,105164626,33468504,1643,41621527,10
(주)ES큐브,050120,2017/12,105892131,33075251,918,83243054,90
(주)ES큐브,050120,2017/12,105892131,33075251,918,83243054,10
(주)ES큐브,050120,2018/12,112430896,41682289,687,83243054,90
(주)ES큐브,050120,2018/12,112430896,41682289,687,83243054,10
(주)ES큐브,050120,2019/12,463958680,389920168,903,83088255,90
(주)ES큐브,050120,2019/12,463958680,389920168,903,83088255,10
(주)ES큐브,050120,2020/12,714889745,645391926,579,135640864,90
(주)ES큐브,050120,2020/12,714889745,645391926,579,135640864,10
(주)ES큐브,050120,2021/12,1082732056,966876862,4638,13564086,90
(주)ES큐브,050120,2021/12,1082732056,966876862,4638,13564086,10
(주)HJ중공업,097230,2011/12,7036680000,5169832000,20731,48288465,10
(주)HJ중공업,097230,2011/12,7036680000,5169832000,20731,48288465,90
(주)HJ중공업,097230,2012/12,6585093000,4869577000,12861,48288465,90
(주)HJ중공업,097230,2012/12,6585093000,4869577000,12861,48288465,10
(주)HJ중공업,097230,2013/12,6683379000,5044381000,11708,69288465,10
(주)HJ중공업,097230,2013/12,6683379000,5044381000,11708,0,20
(주)HJ중공업,097230,2013/12,6683379000,5044381000,11708,69288465,90
(주)HJ중공업,097230,2014/12,6470284000,4897208000,4500,102288465,90
(주)HJ중공업,097230,2014/12,6470284000,4897208000,4500,0,20
(주)HJ중공업,097230,2014/12,6470284000,4897208000,4500,102288465,10
(주)HJ중공업,097230,2015/12,5914637000,4546048000,3982,0,20
(주)HJ중공업,097230,2015/12,5914637000,4546048000,3982,102288465,10
(주)HJ중공업,097230,2015/12,5914637000,4546048000,3982,102288465,90
(주)HJ중공업,097230,2016/12,5256464000,4361281000,3360,106052508,90
(주)HJ중공업,097230,2016/12,5256464000,4361281000,3360,0,20
(주)HJ중공업,097230,2016/12,5256464000,4361281000,3360,106052508,10
(주)HJ중공업,097230,2017/12,4206655000,3629457000,3318,106052508,10
(주)HJ중공업,097230,2017/12,4206655000,3629457000,3318,106052508,90
(주)HJ중공업,097230,2017/12,4206655000,3629457000,3318,0,20
(주)HJ중공업,097230,2019/12,2470222000,2225228000,4739,83274281,10
(주)HJ중공업,097230,2019/12,2470222000,2225228000,4739,0,20
(주)HJ중공업,097230,2019/12,2470222000,2225228000,4739,83274281,90
(주)HJ중공업,097230,2020/12,2193855000,1873852000,7933,0,20
(주)HJ중공업,097230,2020/12,2193855000,1873852000,7933,83274281,10
(주)HJ중공업,097230,2020/12,2193855000,1873852000,7933,83274281,90
(주)HJ중공업,097230,2021/12,2385236000,1953231000,7994,83274281,90
(주)HJ중공업,097230,2021/12,2385236000,1953231000,7994,0,20
(주)HJ중공업,097230,2021/12,2385236000,1953231000,7994,83274281,10
(주)MH에탄올,023150,2011/12,134206851,91539513,2755,7000000,90
(주)MH에탄올,023150,2011/12,134206851,91539513,2755,7000000,10
(주)MH에탄올,023150,2012/12,134385813,94707555,2810,7000000,90
(주)MH에탄올,023150,2012/12,134385813,94707555,2810,7000000,10
(주)MH에탄올,023150,2013/12,129697936,83812413,2967,7000000,90
(주)MH에탄올,023150,2013/12,129697936,83812413,2967,7000000,10
(주)MH에탄올,023150,2014/12,85534839,32746158,7984,7378526,10
(주)MH에탄올,023150,2014/12,85534839,32746158,7984,7378526,90
(주)MH에탄올,023150,2015/12,78996052,21111704,8562,7378526,90
(주)MH에탄올,023150,2015/12,78996052,21111704,8562,7378526,10
(주)MH에탄올,023150,2016/12,72339673,8757790,7814,7378526,10
(주)MH에탄올,023150,2016/12,72339673,8757790,7814,7378526,90
(주)MH에탄올,023150,2017/12,500180086,393342742,6501,7378526,10
(주)MH에탄올,023150,2017/12,500180086,393342742,6501,7378526,90
(주)MH에탄올,023150,2018/12,440177523,348592051,5743,7378526,10
(주)MH에탄올,023150,2018/12,440177523,348592051,5743,7378526,90
(주)MH에탄올,023150,2019/12,451474451,372085374,6182,7378526,10
(주)MH에탄올,023150,2019/12,451474451,372085374,6182,7378526,90
(주)MH에탄올,023150,2020/12,449679366,369253871,8810,7378526,90
(주)MH에탄올,023150,2020/12,449679366,369253871,8810,7378526,10
(주)MH에탄올,023150,2021/12,451460752,366757413,10067,7378526,90
(주)MH에탄올,023150,2021/12,451460752,366757413,10067,7378526,10
(주)SH에너지화학,002360,2011/12,104710740,39468414,332,111133730,10
(주)SH에너지화학,002360,2011/12,104710740,39468414,332,111479950,90
(주)SH에너지화학,002360,2011/12,104710740,39468414,332,346220,20
(주)SH에너지화학,002360,2012/12,103690070,38808867,985,111133730,10
(주)SH에너지화학,002360,2012/12,103690070,38808867,985,111139950,90
(주)SH에너지화학,002360,2012/12,103690070,38808867,985,6220,20
(주)SH에너지화학,002360,2013/12,110488951,40889810,741,111133730,10
(주)SH에너지화학,002360,2013/12,110488951,40889810,741,6220,20
(주)SH에너지화학,002360,2013/12,110488951,40889810,741,111139950,90
(주)SH에너지화학,002360,2014/12,110741407,26504210,1544,6220,20
(주)SH에너지화학,002360,2014/12,110741407,26504210,1544,111133730,10
(주)SH에너지화학,002360,2014/12,110741407,26504210,1544,111139950,90
(주)SH에너지화학,002360,2015/12,115520726,23874505,1433,111133730,10
(주)SH에너지화학,002360,2015/12,115520726,23874505,1433,6220,20
(주)SH에너지화학,002360,2015/12,115520726,23874505,1433,111139950,90
(주)SH에너지화학,002360,2016/12,124488724,20399837,1529,111139950,90
(주)SH에너지화학,002360,2016/12,124488724,20399837,1529,6220,20
(주)SH에너지화학,002360,2016/12,124488724,20399837,1529,111133730,10
(주)SH에너지화학,002360,2017/12,125312154,17618682,1430,111133730,10
(주)SH에너지화학,002360,2017/12,125312154,17618682,1430,6220,20
(주)SH에너지화학,002360,2017/12,125312154,17618682,1430,111139950,90
(주)SH에너지화학,002360,2018/12,122434685,17043794,1071,111139950,90
(주)SH에너지화학,002360,2018/12,122434685,17043794,1071,111133730,10
(주)SH에너지화학,002360,2018/12,122434685,17043794,1071,6220,20
(주)SH에너지화학,002360,2019/12,123415832,24415856,1011,111139950,90
(주)SH에너지화학,002360,2019/12,123415832,24415856,1011,6220,20
(주)SH에너지화학,002360,2019/12,123415832,24415856,1011,111133730,10
(주)SH에너지화학,002360,2020/12,117356594,27348204,822,111139950,90
(주)SH에너지화학,002360,2020/12,117356594,27348204,822,6220,20
(주)SH에너지화학,002360,2020/12,117356594,27348204,822,111133730,10
(주)SH에너지화학,002360,2021/12,119629058,27889956,939,111133730,10
(주)SH에너지화학,002360,2021/12,119629058,27889956,939,6220,20
(주)SH에너지화학,002360,2021/12,119629058,27889956,939,111139950,90
(주)SIMPAC,009160,2011/12,310879328,141938059,5245,29084925,90
(주)SIMPAC,009160,2011/12,310879328,141938059,5245,29084925,10
(주)SIMPAC,009160,2012/12,318665505,130804553,7234,29084925,90
(주)SIMPAC,009160,2012/12,318665505,130804553,7234,29084925,10
(주)SIMPAC,009160,2013/12,361985890,153154843,6991,29084925,10
(주)SIMPAC,009160,2013/12,361985890,153154843,6991,29084925,90
(주)SIMPAC,009160,2014/12,381939281,162814028,5411,29084925,90
(주)SIMPAC,009160,2014/12,381939281,162814028,5411,29084925,10
(주)SIMPAC,009160,2015/12,422833445,190825603,5858,29084925,90
(주)SIMPAC,009160,2015/12,422833445,190825603,5858,29084925,10
(주)SIMPAC,009160,2016/12,417865468,177448939,4709,29084925,90
(주)SIMPAC,009160,2016/12,417865468,177448939,4709,29084925,10
(주)SIMPAC,009160,2017/12,381158251,140332152,4127,29084925,10
(주)SIMPAC,009160,2017/12,381158251,140332152,4127,29084925,90
(주)SIMPAC,009160,2018/12,681750819,246717950,2451,65429516,90
(주)SIMPAC,009160,2018/12,681750819,246717950,2451,65429516,10
(주)SIMPAC,009160,2019/12,679145850,237950364,2901,65429516,10
