회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원)
(주)CMG제약,058820,2011/12,-2560438,-1773162,3038758
(주)CMG제약,058820,2012/12,-1572581,-30265984,35360511
(주)CMG제약,058820,2013/12,-3939013,21135376,-156948
(주)CMG제약,058820,2014/12,724893,-13611109,5451
(주)CMG제약,058820,2015/12,2410205,-8670780,822
(주)CMG제약,058820,2016/12,3321352,-56094458,52359861
(주)CMG제약,058820,2017/12,1948086,-467123,171180
(주)CMG제약,058820,2018/12,886779,8779219,0
(주)CMG제약,058820,2019/12,2823387,-70595614,72877952
(주)CMG제약,058820,2020/12,,,
(주)CMG제약,058820,2021/12,,,
(주)DB하이텍,000990,2011/12,60749180,-23347990,-88776492
(주)DB하이텍,000990,2012/12,73876619,-49272120,-22718301
(주)DB하이텍,000990,2013/12,28380938,-14425742,-18089531
(주)DB하이텍,000990,2014/12,48078139,-43635104,1205904
(주)DB하이텍,000990,2015/12,152722221,-12209258,-71767078
(주)DB하이텍,000990,2016/12,248312191,-121031883,-118529941
(주)DB하이텍,000990,2017/12,183124083,-101904145,-85790774
(주)DB하이텍,000990,2018/12,180343534,-117302225,-50894632
(주)DB하이텍,000990,2019/12,161078351,-123954602,-70941329
(주)DB하이텍,000990,2020/12,309982630,-265310218,-75974562
(주)DB하이텍,000990,2021/12,393129115,-252766500,-4884073
(주)ES큐브,050120,2011/12,1107724,-2460979,100000
(주)ES큐브,050120,2012/12,5224759,-4486091,302892
(주)ES큐브,050120,2013/12,2590980,-14873142,18283521
(주)ES큐브,050120,2014/12,2889415,7970827,109920
(주)ES큐브,050120,2015/12,-2778236,399044,2949998
(주)ES큐브,050120,2016/12,1240854,-23005177,37786301
(주)ES큐브,050120,2017/12,2310978,-6850093,-1313460
(주)ES큐브,050120,2018/12,-1347532,-1328332,4892298
(주)ES큐브,050120,2019/12,75624795,-18643079,27275835
(주)ES큐브,050120,2020/12,-37420433,179954,-62947856
(주)ES큐브,050120,2021/12,69284861,-45645,38303932
(주)HJ중공업,097230,2011/12,-401788000,41457000,94035000
(주)HJ중공업,097230,2012/12,-84391000,39701000,-67579000
(주)HJ중공업,097230,2013/12,-321347000,-52839000,237949000
(주)HJ중공업,097230,2014/12,-238336000,204078000,-211347000
(주)HJ중공업,097230,2015/12,257547000,-32960000,-418692000
