회사명,거래소코드,회계년도,외국인_주식분포비율
(주)CMG제약,058820,2011/12,0.07
(주)CMG제약,058820,2012/12,0.29
(주)CMG제약,058820,2013/12,0.25
(주)CMG제약,058820,2014/12,0.34
(주)CMG제약,058820,2015/12,0.65
(주)CMG제약,058820,2016/12,2.07
(주)CMG제약,058820,2017/12,3.51
(주)CMG제약,058820,2018/12,4.69
(주)CMG제약,058820,2019/12,2.12
(주)CMG제약,058820,2020/12,7.2
(주)CMG제약,058820,2021/12,6.62
(주)DB하이텍,000990,2011/12,6.65
(주)DB하이텍,000990,2012/12,7.45
(주)DB하이텍,000990,2013/12,7.07
(주)DB하이텍,000990,2014/12,3.72
(주)DB하이텍,000990,2015/12,10.05
(주)DB하이텍,000990,2016/12,13.46
(주)DB하이텍,000990,2017/12,20.15
(주)DB하이텍,000990,2018/12,28.31
(주)DB하이텍,000990,2019/12,39.6
(주)DB하이텍,000990,2020/12,27.61
(주)DB하이텍,000990,2021/12,24.1
(주)ES큐브,050120,2011/12,2.12
(주)ES큐브,050120,2012/12,2.04
(주)ES큐브,050120,2013/12,0.74
(주)ES큐브,050120,2014/12,1.13
(주)ES큐브,050120,2015/12,2.77
(주)ES큐브,050120,2016/12,2.49
(주)ES큐브,050120,2017/12,1.12
(주)ES큐브,050120,2018/12,3.33
(주)ES큐브,050120,2019/12,2.92
(주)ES큐브,050120,2020/12,0.96
(주)ES큐브,050120,2021/12,2.71
(주)HJ중공업,097230,2011/12,9.87
(주)HJ중공업,097230,2012/12,8.39
(주)HJ중공업,097230,2013/12,9.27
(주)HJ중공업,097230,2014/12,2.96
(주)HJ중공업,097230,2015/12,2.78
(주)HJ중공업,097230,2016/12,7.64
(주)HJ중공업,097230,2017/12,4.64
(주)HJ중공업,097230,2019/12,20.71
(주)HJ중공업,097230,2020/12,20.92
(주)HJ중공업,097230,2021/12,20.08
(주)MH에탄올,023150,2011/12,0.22
(주)MH에탄올,023150,2012/12,0.13
(주)MH에탄올,023150,2013/12,0.02
(주)MH에탄올,023150,2014/12,3.34
(주)MH에탄올,023150,2015/12,4.21
(주)MH에탄올,023150,2016/12,1.64
(주)MH에탄올,023150,2017/12,1.26
(주)MH에탄올,023150,2018/12,0.42
(주)MH에탄올,023150,2019/12,0.71
(주)MH에탄올,023150,2020/12,1.49
(주)MH에탄올,023150,2021/12,3.47
(주)SH에너지화학,002360,2011/12,31.47
(주)SH에너지화학,002360,2012/12,31.88
(주)SH에너지화학,002360,2013/12,31.62
(주)SH에너지화학,002360,2014/12,36.92
(주)SH에너지화학,002360,2015/12,35.07
(주)SH에너지화학,002360,2016/12,35.19
(주)SH에너지화학,002360,2017/12,33.94
