,회사명,회계년도,거래소코드,target
0,(주)DB하이텍,2011,000990,0
1,(주)DB하이텍,2012,000990,0
2,(주)DB하이텍,2013,000990,0
3,(주)DB하이텍,2014,000990,0
4,(주)DB하이텍,2015,000990,0
5,(주)DB하이텍,2016,000990,0
6,(주)DB하이텍,2017,000990,0
7,(주)DB하이텍,2018,000990,0
8,(주)DB하이텍,2019,000990,1
9,(주)DB하이텍,2020,000990,1
10,(주)DB하이텍,2021,000990,1
11,(주)MH에탄올,2011,023150,0
12,(주)MH에탄올,2012,023150,0
13,(주)MH에탄올,2013,023150,0
14,(주)MH에탄올,2014,023150,0
15,(주)MH에탄올,2015,023150,0
16,(주)MH에탄올,2016,023150,1
17,(주)MH에탄올,2017,023150,1
18,(주)MH에탄올,2018,023150,1
19,(주)MH에탄올,2019,023150,1
20,(주)MH에탄올,2020,023150,1
21,(주)MH에탄올,2021,023150,1
22,(주)SH에너지화학,2011,002360,0
23,(주)SH에너지화학,2012,002360,0
24,(주)SH에너지화학,2013,002360,0
25,(주)SH에너지화학,2014,002360,0
26,(주)SH에너지화학,2015,002360,1
27,(주)SH에너지화학,2016,002360,1
28,(주)SH에너지화학,2017,002360,1
29,(주)SH에너지화학,2018,002360,1
30,(주)SH에너지화학,2019,002360,0
31,(주)SH에너지화학,2020,002360,0
32,(주)SH에너지화학,2021,002360,0
33,(주)SIMPAC,2011,009160,1
34,(주)SIMPAC,2012,009160,1
35,(주)SIMPAC,2013,009160,1
36,(주)SIMPAC,2014,009160,1
37,(주)SIMPAC,2015,009160,1
38,(주)SIMPAC,2016,009160,1
39,(주)SIMPAC,2017,009160,1
40,(주)SIMPAC,2018,009160,1
41,(주)SIMPAC,2019,009160,1
42,(주)SIMPAC,2020,009160,1
43,(주)SIMPAC,2021,009160,1
44,(주)SNT에너지,2011,100840,0
45,(주)SNT에너지,2012,100840,0
46,(주)SNT에너지,2013,100840,0
47,(주)SNT에너지,2014,100840,1
48,(주)SNT에너지,2015,100840,1
49,(주)SNT에너지,2016,100840,0
50,(주)SNT에너지,2017,100840,0
51,(주)SNT에너지,2018,100840,0
52,(주)SNT에너지,2019,100840,0
53,(주)SNT에너지,2020,100840,0
54,(주)SNT에너지,2021,100840,1
55,(주)SNT홀딩스,2011,036530,1
56,(주)SNT홀딩스,2012,036530,1
57,(주)SNT홀딩스,2013,036530,1
58,(주)SNT홀딩스,2014,036530,1
59,(주)SNT홀딩스,2015,036530,1
60,(주)SNT홀딩스,2016,036530,1
61,(주)SNT홀딩스,2017,036530,1
62,(주)SNT홀딩스,2018,036530,1
63,(주)SNT홀딩스,2019,036530,1
64,(주)SNT홀딩스,2020,036530,1
65,(주)SNT홀딩스,2021,036530,1
66,(주)STX,2011,011810,1
67,(주)STX,2012,011810,1
68,(주)STX,2014,011810,0
69,(주)STX,2015,011810,0
70,(주)STX,2016,011810,0
71,(주)STX,2017,011810,0
72,(주)STX,2018,011810,0
73,(주)STX,2019,011810,0
74,(주)STX,2020,011810,0
75,(주)STX,2021,011810,0
76,(주)TCC스틸,2011,002710,1
77,(주)TCC스틸,2012,002710,1
78,(주)TCC스틸,2013,002710,1
79,(주)TCC스틸,2014,002710,1
80,(주)TCC스틸,2015,002710,0
81,(주)TCC스틸,2016,002710,0
82,(주)TCC스틸,2017,002710,0
83,(주)TCC스틸,2018,002710,0
84,(주)TCC스틸,2019,002710,0
85,(주)TCC스틸,2020,002710,1
86,(주)TCC스틸,2021,002710,1
87,(주)가비아,2011,079940,1
88,(주)가비아,2012,079940,1
89,(주)가비아,2013,079940,1
90,(주)가비아,2014,079940,1
91,(주)가비아,2015,079940,1
92,(주)가비아,2016,079940,1
93,(주)가비아,2017,079940,1
94,(주)가비아,2018,079940,1
95,(주)가비아,2019,079940,1
96,(주)가비아,2020,079940,1
97,(주)가비아,2021,079940,1
98,(주)강원랜드,2011,035250,1
99,(주)강원랜드,2012,035250,1
100,(주)강원랜드,2013,035250,1
101,(주)강원랜드,2014,035250,1
102,(주)강원랜드,2015,035250,1
103,(주)강원랜드,2016,035250,1
104,(주)강원랜드,2017,035250,1
105,(주)강원랜드,2018,035250,1
106,(주)강원랜드,2019,035250,1
107,(주)강원랜드,2020,035250,0
108,(주)강원랜드,2021,035250,0
109,(주)강원에너지,2011,114190,1
110,(주)강원에너지,2012,114190,1
111,(주)강원에너지,2013,114190,1
112,(주)강원에너지,2014,114190,0
113,(주)강원에너지,2015,114190,0
114,(주)강원에너지,2016,114190,0
115,(주)강원에너지,2017,114190,0
116,(주)강원에너지,2018,114190,0
117,(주)강원에너지,2019,114190,0
118,(주)강원에너지,2020,114190,0
119,(주)강원에너지,2021,114190,0
120,(주)경농,2011,002100,1
121,(주)경농,2012,002100,1
