,회사명,거래소코드,회계년도,대주주지분변화분,외국인지분분변화
0,(주)CMG제약,058820,2011/12,0.0,0.0
1,(주)CMG제약,058820,2012/12,0.0,0.21999999999999997
2,(주)CMG제약,058820,2013/12,27.98,-0.03999999999999998
3,(주)CMG제약,058820,2014/12,0.0,0.09000000000000002
4,(주)CMG제약,058820,2015/12,-3.4899999999999984,0.31
5,(주)CMG제약,058820,2016/12,0.0,1.42
6,(주)CMG제약,058820,2017/12,0.0,1.44
7,(주)CMG제약,058820,2018/12,0.0,1.1800000000000006
8,(주)CMG제약,058820,2019/12,-0.5100000000000016,-2.5700000000000003
9,(주)CMG제약,058820,2020/12,0.0,5.08
10,(주)CMG제약,058820,2021/12,-25.74,-0.5800000000000001
11,(주)DB하이텍,000990,2011/12,25.47,0.03000000000000025
12,(주)DB하이텍,000990,2012/12,0.0,0.7999999999999998
13,(주)DB하이텍,000990,2013/12,-25.97,-0.3799999999999999
14,(주)DB하이텍,000990,2014/12,25.93,-3.35
15,(주)DB하이텍,000990,2015/12,0.0,6.33
16,(주)DB하이텍,000990,2016/12,-25.96,3.41
17,(주)DB하이텍,000990,2017/12,25.96,6.689999999999998
18,(주)DB하이텍,000990,2018/12,0.0,8.16
19,(주)DB하이텍,000990,2019/12,-0.14000000000000057,11.290000000000003
20,(주)DB하이텍,000990,2020/12,0.0,-11.990000000000002
21,(주)DB하이텍,000990,2021/12,-25.3,-3.509999999999998
22,(주)ES큐브,050120,2011/12,25.3,-21.98
23,(주)ES큐브,050120,2012/12,0.0,-0.08000000000000007
24,(주)ES큐브,050120,2013/12,-25.81,-1.3
25,(주)ES큐브,050120,2014/12,25.81,0.3899999999999999
26,(주)ES큐브,050120,2015/12,0.0,1.6400000000000001
27,(주)ES큐브,050120,2016/12,-25.83,-0.2799999999999998
28,(주)ES큐브,050120,2017/12,2.1,-1.37
29,(주)ES큐브,050120,2018/12,-1.7899999999999998,2.21
30,(주)ES큐브,050120,2019/12,12.57,-0.41000000000000014
31,(주)ES큐브,050120,2020/12,-12.89,-1.96
32,(주)ES큐브,050120,2021/12,8.4,1.75
33,(주)HJ중공업,097230,2011/12,-8.38,7.159999999999999
