,회사명,거래소코드,회계년도,상장일,자산,당기순이익(손실),미처분이익잉여금(결손금),총자본증가율,비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도
0,(주)CMG제약,058820,2011,2001/08/31,27305198.0,-1264488.0,-44971257.0,1.98,-12.89,17.64,-2.02,56.4,0.0,0.0,0.0,-8.5,-5.58,-8.28,58.17,0.26,-17.45,66.34,200.97,165.03,15.1,51.41,42.33,13.74,3.53,-13.96,-0.17,147.04
1,(주)CMG제약,058820,2012,2001/08/31,57108035.0,-6892739.0,-52368787.0,109.15,-16.43,207.08,75.17,-8.43,0.0,0.0,0.0,-40.97,-15.78,-26.84,71.66,0.14,-4.31,31.65,693.49,649.98,68.81,80.77,21.5,55.28,-7.75,-2.49,-0.04,349.56
2,(주)CMG제약,058820,2013,2001/08/31,55912563.0,335258.0,-52151440.0,-2.09,77.05,-18.89,55.1,25.51,0.0,0.0,0.0,1.45,0.52,0.74,61.3,0.26,13.12,36.13,694.71,610.74,394.63,14.11,11.23,2.89,0.7,10.17,0.13,263.62
3,(주)CMG제약,058820,2014,2001/08/31,58068326.0,171502.0,-52330174.0,3.86,68.15,-25.93,0.01,11.52,-44.1,-46.64,-207.81,0.69,0.28,0.32,62.93,0.21,13.13,60.75,324.58,268.23,101.24,18.5,17.79,3.15,3.6,9.8,0.13,253.66
4,(주)CMG제약,058820,2015,2001/08/31,56532821.0,-3648668.0,-56348409.0,-2.64,1.66,-7.17,-4.48,18.85,0.0,0.0,0.0,-13.5,-6.37,-7.62,63.74,1.46,6.02,64.65,296.85,235.21,29.0,20.78,18.91,0.01,-32.22,4.7,0.06,208.31
5,(주)CMG제약,058820,2016,2001/08/31,110979867.0,1693463.0,-54546528.0,96.31,6.43,199.84,116.01,21.92,0.0,0.0,0.0,5.24,2.06,2.34,59.64,1.57,86.02,31.85,862.15,792.17,23.52,9.76,9.04,0.0,999999999.0,42.13,0.86,332.58
6,(주)CMG제약,058820,2017,2001/08/31,109568153.0,2834901.0,-3397713.0,-1.27,-12.01,3.12,-3.13,25.98,-9.95,64.07,51.8,6.83,2.57,2.85,56.57,1.04,79.9,28.94,746.28,673.66,34.9,11.87,11.11,0.0,999999999.0,39.7,0.8,253.72
7,(주)CMG제약,058820,2018,2001/08/31,114379880.0,6065026.0,2308864.0,4.39,16.47,0.18,6.16,20.05,64.75,113.94,103.53,12.16,5.42,6.01,54.4,1.67,90.99,31.75,957.86,856.94,158.5,10.0,8.17,0.0,999999999.0,43.31,0.91,211.17
8,(주)CMG제약,058820,2019,2001/08/31,192243166.0,3051177.0,5054709.0,68.07,26.2,85.06,73.26,17.56,1.4,-49.69,-51.79,5.2,1.99,2.15,50.66,1.05,159.42,23.12,1618.07,1520.84,199.55,6.71,5.17,0.16,303.0,57.59,1.59,304.09
9,(주)CMG제약,058820,2020,2001/08/31,,214996.0,5638076.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,(주)CMG제약,058820,2021,2001/08/31,,3165485.0,8790536.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,(주)DB하이텍,000990,2011,1975/12/12,1199043869.0,-93084414.0,-544307000.0,-13.19,-14.1,-10.08,-22.6,-10.94,0.0,0.0,0.0,-17.74,-7.59,-27.74,83.38,0.0,80.99,298.42,35.2,25.5,5.04,289.22,257.97,229.64,-0.75,14.5,0.81,191.23
12,(주)DB하이텍,000990,2012,1975/12/12,1157755031.0,-32121504.0,-577552000.0,-3.44,-7.69,10.52,-5.57,6.98,0.0,0.0,0.0,-5.31,-2.66,-10.47,83.62,0.0,66.82,291.73,55.66,41.39,7.19,298.0,190.94,234.33,-0.31,12.85,0.67,178.58
13,(주)DB하이텍,000990,2013,1975/12/12,1058391832.0,-73243309.0,-72161000.0,-8.58,-1.55,-27.88,-29.61,-16.42,0.0,0.0,0.0,-16.82,-7.49,-33.51,81.92,0.0,28.12,408.01,46.76,31.58,7.39,416.9,232.89,324.25,-0.16,5.91,0.28,183.05
14,(주)DB하이텍,000990,2014,1975/12/12,984876636.0,-58319918.0,-134158000.0,-6.95,-11.75,11.04,-41.05,14.98,0.0,0.0,0.0,-13.56,-7.54,-47.32,75.89,0.0,-10.15,610.83,65.77,47.39,10.72,715.95,311.87,545.5,0.67,-2.29,-0.1,153.39
15,(주)DB하이텍,000990,2015,1975/12/12,984643712.0,127469869.0,-10928000.0,-0.02,-12.26,36.42,110.48,17.42,174.29,0.0,0.0,19.01,12.87,67.63,65.54,0.0,24.76,254.62,138.4,104.2,44.31,287.57,96.06,206.91,2.5,5.6,0.25,130.49
16,(주)DB하이텍,000990,2016,1975/12/12,986788572.0,88002359.0,75869000.0,0.22,-4.49,9.23,34.58,15.98,37.98,-30.29,-23.75,11.43,8.96,29.65,62.49,0.0,64.24,180.71,134.53,106.69,42.15,188.6,80.2,123.51,4.41,14.49,0.64,116.48
17,(주)DB하이텍,000990,2017,1975/12/12,993950720.0,74401732.0,152840000.0,0.73,3.63,-4.14,33.31,-12.08,-16.95,24.71,29.62,16.21,11.12,27.62,62.7,0.0,115.41,140.48,243.53,191.87,74.02,118.07,31.86,78.01,6.05,25.84,1.15,133.86
18,(주)DB하이텍,000990,2018,1975/12/12,1066533840.0,95087399.0,268675000.0,7.3,6.69,8.4,22.51,-1.54,-21.09,-21.19,-14.1,12.97,8.43,17.12,67.83,0.0,160.4,122.34,244.51,217.15,75.96,91.0,28.08,54.62,6.77,33.47,1.6,138.53
19,(주)DB하이텍,000990,2019,1975/12/12,1088889810.0,121159865.0,371828000.0,2.1,-3.0,11.19,15.45,20.64,60.45,20.51,2.3,12.96,9.71,17.4,63.57,0.0,199.0,102.79,194.01,170.41,38.58,68.91,34.08,39.2,13.44,40.67,1.99,125.81
20,(주)DB하이텍,000990,2020,1975/12/12,1178581197.0,165657642.0,519643000.0,8.24,8.56,7.73,23.26,15.92,32.02,58.67,64.83,17.74,14.64,23.07,61.65,0.0,266.3,90.53,175.47,155.66,18.45,48.33,32.94,22.38,36.79,50.29,2.66,113.62
21,(주)DB하이텍,000990,2021,1975/12/12,1549937896.0,316919978.0,824770000.0,31.51,2.14,77.51,39.2,29.78,66.76,90.87,97.35,26.09,23.23,33.35,55.94,0.0,406.03,66.43,243.09,223.4,54.58,40.13,30.32,15.53,121.6,58.3,4.06,114.68
22,(주)ES큐브,050120,2011,2002/04/25,55477032.0,-2933429.0,-3118128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.99,-8.65,-12.61,72.08,8.26,227.25,54.53,230.24,194.35,21.35,41.36,37.71,0.25,-245.99,49.79,2.38,100.85
23,(주)ES큐브,050120,2012,2002/04/25,46281660.0,516857.0,487726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,-0.78,0.29,71.98,5.17,235.11,59.14,472.77,371.91,84.78,16.11,12.05,0.39,1.72,60.85,2.41,80.86
24,(주)ES큐브,050120,2013,2002/04/25,47137573.0,-14749080.0,-13964452.0,1.85,-62.76,68.92,6.4,4.69,0.0,0.0,0.0,-28.08,-35.23,-40.47,75.24,2.6,128.55,20.72,1056.51,883.95,278.73,11.25,8.57,0.36,-37.44,51.18,1.32,80.44
25,(주)ES큐브,050120,2014,2002/04/25,56611836.0,-2412385.0,-2486485.0,20.1,18.41,20.49,0.17,-24.13,0.0,0.0,0.0,-1.38,-1.19,1.15,78.58,0.91,128.93,20.95,769.89,668.53,425.42,14.07,12.1,5.41,22.2,55.43,1.72,124.96
26,(주)ES큐브,050120,2015,2002/04/25,55620280.0,3610344.0,3646306.0,-1.75,38.88,-10.89,1.85,-5.19,0.0,0.0,12.23,-5.47,-4.11,1.56,72.2,16.85,133.16,29.08,765.67,639.55,492.89,12.01,10.83,3.89,-11.86,56.47,1.72,121.44
27,(주)ES큐브,050120,2016,2002/04/25,105164626.0,17469014.0,21106703.0,89.08,275.9,23.57,68.52,-18.65,0.0,3206.73,3188.55,62.82,26.79,38.07,71.32,0.27,244.51,75.71,1493.9,1275.25,918.41,46.68,4.75,41.56,8.98,48.39,2.45,176.82
28,(주)ES큐브,050120,2017,2002/04/25,105892131.0,1218923.0,22258442.0,0.69,1.06,0.3,1.56,4.25,4.05,-92.01,-94.55,4.86,1.65,2.41,72.9,3.61,74.95,75.33,1378.49,1153.05,654.97,45.42,5.08,39.28,2.86,29.46,0.75,182.06
