,target,거래소코드,상장일,수명주기,직급명,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),미처분이익잉여금(결손금),총자본증가율,비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,1인평균지급액(임원),1인년간평균급여(직원),토빈Q,WW지수,RDS
0,0,990,1975/12/12,성숙기,등기이사,제조업,2011,(주)DB하이텍,0.0,8.16,1066533840.0,95087399.0,268675000.0,7.3,6.69,8.4,22.51,-1.54,-21.09,-21.19,-14.1,12.97,8.43,17.12,67.83,0.0,160.4,122.34,244.51,217.15,75.96,91.0,28.08,54.62,6.77,33.47,1.6,138.53,649000.0,56000.0,463.3061091554301,-0.671716298530556,0.0789057915589946
1,0,990,1975/12/12,성숙기,등기이사,제조업,2012,(주)DB하이텍,-0.1400000000000005,11.290000000000004,1088889810.0,121159865.0,371828000.0,2.1,-3.0,11.19,15.45,20.64,60.45,20.51,2.3,12.96,9.71,17.4,63.57,0.0,199.0,102.79,194.01,170.41,38.58,68.91,34.08,39.2,13.44,40.67,1.99,125.81,9000.0,66000.0,953.0966661355752,-0.4856887834577311,0.0684851068480186
2,0,990,1975/12/12,성숙기,등기이사,제조업,2013,(주)DB하이텍,2.110000000000001,3.32,85534839.0,4618332.0,43110947.0,-34.05,-34.35,-33.46,15.27,-21.25,190.55,0.0,-98.66,-0.41,-0.19,-0.38,75.76,0.14,1048.39,107.61,90.87,68.77,0.02,62.03,59.9,55.71,5.62,56.34,10.48,141.36,233010.0,50868.0,689.1098227471966,-1.9914481766331693,0.0
3,0,990,1975/12/12,성장기,등기이사,제조업,2014,(주)DB하이텍,3.58,-2.5700000000000003,72339673.0,8134873.0,54967849.0,-8.43,-6.84,-12.41,9.84,-2.96,7.05,4.71,8.01,16.66,10.76,13.41,69.46,0.0,1314.52,82.78,257.95,185.46,17.87,13.77,12.02,8.63,29.41,83.53,13.15,125.25,267169.0,57211.0,797.136032865396,-1.285583865782108,0.0
4,0,990,1975/12/12,성숙기,등기이사,제조업,2015,(주)DB하이텍,-0.13,5.300000000000001,110741407.0,15569914.0,22013011.0,0.23,-1.99,2.16,20.89,-0.43,231.12,238.32,221.97,7.25,15.13,21.7,85.6,0.01,49.06,59.85,291.69,224.49,37.69,31.46,24.55,11.36,26.68,26.41,0.52,44.09,103000.0,59000.0,1549.7092549131148,-1.2891405708257626,0.0005189330738117
5,0,990,1975/12/12,성숙기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2016,(주)DB하이텍,2.01,-1.8500000000000008,115520726.0,12639344.0,28894296.0,4.32,-6.17,13.08,8.99,-6.27,7.89,-22.92,-21.75,5.82,11.13,14.62,82.76,0.0,62.33,51.62,399.36,329.69,115.03,26.05,18.64,7.51,84.87,31.74,0.66,49.25,221000.0,59000.0,1378.7872973980443,-1.262806126386897,0.0
6,0,990,1975/12/12,성숙기,사외이사 (감사위원회 위원 제외),제조업,2017,(주)DB하이텍,24.97,2.68,318665505.0,22517068.0,31171303.0,2.5,5.01,-0.08,11.2,4.64,-7.88,-22.78,-17.85,8.56,6.13,10.81,81.14,0.22,1205.3,88.31,140.97,117.58,22.15,69.63,57.68,21.47,15.51,55.0,12.05,101.18,592000.0,47898.0,660.665019274678,-0.3981376502568851,0.0
7,0,990,1975/12/12,성숙기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2018,(주)DB하이텍,-9.82,2.229999999999998,381939281.0,10218575.0,21723195.0,5.51,-6.42,33.34,4.71,27.9,-26.52,-28.56,-49.3,5.44,3.85,6.7,83.63,0.09,1417.16,108.2,105.96,76.17,19.44,74.3,62.39,18.64,8.48,54.08,14.2,119.34,433000.0,47000.0,412.47745660127583,-0.3397969785027003,0.0
8,0,990,1975/12/12,성숙기,사외이사 (감사위원회 위원 제외),제조업,2019,(주)DB하이텍,-0.36,0.4299999999999997,422833445.0,19448583.0,30010526.0,10.71,4.92,20.18,6.1,2.42,22.48,14.79,25.29,6.1,4.09,7.29,82.15,0.12,1508.53,107.21,102.82,69.62,14.76,82.25,72.98,22.93,14.66,51.88,15.09,131.52,302000.0,47000.0,403.398355238905,-0.9985413217870908,0.0
9,1,990,1975/12/12,성숙기,사외이사 (감사위원회 위원 제외),제조업,2020,(주)DB하이텍,3.58,0.7200000000000024,417865468.0,16444650.0,29207034.0,-1.17,-3.08,1.55,3.62,-0.91,10.95,-1.54,-3.69,6.06,3.85,6.85,81.52,0.08,1585.77,100.28,113.8,84.21,33.41,73.81,64.61,22.8,16.75,55.19,15.86,133.5,215000.0,48000.0,328.1878290167782,-1.283361460667216,0.0
10,1,990,1975/12/12,성숙기,사외이사 (감사위원회 위원 제외),제조업,2021,(주)DB하이텍,-3.45,-4.280000000000001,381158251.0,7133940.0,18689996.0,-8.78,-4.4,-14.77,0.17,-13.64,-50.36,-20.32,-23.49,5.59,3.23,5.36,83.69,0.12,1643.73,95.71,115.32,85.28,23.55,58.27,54.25,22.93,10.1,62.71,16.44,140.62,292000.0,44000.0,315.28588797884896,-0.4447944448085494,0.0
