,target,거래소코드,상장일,수명주기,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,1인년간평균급여(직원),토빈Q,WW지수,RDS,산업평균_총자산증가율차분,보통주식비율,외국인_주식분포비율,업력
0,0,990,1975/12/12,성숙기,제조업,2016,(주)DB하이텍,3.58,-2.5700000000000003,72339673.0,8134873.0,-6.84,-12.41,9.84,-2.96,7.05,4.71,8.01,16.66,10.76,13.41,69.46,0.0,1314.52,82.78,257.95,185.46,17.87,13.77,12.02,8.63,29.41,83.53,13.15,125.25,57211.0,0.91807979508008,-1.285583865782108,0.0,-8.536740232843933,51.79,1.64,38.0
1,0,990,1975/12/12,성숙기,제조업,2017,(주)DB하이텍,-9.82,2.229999999999998,381939281.0,10218575.0,-6.42,33.34,4.71,27.9,-26.52,-28.56,-49.3,5.44,3.85,6.7,83.63,0.09,1417.16,108.2,105.96,76.17,19.44,74.3,62.39,18.64,8.48,54.08,14.2,119.34,47000.0,0.8383336648083599,-0.3397969785027003,0.0,6.5053842964665405,41.2,17.56,41.0
2,0,990,1975/12/12,성숙기,제조업,2018,(주)DB하이텍,-0.36,0.4299999999999997,422833445.0,19448583.0,4.92,20.18,6.1,2.42,22.48,14.79,25.29,6.1,4.09,7.29,82.15,0.12,1508.53,107.21,102.82,69.62,14.76,82.25,72.98,22.93,14.66,51.88,15.09,131.52,47000.0,0.8542491090079215,-0.9985413217870908,0.0,10.499252752634892,40.89,17.99,42.0
3,1,990,1975/12/12,성숙기,제조업,2019,(주)DB하이텍,3.58,0.7200000000000024,417865468.0,16444650.0,-3.08,1.55,3.62,-0.91,10.95,-1.54,-3.69,6.06,3.85,6.85,81.52,0.08,1585.77,100.28,113.8,84.21,33.41,73.81,64.61,22.8,16.75,55.19,15.86,133.5,48000.0,0.7524188402785176,-1.283361460667216,0.0,-1.276740232843932,40.88,18.71,43.0
4,0,23150,1996/12/24,성숙기,제조업,2013,(주)MH에탄올,-3.45,-4.280000000000001,381158251.0,7133940.0,-4.4,-14.77,0.17,-13.64,-50.36,-20.32,-23.49,5.59,3.23,5.36,83.69,0.12,1643.73,95.71,115.32,85.28,23.55,58.27,54.25,22.93,10.1,62.71,16.44,140.62,44000.0,0.6830906501221194,-0.4447944448085494,0.0,-8.94109063761877,40.88,14.43,44.0
5,0,23150,1996/12/24,성숙기,제조업,2014,(주)MH에탄올,-1.73,0.4499999999999993,679145850.0,11507259.0,5.1,-6.93,1.42,40.48,9.33,-86.29,-85.52,2.21,1.39,2.17,89.59,0.07,1296.53,88.38,131.76,91.59,58.26,53.93,49.75,29.19,3.47,62.45,12.97,127.73,50000.0,0.6298520265065303,0.2344590630293916,0.0,-0.4882947171902163,60.01,8.61,46.0
6,0,23150,1996/12/24,쇠퇴기,제조업,2015,(주)MH에탄올,-9.01,6.390000000000001,91231294.0,3786937.0,1.07,16.92,16.43,2.34,-7.7,-10.69,-9.15,13.45,10.77,15.65,55.02,0.94,534.07,78.45,249.42,248.8,82.18,32.99,21.87,15.55,15.81,69.24,9.47,122.77,40533.0,0.9442914389880296,-0.5476888174815397,0.0547037818223812,6.979830716270698,25.26,7.57,14.0
7,1,23150,1996/12/24,쇠퇴기,제조업,2016,(주)MH에탄올,1.58,6.25,98544072.0,3076978.0,5.21,12.05,9.56,13.8,19.18,-41.1,-42.22,8.4,7.12,8.18,56.29,1.02,582.67,74.99,258.29,258.29,98.0,30.51,21.49,11.92,24.59,71.01,10.34,118.05,43153.0,1.0845340011522966,0.351698628884208,0.0499282755757535,9.01538429646654,25.18,13.82,15.0
8,1,23150,1996/12/24,성장기,제조업,2017,(주)MH에탄올,-12.03,0.1399999999999988,133382584.0,2493743.0,2.61,9.75,5.42,13.74,1.3,-12.57,-6.35,8.32,7.46,8.88,51.9,1.64,745.49,67.34,224.87,219.17,101.89,33.52,29.43,9.61,53.72,70.92,13.98,112.61,50208.0,0.8284747726884644,0.4015083055871615,0.0897413321963541,5.86890936238123,24.65,12.85,18.0
9,0,23150,1996/12/24,쇠퇴기,제조업,2018,(주)MH에탄올,12.03,4.639999999999999,151440505.0,2762732.0,9.09,18.07,12.64,10.76,43.08,54.56,45.94,11.92,10.77,12.58,51.08,1.21,853.3,64.26,262.0,255.35,101.66,32.62,26.09,10.39,62.3,72.06,16.13,110.87,50517.0,0.8133724661839975,-0.2654769361969151,0.0839518680975777,13.512434708918471,24.79,17.49,19.0
