,target,거래소코드,상장일,수명주기,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,1인년간평균급여(직원),토빈Q,WW지수,RDS,산업평균_총자산증가율차분,보통주식비율,외국인_주식분포비율,업력
0,0,990,1975/12/12,성숙기,제조업,2016,(주)DB하이텍,3.58,-2.5700000000000003,72339673.0,8134873.0,-6.84,-12.41,9.84,-2.96,7.05,4.71,8.01,16.66,10.76,13.41,69.46,0.0,1314.52,82.78,257.95,185.46,17.87,13.77,12.02,8.63,29.41,83.53,13.15,125.25,57211.0,0.91807979508008,-1.285583865782108,0.0,-8.536740232843933,51.79,1.64,38.0
1,0,990,1975/12/12,성숙기,제조업,2017,(주)DB하이텍,0.08,0.4300000000000001,221622993.0,13116049.0,-1.64,16.54,5.3,5.05,-29.77,-26.98,-20.19,6.51,6.15,9.03,75.53,0.26,1146.61,62.2,186.01,108.83,7.19,48.73,46.52,28.57,19.43,61.84,11.47,103.71,61000.0,1.4441048045948914,-0.361497915855901,0.0038232008133995,8.152434708918474,60.5,3.12,31.0
2,0,990,1975/12/12,성숙기,제조업,2018,(주)DB하이텍,-0.08,-1.7100000000000002,237816742.0,5285239.0,22.61,-3.69,0.1,-4.79,-64.13,-59.7,-63.41,2.76,2.3,3.55,78.76,0.58,1147.87,76.19,148.16,73.81,8.08,59.43,56.19,37.83,4.77,57.7,11.48,112.68,62000.0,1.2050376627394888,-1.307822366061719,0.0073980188506068,7.201705282809783,60.5,1.41,32.0
3,1,990,1975/12/12,성숙기,제조업,2019,(주)DB하이텍,0.07,-2.1100000000000003,357951470.0,531273.0,7.77,0.93,1.01,9.14,-30.37,-30.24,-48.25,1.59,1.36,1.85,84.28,0.0,873.84,78.11,155.35,77.25,16.65,69.7,58.95,45.36,3.12,53.93,9.56,114.76,48361.0,1.0253209486470332,0.352118300210373,0.0,3.80890936238123,35.3,7.71,40.0
4,0,23150,1996/12/24,성숙기,제조업,2013,(주)MH에탄올,-3.78,-0.2,127035573.0,3396444.0,3.69,-6.73,2.24,-17.32,49.37068527315937,-26.89,-39.76,4.79,2.67,3.88,92.5,0.0,2665.65,90.95,166.4,141.61,15.86,43.63,31.66,13.65,-1.08,67.11,26.66,137.17,70411.0,1.0683096892867954,-1.711812442559045,0.0,-0.4982947171902163,58.97,0.57,5.0
5,0,23150,1996/12/24,성숙기,제조업,2014,(주)MH에탄올,0.32,1.51,138580023.0,6978508.0,5.27,19.7,12.87,14.36,15.58,44.36,30.59,6.76,7.02,12.46,85.16,0.08,227.5,56.99,175.86,143.94,49.69,76.1,67.73,24.27,19.42,41.15,2.63,86.06,42082.0,1.131381693738065,-0.7065483015926032,0.0,15.60538429646654,22.49,2.75,59.0
6,0,23150,1996/12/24,쇠퇴기,제조업,2015,(주)MH에탄올,7.680000000000001,0.01,63108054.0,953338.0,-2.56,18.49,0.84,27.43,49.37068527315937,-80.27,-80.27,1.71,1.55,2.07,95.05,0.0,220.6,82.1,204.36,191.45,103.18,36.17,26.46,15.43,2.35,51.41,2.21,101.11,37974.0,0.7111823500689786,0.2779292349459971,0.0,4.789830716270698,14.7,0.53,44.0
7,1,23150,1996/12/24,쇠퇴기,제조업,2016,(주)MH에탄올,7.39,0.18,62626777.0,5075966.0,12.52,19.04,17.57,24.95,-7.27,-16.98,-7.98,7.32,10.18,14.17,67.58,0.2,857.02,58.62,221.07,120.96,54.63,46.91,39.94,10.08,46.16,63.42,8.91,72.0,35000.0,1.0726183167465253,0.1353932089446017,0.0047670002544681,16.3098307162707,26.87,0.81,12.0
8,1,23150,1996/12/24,성장기,제조업,2017,(주)MH에탄올,-3.61,1.82,69972237.0,6151625.0,8.07,14.16,18.39,10.05,14.2,33.84,36.0,8.84,11.89,16.07,67.84,0.1,975.92,53.11,268.19,185.45,113.29,37.62,31.51,7.28,60.23,68.1,10.23,71.05,33000.0,1.04262490371717,-0.8971676431842799,0.0029350932349145,12.72538429646654,24.32,2.63,13.0
9,0,23150,1996/12/24,쇠퇴기,제조업,2018,(주)MH에탄올,-1.35,0.1099999999999999,250604972.0,6032090.0,2.78,18.61,7.6,5.83,30.83,93.93,20.88,6.58,5.47,10.83,77.01,0.18,1771.58,107.92,152.05,121.49,45.89,70.85,41.39,37.07,13.77,57.62,28.88,113.71,49462.0,0.7884066921066514,-1.0226169790597197,0.0043043715046174,7.983259767156068,56.01,1.0,43.0
10,0,23150,1996/12/24,성숙기,제조업,2019,(주)MH에탄올,0.19,-0.89,247008401.0,1457776.0,-1.36,-1.56,3.0,-7.49,-41.59,-62.97,-51.15,3.58,2.67,3.81,76.81,0.21,1826.01,104.08,193.1,156.26,61.58,64.65,31.37,33.96,9.07,59.81,29.55,119.72,49244.0,0.7118684396487389,-0.2167781183083488,0.005465190828266,-1.6010906376187704,56.21,0.11,44.0
11,0,2360,1985/12/23,성숙기,제조업,2013,(주)SH에너지화학,-0.7599999999999998,0.0,139937930.0,8436815.0,1.43,-9.71,15.64,23.24,127.11,159.1,21.34,4.9,5.96,15.31,89.05,0.01,166.38,167.03,59.13,57.01,7.87,136.76,117.91,41.96,4.85,26.84,1.66,72.28,47807.0,0.9019310534892148,0.7074888442455567,0.001817880753546,-2.2910906376187703,58.43,0.06,39.0
12,0,2360,1985/12/23,성숙기,제조업,2014,(주)SH에너지화학,-3.1,2.08,134856787.0,7883058.0,18.5,-3.42,12.55,21.8,8.88,3.03,-2.61,5.61,6.18,12.09,88.47,0.0,2530.45,145.02,92.73,74.76,38.13,95.31,54.23,65.22,10.05,49.26,25.3,89.19,49000.0,0.869386106611008,-0.43984331425114,0.0,11.853259767156068,57.49,2.21,6.0
13,0,2360,1985/12/23,성숙기,제조업,2015,(주)SH에너지화학,0.0,-0.26,137106556.0,4135626.0,-0.28,7.3,5.01,-8.75,-84.02,-47.54,-44.79,3.22,3.04,5.84,93.33,0.0,1741.6,137.71,102.3,80.85,27.08,89.09,50.22,64.23,1.7,50.02,17.42,98.54,47000.0,0.8115723343017966,-0.2366188202031531,0.0,1.5089093623812295,57.6,1.95,7.0
14,1,2360,1985/12/23,쇠퇴기,제조업,2016,(주)SH에너지화학,-0.06,0.4900000000000002,627342505.0,15600123.0,-1.15,10.06,4.73,5.32,28.66,48.33,38.73,2.92,3.06,6.0,77.29,0.66,3050.73,112.79,135.35,99.43,13.61,94.6,60.44,35.08,6.28,49.76,30.51,88.62,67525.0,0.7472694584914185,-0.9947202761974542,0.0009296577320454,3.171705282809784,53.21,5.67,13.0
15,0,2360,1985/12/23,성숙기,제조업,2017,(주)SH에너지화학,6.59,-3.3,73640711.0,46830.0,-16.92,-2.81,-4.86,12.19,49.37068527315937,-99.24,-135.97,0.05,0.06,0.07,96.53,0.0,1137.86,33.41,465.11,335.37,64.03,19.42,18.49,1.28,-14.84,77.26,11.38,63.54,54000.0,1.6124759849208952,-0.0707543153892037,0.0,-7.247565291081526,31.58,1.21,45.0
16,0,2360,1985/12/23,성숙기,제조업,2018,(주)SH에너지화학,0.01,0.37,129035330.0,2037234.0,-0.61,8.03,1.98,7.02,34.25,-48.11,-54.01,1.01,1.61,3.35,89.7,0.18,671.22,78.19,168.81,134.51,26.5,110.41,78.33,56.6,5.99,41.36,6.71,59.48,36000.0,1.1786957951283574,-0.5289245825716608,0.0032163536418714,4.609830716270698,54.68,0.5,47.0
17,0,2360,1985/12/23,성장기,제조업,2019,(주)SH에너지화학,-6.35,1.38,136219643.0,12876888.0,10.68,-0.01,16.68,-0.11,71.01,55.01,57.87,6.28,9.64,17.34,85.49,0.16,905.88,68.43,194.51,140.53,45.88,70.31,52.37,32.45,18.05,52.88,9.06,58.31,41000.0,1.16094467515232,-1.0508573083830497,0.0041211639178621,3.8092527526348894,54.2,2.04,49.0
18,0,9160,1989/07/29,성장기,제조업,2013,(주)SIMPAC,0.09,1.2399999999999998,148458348.0,14509605.0,13.44,5.99,16.59,-9.2,13.21,12.68,18.69,7.79,10.19,16.75,82.98,0.16,1072.8,66.58,197.48,138.93,55.12,59.19,46.9,26.32,28.12,57.46,10.73,70.19,41000.0,1.0931963493625836,-1.5340483611124005,0.0048929896042812,8.873259767156068,54.14,3.28,50.0
19,0,9160,1989/07/29,쇠퇴기,제조업,2014,(주)SIMPAC,0.009999999999998,-0.6299999999999999,151007379.0,3629709.0,1.79,-5.13,3.58,-0.39,-56.72,-62.26,-40.64,1.85,2.38,3.56,90.12,0.18,1203.31,64.67,234.47,153.55,37.59,45.71,34.57,13.84,14.39,63.36,12.03,69.25,47000.0,0.8281773509558099,-0.5386286459982584,0.0052050524132498,-2.2075652910815258,54.11,1.48,52.0
20,1,9160,1989/07/29,성장기,제조업,2015,(주)SIMPAC,0.0,0.7400000000000002,157495147.0,5362796.0,0.05,7.68,3.11,0.48,48.65,47.75,-13.1,2.72,3.48,5.1,88.53,0.19,1243.79,62.75,248.51,177.27,67.46,47.39,34.06,14.7,19.49,62.8,12.44,72.57,51000.0,0.7535227375736219,-1.107283459660499,0.0054933403618288,4.191705282809783,53.0,2.22,53.0
21,0,9160,1989/07/29,성숙기,제조업,2016,(주)SIMPAC,-3.0,-1.15,224339420.0,3278782.0,-2.78,-15.72,6.38,-20.4,-23.52,-60.85,-54.92,0.55,0.62,1.43,94.03,0.02,1340.53,128.58,83.06,47.47,0.67,113.83,102.64,78.47,1.81,43.52,13.41,57.48,30216.0,0.7340115170129262,-2.002465256786094,0.0,-7.39461570353346,77.21,0.0,34.0
22,0,9160,1989/07/29,쇠퇴기,제조업,2017,(주)SIMPAC,-0.74,-0.27,37721152.0,737899.0,2.1,29.01,4.16,1.23,-40.03,-44.51,-45.08,1.82,2.06,3.86,73.39,0.0,519.66,86.04,300.35,107.26,7.16,103.14,38.99,65.19,2.58,41.41,5.27,92.74,26992.0,1.3658411384148608,-0.9083997971557218,0.0271945684374952,15.973202331496164,50.23,0.5,20.0
23,1,9160,1989/07/29,쇠퇴기,제조업,2018,(주)SIMPAC,6.930000000000001,2.28,40799790.0,841854.0,-4.88,17.75,15.47,-1.53,-9.13,13.44,15.58,2.24,2.23,3.98,73.69,0.0,570.46,68.64,204.38,105.99,9.09,84.29,56.59,50.44,2.33,46.55,6.01,102.26,24671.0,1.3408461929583462,-0.6168731176942205,0.0347941533424966,8.119830716270698,49.21,2.78,21.0
24,0,9160,1989/07/29,성장기,제조업,2019,(주)SIMPAC,8.23,-0.0999999999999999,97271143.0,522423.0,-1.58,-0.2,1.31,-6.5,-66.59,-31.25,137.08,0.68,0.54,0.83,87.62,0.1,697.18,53.89,227.06,162.29,20.72,53.19,43.73,31.22,0.96,61.18,6.97,115.51,32692.0,1.641501827525559,-1.2484040574151665,0.0172006052403235,-0.900747247365109,31.16,0.55,49.0
25,0,100840,2008/02/22,쇠퇴기,제조업,2013,(주)SNT에너지,6.41,-1.5,105442576.0,523130.0,8.68,-8.82,-0.82,-2.99,-47.56,-82.22,-93.96,0.52,0.49,0.8,88.06,0.06,718.82,64.42,212.92,158.24,23.22,61.37,45.53,41.07,2.56,58.19,7.19,94.55,33783.0,0.9529745460695118,-0.0202219050197446,0.012751121761696,-2.7210906376187705,25.45,2.46,51.0
26,0,100840,2008/02/22,쇠퇴기,제조업,2014,(주)SNT에너지,13.59,-0.1799999999999999,117536854.0,1241045.0,19.5,-18.3,0.79,10.08,-75.39,-82.66,-79.23,1.0,1.26,2.05,87.63,0.69,1776.07,92.75,128.84,81.75,18.64,61.76,53.56,33.26,2.49,60.53,17.76,66.8,56253.0,0.8054637739410653,-0.6907079243565837,0.0029123334403558,-0.3082947171902163,39.92,1.8,28.0
27,0,100840,2008/02/22,성숙기,제조업,2015,(주)SNT에너지,-0.8300000000000001,0.9700000000000006,735574617.0,6707809.0,-7.04,12.29,5.82,25.9,-0.42,-95.96,-85.82,2.19,2.47,0.32,85.78,0.06,459.33,110.62,102.73,72.22,17.79,118.44,104.96,69.72,3.49,41.16,8.63,77.71,49000.0,0.8085545076713815,-0.2034377094884754,0.029451606343958,1.549830716270698,53.27,8.22,5.0
28,0,100840,2008/02/22,성숙기,제조업,2016,(주)SNT에너지,0.0,-1.12,808116611.0,-685445.0,-3.39,-8.23,-4.33,-1.72,112.82,-132.81,-155.17,-0.59,-0.58,-1.11,88.31,0.07,552.78,118.41,100.78,70.77,14.18,101.69,82.63,58.58,1.09,45.67,8.12,87.14,55000.0,0.7942577438987948,-0.2502352994278252,0.0053643474544265,-5.477565291081526,42.81,3.01,10.0
29,0,100840,2008/02/22,쇠퇴기,제조업,2017,(주)SNT에너지,-5.1,0.61,136324231.0,5993614.0,-1.26,6.19,20.17,15.48,0.75,-44.35,-42.91,2.4,4.48,7.4,87.91,0.0,1012.16,45.78,214.57,182.38,38.74,54.11,50.49,6.47,11.95,60.32,10.12,52.61,56000.0,1.1237692894376203,-0.7288958536793244,0.0,4.85538429646654,45.32,1.19,36.0
30,0,100840,2008/02/22,성숙기,제조업,2018,(주)SNT에너지,1.16,-3.74,280043161.0,12406947.0,-3.35,1.51,5.55,-3.49,-34.7,-31.03,-29.59,2.59,3.08,8.38,86.83,0.01,785.61,111.88,123.9,73.71,2.68,136.4,100.51,89.55,5.1,38.37,7.77,81.08,42819.0,1.1420187732276026,-1.3497541688557568,0.0,-0.956740232843932,40.61,3.02,31.0
31,0,100840,2008/02/22,쇠퇴기,제조업,2019,(주)SNT에너지,-5.12,-0.2599999999999998,184070835.0,5845647.0,-7.28,-0.3,3.97,-6.3,-17.42,12.18,79.91,2.8,2.87,5.62,84.53,0.0,1833.86,64.83,180.97,146.11,30.48,63.05,54.27,22.51,6.8,58.98,19.63,95.2,61000.0,0.7967141985312339,-0.7561560980215744,0.0,-3.227565291081526,51.23,1.79,51.0
32,0,36530,2002/10/22,성장기,"전문, 과학 및 기술 서비스업",2013,(주)SNT홀딩스,-0.48,0.8999999999999995,225300799.0,2985775.0,-1.66,0.02,-0.57,16.44,-56.58,-73.3,-84.36,0.63,0.92,1.58,96.67,0.0,2263.74,43.44,201.79,197.54,57.11,69.56,62.5,26.45,3.14,57.78,22.64,64.43,44000.0,0.8260398002405663,-0.7885030582316892,0.0034311990793214,-0.506797668503835,43.86,4.56,40.0
33,0,36530,2002/10/22,성숙기,"전문, 과학 및 기술 서비스업",2014,(주)SNT홀딩스,-0.3099999999999999,-0.4100000000000006,259436782.0,4570284.0,27.96,5.21,1.93,-2.94,34.41,7.14,-2.54,1.52,1.83,3.33,96.21,0.0,2359.57,59.51,155.27,151.25,48.13,87.47,82.41,29.79,3.36,52.3,23.6,84.27,53000.0,0.8167124120434087,-0.5928797789399708,0.0018810875123344,12.49538429646654,43.87,3.82,42.0
34,1,36530,2002/10/22,성장기,"전문, 과학 및 기술 서비스업",2015,(주)SNT홀딩스,0.0,0.6999999999999993,980377628.0,17057024.0,27.2,-20.22,-1.22,9.82,-11.14,-33.09,-56.25,3.27,1.59,1.9,88.31,0.19,712.81,56.32,448.52,389.06,14.26,15.12,13.11,0.22,16.77,87.08,7.12,160.02,59000.0,0.6235844259657055,0.3331727655960624,0.0016632177413879,-2.5810906376187703,30.03,6.68,62.0
35,0,36530,2002/10/22,성숙기,"전문, 과학 및 기술 서비스업",2016,(주)SNT홀딩스,6.94,0.4399999999999999,214756370.0,8769567.0,6.25,-21.79,2.95,10.09,-11.58,2.36,-11.38,5.35,3.21,6.22,84.16,0.0,765.23,168.65,34.65,33.9,12.06,86.71,52.12,56.47,2.57,47.39,7.67,87.92,47736.0,0.759585250020756,-0.9468526498711748,0.0,2.649830716270698,53.65,1.39,8.0
36,0,36530,2002/10/22,성숙기,"전문, 과학 및 기술 서비스업",2017,(주)SNT홀딩스,3.39,1.82,224095138.0,11577308.0,0.81,37.41,7.69,7.22,78.36,66.61,70.19,8.57,5.33,9.84,78.73,0.01,831.76,157.95,48.7,46.39,25.42,81.0,47.33,52.72,6.01,49.33,8.34,90.51,50963.0,0.87895194316978,-0.8322953001394536,0.0,5.34538429646654,53.67,3.21,9.0
37,1,36530,2002/10/22,성숙기,"전문, 과학 및 기술 서비스업",2018,(주)SNT홀딩스,-6.87,-1.7699999999999998,237926437.0,13187826.0,-1.38,0.57,-3.73,14.56,20.25,-55.62,-54.25,4.49,2.92,5.46,79.98,0.02,889.53,152.61,70.18,54.72,26.08,88.09,50.55,54.48,7.92,49.77,8.93,85.81,56887.0,0.8957146826016649,-1.8331035070967725,0.0,-2.877280146915852,53.72,1.86,11.0
38,1,36530,2002/10/22,쇠퇴기,"전문, 과학 및 기술 서비스업",2019,(주)SNT홀딩스,1.16,0.3,211678292.0,4282267.0,-7.26,-27.25,-2.57,-8.78,-67.02,-124.92,-26.22,-1.25,-0.79,-1.41,84.76,0.01,827.93,145.27,52.46,49.07,13.97,71.76,50.49,44.34,2.68,54.04,8.31,81.37,55951.0,0.857331997935811,-0.3370417320381601,0.0,-11.19109063761877,52.54,2.16,12.0
39,0,11810,1990/09/12,쇠퇴기,도매 및 소매업,2018,(주)STX,-9.119999999999996,1.55,136232434.0,-244900.0,2.22,14.95,-2.95,1.52,-39.22,-107.73,-107.09,-0.31,-0.45,-0.47,93.95,0.01,929.68,110.03,111.17,65.88,5.73,151.32,127.09,109.5,0.95,36.53,9.95,62.39,45249.0,0.828560032921382,-0.4616463424595395,0.0,8.982434708918474,54.01,1.83,37.0
40,0,2710,1984/12/21,쇠퇴기,제조업,2013,(주)TCC스틸,0.8500000000000001,-0.29,364345053.0,11257212.0,1.03,8.8,8.22,-3.56,-9.91,-14.19,-8.5,2.81,3.68,7.28,83.19,0.0,110.81,93.93,128.77,93.2,25.59,105.75,86.84,33.76,11.51,26.34,1.16,77.04,41004.0,0.750883420173678,-1.279818206428006,0.0257577757528198,5.001705282809784,40.4,4.03,36.0
41,1,2710,1984/12/21,쇠퇴기,제조업,2014,(주)TCC스틸,-5.680000000000001,-0.33,266110759.0,15700599.0,1.44,-18.74,13.34,-19.74,-36.25,-40.86,-40.77,3.65,5.51,12.84,93.68,0.0,1337.89,73.63,139.21,120.82,15.13,104.84,94.25,40.38,22.05,46.99,13.38,53.03,36579.0,0.8521374992959229,-1.9972599412347087,0.0,-11.48461570353346,26.94,2.96,16.0
