,target,거래소코드,상장일,수명주기,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,1인년간평균급여(직원),토빈Q,WW지수,RDS,산업평균_총자산증가율차분,보통주식비율,외국인_주식분포비율,업력
0,0,990,1975/12/12,성숙기,제조업,2016,(주)DB하이텍,-25.96,3.41,986788572.0,88002359.0,-4.49,9.23,34.58,15.98,37.98,-30.29,-23.75,11.43,8.96,29.65,62.49,0.0,64.24,180.71,134.53,106.69,42.15,188.6,80.2,123.51,4.41,14.49,0.64,116.48,53000.0,1.3670044640606154,-0.677243270486627,0.0695061534636577,0.1132597671560678,19.06,13.46,63.0
1,0,990,1975/12/12,성숙기,제조업,2017,(주)DB하이텍,25.96,6.689999999999998,993950720.0,74401732.0,3.63,-4.14,33.31,-12.08,-16.95,24.71,29.62,16.21,11.12,27.62,62.7,0.0,115.41,140.48,243.53,191.87,74.02,118.07,31.86,78.01,6.05,25.84,1.15,133.86,55000.0,1.0903397757023607,-0.4447534489023017,0.0800720579082629,0.5689093623812297,19.63,20.15,64.0
2,0,990,1975/12/12,성숙기,제조업,2018,(주)DB하이텍,0.0,8.16,1066533840.0,95087399.0,6.69,8.4,22.51,-1.54,-21.09,-21.19,-14.1,12.97,8.43,17.12,67.83,0.0,160.4,122.34,244.51,217.15,75.96,91.0,28.08,54.62,6.77,33.47,1.6,138.53,56000.0,0.9392724101318716,-0.671716298530556,0.0789057915589946,7.272434708918474,19.77,28.31,65.0
3,1,990,1975/12/12,성숙기,제조업,2019,(주)DB하이텍,-0.1400000000000005,11.290000000000004,1088889810.0,121159865.0,-3.0,11.19,15.45,20.64,60.45,20.51,2.3,12.96,9.71,17.4,63.57,0.0,199.0,102.79,194.01,170.41,38.58,68.91,34.08,39.2,13.44,40.67,1.99,125.81,66000.0,1.3606630120085337,-0.4856887834577311,0.0684851068480186,1.991705282809784,19.46,39.6,66.0
4,0,23150,1996/12/24,성숙기,제조업,2013,(주)MH에탄올,7.79,-0.11,129697936.0,-11627211.0,2.54,-13.66,17.05,4.07,-44.79,1640.29,45.22930641330159,11.3,5.32,16.85,87.33,0.01,939.04,188.56,57.37,40.78,0.14,182.66,164.02,163.01,0.87,31.98,9.41,190.53,49954.0,0.806346008466935,-0.5666683969091788,0.0,-3.530169283729302,54.6,0.02,35.0
5,0,23150,1996/12/24,성숙기,제조업,2014,(주)MH에탄올,2.110000000000001,3.32,85534839.0,4618332.0,-34.35,-33.46,15.27,-21.25,190.55,860.9023444180505,-98.66,-0.41,-0.19,-0.38,75.76,0.14,1048.39,107.61,90.87,68.77,0.02,62.03,59.9,55.71,5.62,56.34,10.48,141.36,50868.0,1.0715669855180296,-1.9914481766331693,0.0,-33.05461570353346,51.79,3.34,36.0
6,0,23150,1996/12/24,쇠퇴기,제조업,2015,(주)MH에탄올,-10.18,0.8700000000000001,78996052.0,7744832.0,-0.54,-21.69,9.65,2.86,26.84,860.9023444180505,8529.74,15.44,9.46,14.06,72.29,0.01,1178.69,97.6,109.55,92.01,15.38,36.47,35.48,32.17,12.69,68.59,11.79,126.67,48575.0,1.066972861023485,-0.9224205078518728,0.0,-7.850747247365109,51.79,4.21,37.0
7,1,23150,1996/12/24,쇠퇴기,제조업,2016,(주)MH에탄올,3.58,-2.5700000000000003,72339673.0,8134873.0,-6.84,-12.41,9.84,-2.96,7.05,4.71,8.01,16.66,10.76,13.41,69.46,0.0,1314.52,82.78,257.95,185.46,17.87,13.77,12.02,8.63,29.41,83.53,13.15,125.25,57211.0,0.91807979508008,-1.285583865782108,0.0,-8.536740232843933,51.79,1.64,38.0
8,1,23150,1996/12/24,성장기,제조업,2017,(주)MH에탄올,33.68,-0.3799999999999999,500180086.0,5903108.0,689.3,330.09,3.63,6.3,-31.65,-17.16,-18.62,8.29,1.5,10.42,71.62,0.0,1410.23,388.83,44.64,41.69,7.8,368.17,177.74,237.29,3.46,21.15,23.01,921.59,55964.0,0.8823032981085137,0.2453797958572038,0.0,591.2689093623811,52.55,1.26,39.0
9,0,23150,1996/12/24,쇠퇴기,제조업,2018,(주)MH에탄올,-24.86,-0.8400000000000001,440177523.0,6553371.0,-1.16,-65.11,-5.46,40.05,-84.87,-108.83,-101.48,-16.53,-2.56,-0.93,73.53,0.03,1355.58,448.33,20.96,16.33,4.89,380.62,154.04,239.34,0.1,20.81,19.93,583.76,71137.0,0.8882028395120939,0.8429429074860997,0.0,-12.027565291081526,55.46,0.42,40.0
10,0,23150,1996/12/24,성숙기,제조업,2019,(주)MH에탄올,-12.41,0.29,451474451.0,-5004935.0,1.96,10.95,-7.78,11.1,537.44,860.9023444180505,45.22930641330159,-9.34,-1.69,-0.88,67.04,0.03,1277.63,527.35,11.62,8.73,3.21,468.69,355.65,302.7,0.73,17.87,17.55,543.48,76930.0,0.9251895003290008,-0.7716957746078612,0.0,2.4617052828097834,52.17,0.71,41.0
11,0,2360,1985/12/23,성숙기,제조업,2013,(주)SH에너지화학,0.16,-0.259999999999998,110488951.0,4841817.0,-3.28,16.91,7.81,19.57,194.26,1146.78,1158.1,1.99,4.3,7.35,92.26,0.01,23.54,73.9,168.09,134.09,15.75,58.75,50.48,40.2,5.3,13.23,0.26,43.5,53000.0,1.1154047786189951,-0.0809532578678461,0.0002815998035298,6.519830716270698,31.12,31.62,55.0
12,0,2360,1985/12/23,성숙기,제조업,2014,(주)SH에너지화학,-0.13,5.300000000000001,110741407.0,15569914.0,-1.99,2.16,20.89,-0.43,231.12,238.32,221.97,7.25,15.13,21.7,85.6,0.01,49.06,59.85,291.69,224.49,37.69,31.46,24.55,11.36,26.68,26.41,0.52,44.09,59000.0,1.7888041563351276,-1.2891405708257626,0.0005189330738117,1.225384296466541,31.12,36.92,56.0
13,0,2360,1985/12/23,성숙기,제조업,2015,(주)SH에너지화학,2.01,-1.8500000000000008,115520726.0,12639344.0,-6.17,13.08,8.99,-6.27,7.89,-22.92,-21.75,5.82,11.13,14.62,82.76,0.0,62.33,51.62,399.36,329.69,115.03,26.05,18.64,7.51,84.87,31.74,0.66,49.25,59000.0,1.5852492139808747,-1.262806126386897,0.0,4.109252752634891,31.12,35.07,57.0
14,1,2360,1985/12/23,쇠퇴기,제조업,2016,(주)SH에너지화학,6.06,0.1199999999999974,124488724.0,17574101.0,-14.88,23.47,13.99,0.9,5.02,42.44,40.85,8.26,15.02,18.66,82.31,0.0,84.85,38.68,673.11,580.63,211.38,19.6,12.02,3.42,210.93,39.44,0.88,55.22,64000.0,1.528839753952334,-1.1676075649220066,0.0,7.653259767156068,31.12,35.19,58.0
15,0,2360,1985/12/23,성숙기,제조업,2017,(주)SH에너지화학,4.33,-1.25,125312154.0,8905104.0,-6.34,4.01,3.22,-13.87,-41.16,-46.61,-46.37,5.25,7.91,9.21,86.02,0.0,90.76,35.02,1057.37,816.13,399.76,16.36,7.69,3.3,162.17,42.06,0.95,64.78,61000.0,1.408801223702531,-0.4165048271868939,0.0,0.4989093623812297,31.12,33.94,59.0
16,0,2360,1985/12/23,성숙기,제조업,2018,(주)SH에너지화학,24.86,0.7800000000000011,122434685.0,2766802.0,-2.75,-2.1,-1.92,-2.4,-85.19,-75.89,-76.53,1.11,1.64,2.21,93.32,0.0,87.25,34.8,1287.95,953.73,441.48,16.17,6.32,3.32,22.72,41.23,0.91,64.87,60000.0,1.1113518920720873,-0.6005153668910116,0.0,-2.327565291081525,31.12,34.72,60.0
17,0,2360,1985/12/23,성장기,제조업,2019,(주)SH에너지화학,-27.08,-0.0700000000000002,123415832.0,-3151629.0,8.67,-2.57,-5.94,-23.28,-249.05,-223.7,-249.07,-2.19,-2.51,-2.84,95.27,0.0,76.79,40.26,1110.48,887.83,542.25,24.66,7.6,8.85,-24.12,35.98,0.8,83.66,59000.0,1.1082213263368026,-1.86613117694819,0.0,0.6917052828097838,31.12,34.65,61.0
18,0,9160,1989/07/29,성장기,제조업,2013,(주)SIMPAC,-27.19,12.16,361985890.0,19196136.0,52.71,-28.88,11.16,-8.7,-6.32,3.93,9.48,9.74,5.89,10.11,79.9,0.05,1349.5,121.32,81.19,62.03,7.16,73.34,64.07,31.76,16.58,54.21,13.49,126.26,48000.0,0.9848106335719328,-1.1204575365133689,0.0,13.549830716270698,41.2,15.33,40.0
19,0,9160,1989/07/29,쇠퇴기,제조업,2014,(주)SIMPAC,-9.82,2.229999999999998,381939281.0,10218575.0,-6.42,33.34,4.71,27.9,-26.52,-28.56,-49.3,5.44,3.85,6.7,83.63,0.09,1417.16,108.2,105.96,76.17,19.44,74.3,62.39,18.64,8.48,54.08,14.2,119.34,47000.0,0.8383336648083599,-0.3397969785027003,0.0,6.5053842964665405,41.2,17.56,41.0
20,1,9160,1989/07/29,성장기,제조업,2015,(주)SIMPAC,-0.36,0.4299999999999997,422833445.0,19448583.0,4.92,20.18,6.1,2.42,22.48,14.79,25.29,6.1,4.09,7.29,82.15,0.12,1508.53,107.21,102.82,69.62,14.76,82.25,72.98,22.93,14.66,51.88,15.09,131.52,47000.0,0.8542491090079215,-0.9985413217870908,0.0,10.499252752634892,40.89,17.99,42.0
21,0,9160,1989/07/29,성숙기,제조업,2016,(주)SIMPAC,3.58,0.7200000000000024,417865468.0,16444650.0,-3.08,1.55,3.62,-0.91,10.95,-1.54,-3.69,6.06,3.85,6.85,81.52,0.08,1585.77,100.28,113.8,84.21,33.41,73.81,64.61,22.8,16.75,55.19,15.86,133.5,48000.0,0.7524188402785176,-1.283361460667216,0.0,-1.276740232843932,40.88,18.71,43.0
22,0,9160,1989/07/29,쇠퇴기,제조업,2017,(주)SIMPAC,-3.45,-4.280000000000001,381158251.0,7133940.0,-4.4,-14.77,0.17,-13.64,-50.36,-20.32,-23.49,5.59,3.23,5.36,83.69,0.12,1643.73,95.71,115.32,85.28,23.55,58.27,54.25,22.93,10.1,62.71,16.44,140.62,44000.0,0.6830906501221194,-0.4447944448085494,0.0,-8.94109063761877,40.88,14.43,44.0
23,1,9160,1989/07/29,쇠퇴기,제조업,2018,(주)SIMPAC,1.88,-6.27,681750819.0,62381304.0,60.97,106.23,80.64,32.74,-12.89,436.6,510.82,22.6,13.02,20.48,88.84,0.11,1277.69,85.28,135.98,87.82,49.22,56.71,52.53,26.07,4.07,61.31,12.78,218.92,38000.0,0.5971180119931766,0.5527167692133852,0.0,78.83243470891847,60.01,8.16,45.0
24,0,9160,1989/07/29,성장기,제조업,2019,(주)SIMPAC,-1.73,0.4499999999999993,679145850.0,11507259.0,5.1,-6.93,1.42,40.48,9.33,-86.29,-85.52,2.21,1.39,2.17,89.59,0.07,1296.53,88.38,131.76,91.59,58.26,53.93,49.75,29.19,3.47,62.45,12.97,127.73,50000.0,0.6298520265065303,0.2344590630293916,0.0,-0.4882947171902163,60.01,8.61,46.0
25,0,100840,2008/02/22,쇠퇴기,제조업,2013,(주)SNT에너지,18.93,0.23,311675279.0,16189688.0,-0.74,12.29,8.11,-12.98,11.05,78.15,79.57,8.06,5.36,8.49,80.6,0.0,5494.23,65.79,197.1,177.76,71.62,57.28,46.42,2.62,50.81,62.44,54.94,153.09,54656.0,0.7393206178408522,-1.2669051077982465,0.0039506008100064,6.409830716270698,51.21,0.23,5.0
26,0,100840,2008/02/22,쇠퇴기,제조업,2014,(주)SNT에너지,-18.7,-0.22,304511816.0,11264253.0,2.8,-5.96,4.82,20.92,-18.01,-30.42,-28.28,4.64,3.66,5.55,83.88,0.0,5763.77,64.52,222.54,199.37,50.89,46.6,36.88,2.66,41.09,67.05,57.64,121.97,49540.0,0.6794988747366046,-0.5586561230103155,0.0043241954969985,-1.3046157035334591,60.37,0.01,6.0
27,0,100840,2008/02/22,성숙기,제조업,2015,(주)SNT에너지,-0.08,7.1000000000000005,316196096.0,27029932.0,-1.4,7.96,11.4,7.15,146.18,139.96,133.27,10.39,8.71,12.31,77.78,0.01,6432.47,57.1,286.28,269.65,49.36,36.64,27.78,0.0,359.1,72.06,64.32,118.41,53837.0,0.9477647775006052,-0.8186423221989518,0.003491371745939,3.6292527526348906,53.31,7.11,7.0
28,0,100840,2008/02/22,성숙기,제조업,2016,(주)SNT에너지,-0.31,-5.66,348042346.0,1659742.0,3.13,15.05,-0.69,-2.31,-96.48,-93.86,-92.87,0.65,0.5,0.72,80.67,0.01,6387.29,59.3,207.24,200.61,57.56,51.45,44.47,0.0,999999999.0,65.01,63.87,133.69,56394.0,0.7157861764556661,-1.2638080214006255,0.0033838731082847,9.963259767156067,53.31,1.45,8.0
29,0,100840,2008/02/22,쇠퇴기,제조업,2017,(주)SNT에너지,0.03,-0.0899999999999998,300266693.0,4581777.0,-6.55,-18.34,1.75,-27.55,1506.66,176.05,106.89,2.49,1.41,1.98,79.34,0.02,6500.71,54.46,351.97,347.24,116.39,28.42,21.01,0.0,999999999.0,76.69,65.01,159.0,58434.0,0.5958386429759627,-0.8597459364039484,0.0040613020846729,-13.89109063761877,54.08,1.36,9.0
30,0,100840,2008/02/22,성숙기,제조업,2018,(주)SNT에너지,3.58,0.2799999999999998,280991534.0,1825479.0,-1.48,-10.06,-1.09,-24.21,49.37068527315937,-60.16,-47.07,1.31,0.63,0.78,85.12,0.02,6366.74,54.25,492.86,474.82,188.8,21.5,13.64,0.0,999999999.0,82.67,63.67,195.92,56516.0,0.4658095521126981,-1.339226340835028,0.0049012160549216,-6.447565291081526,55.86,1.64,10.0
31,0,100840,2008/02/22,쇠퇴기,제조업,2019,(주)SNT에너지,6.5600000000000005,0.9000000000000001,333897235.0,14578960.0,3.38,4.24,5.055,0.0,49.37068527315937,860.9023444180505,45.22930641330159,7.24,4.63,6.31,83.27,0.02,6551.09,52.63,303.82,288.69,31.18,36.31,27.54,0.03,1771.27,73.64,65.51,154.8,58621.0,0.6891522337853442,-1.1351630054740616,0.0036128413164049,-0.1082947171902162,55.93,2.54,11.0
32,0,36530,2002/10/22,성장기,"전문, 과학 및 기술 서비스업",2013,(주)SNT홀딩스,2.04,0.5999999999999996,2149176237.0,8018313.0,0.22,7.2,4.85,-5.54,-1.04,-16.31,-1.97,3.41,2.55,4.41,87.49,0.18,6793.14,78.46,188.1,133.44,48.56,56.38,41.42,5.86,30.38,63.59,178.38,132.81,98000.0,0.4813372390735214,-1.3477430729549622,2.2519399420628745,3.539830716270698,68.36,7.77,31.0
33,0,36530,2002/10/22,성숙기,"전문, 과학 및 기술 서비스업",2014,(주)SNT홀딩스,-1.73,0.1400000000000005,2039388864.0,6891599.0,-3.15,-7.08,4.62,-1.52,-22.75,30.84,6.02,4.32,3.2,5.51,88.9,0.08,7118.65,77.02,208.24,148.81,50.97,50.39,35.23,2.46,34.38,66.14,176.06,125.58,86000.0,0.4834830106549998,-1.1297489896074568,2.334895678744494,-4.11461570353346,68.36,7.91,32.0
34,1,36530,2002/10/22,성장기,"전문, 과학 및 기술 서비스업",2015,(주)SNT홀딩스,3.3,2.09,2169311305.0,27765789.0,-1.52,14.66,6.51,3.89,146.6,10.19,6.29,7.22,5.53,5.75,82.55,0.06,7370.38,67.26,263.0,201.03,82.77,41.85,28.36,0.49,218.55,70.16,193.02,129.51,69000.0,0.489493235581511,-2.9549769685097806,2.435980511850068,6.159252752634891,61.75,10.0,33.0
