,target,거래소코드,상장일,수명주기,직급명,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),미처분이익잉여금(결손금),총자본증가율,비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,1인평균지급액(임원),1인년간평균급여(직원),토빈Q,WW지수,RDS
0,0,990,1975/12/12,성숙기,등기이사,제조업,2011,(주)DB하이텍,3.58,-2.5700000000000003,72339673.0,8134873.0,54967849.0,-8.43,-6.84,-12.41,9.84,-2.96,7.05,4.71,8.01,16.66,10.76,13.41,69.46,0.0,1314.52,82.78,257.95,185.46,17.87,13.77,12.02,8.63,29.41,83.53,13.15,125.25,267169.0,57211.0,797.136032865396,-1.285583865782108,0.0
1,0,990,1975/12/12,성숙기,등기이사,제조업,2012,(주)DB하이텍,-9.82,2.229999999999998,381939281.0,10218575.0,21723195.0,5.51,-6.42,33.34,4.71,27.9,-26.52,-28.56,-49.3,5.44,3.85,6.7,83.63,0.09,1417.16,108.2,105.96,76.17,19.44,74.3,62.39,18.64,8.48,54.08,14.2,119.34,433000.0,47000.0,412.47745660127583,-0.3397969785027003,0.0
2,0,990,1975/12/12,성숙기,등기이사,제조업,2013,(주)DB하이텍,-0.36,0.4299999999999997,422833445.0,19448583.0,30010526.0,10.71,4.92,20.18,6.1,2.42,22.48,14.79,25.29,6.1,4.09,7.29,82.15,0.12,1508.53,107.21,102.82,69.62,14.76,82.25,72.98,22.93,14.66,51.88,15.09,131.52,302000.0,47000.0,403.398355238905,-0.9985413217870908,0.0
3,0,990,1975/12/12,성장기,등기이사,제조업,2014,(주)DB하이텍,3.58,0.7200000000000024,417865468.0,16444650.0,29207034.0,-1.17,-3.08,1.55,3.62,-0.91,10.95,-1.54,-3.69,6.06,3.85,6.85,81.52,0.08,1585.77,100.28,113.8,84.21,33.41,73.81,64.61,22.8,16.75,55.19,15.86,133.5,215000.0,48000.0,328.1878290167782,-1.283361460667216,0.0
4,0,990,1975/12/12,성숙기,등기이사,제조업,2015,(주)DB하이텍,-0.15,1.42,93845576.0,1977524.0,19001437.0,0.71,-7.26,3.66,4.7,4.72,0.0,0.0,0.0,1.99,1.83,4.19,93.14,0.01,528.4,46.39,161.8,160.55,45.27,86.93,86.86,48.69,0.2,45.31,5.53,95.9,123000.0,46415.0,460.10180534242767,-0.2638829868436682,0.0
5,0,990,1975/12/12,성숙기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2016,(주)DB하이텍,0.08,0.4300000000000001,221622993.0,13116049.0,93602255.0,8.18,-1.64,16.54,5.3,5.05,-29.77,-26.98,-20.19,6.51,6.15,9.03,75.53,0.26,1146.61,62.2,186.01,108.83,7.19,48.73,46.52,28.57,19.43,61.84,11.47,103.71,236000.0,61000.0,1116.80024025305,-0.361497915855901,0.0038232008133995
6,0,990,1975/12/12,성숙기,사외이사 (감사위원회 위원 제외),제조업,2017,(주)DB하이텍,-0.08,-1.7100000000000002,237816742.0,5285239.0,93325506.0,7.31,22.61,-3.69,0.1,-4.79,-64.13,-59.7,-63.41,2.76,2.3,3.55,78.76,0.58,1147.87,76.19,148.16,73.81,8.08,59.43,56.19,37.83,4.77,57.7,11.48,112.68,221000.0,62000.0,832.6308127499283,-1.307822366061719,0.0073980188506068
7,0,990,1975/12/12,성숙기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2018,(주)DB하이텍,4.84,0.0899999999999998,287452678.0,4475441.0,104869723.0,-10.06,-7.91,-12.04,0.47,-6.22,-42.69,-9.38,-13.87,0.96,0.69,1.49,86.99,0.0,772.58,80.7,155.43,80.65,11.88,64.27,53.77,38.95,1.26,55.06,8.44,125.04,198250.0,42085.0,356.0149959465676,-0.7771587721122776,0.0
8,0,990,1975/12/12,성숙기,사외이사 (감사위원회 위원 제외),제조업,2019,(주)DB하이텍,0.07,-2.1100000000000003,357951470.0,531273.0,122341974.0,3.97,7.77,0.93,1.01,9.14,-30.37,-30.24,-48.25,1.59,1.36,1.85,84.28,0.0,873.84,78.11,155.35,77.25,16.65,69.7,58.95,45.36,3.12,53.93,9.56,114.76,31024.0,48361.0,615.015271000284,0.352118300210373,0.0
9,1,990,1975/12/12,성숙기,사외이사 (감사위원회 위원 제외),제조업,2020,(주)DB하이텍,0.32,1.51,138580023.0,6978508.0,22250632.0,14.61,5.27,19.7,12.87,14.36,15.58,44.36,30.59,6.76,7.02,12.46,85.16,0.08,227.5,56.99,175.86,143.94,49.69,76.1,67.73,24.27,19.42,41.15,2.63,86.06,103167.0,42082.0,699.6880866010536,-0.7065483015926032,0.0
10,1,990,1975/12/12,성숙기,사외이사 (감사위원회 위원 제외),제조업,2021,(주)DB하이텍,-0.0600000000000022,0.51,206569873.0,1558141.0,25637693.0,1.97,-3.82,15.51,5.42,18.24,-2.6,-43.49,-4.99,1.47,1.66,4.8,90.39,0.0,465.78,190.23,78.53,40.02,6.93,188.09,124.6,130.76,1.33,29.76,4.66,83.83,11500.0,55645.0,220.93454834045428,-0.4863243550122457,0.0
11,0,23150,1996/12/24,쇠퇴기,등기이사,제조업,2011,(주)MH에탄올,-8.8,0.29,65670915.0,385503.0,-83366.0,3.07,0.84,5.94,3.24,28.3,0.0,0.0,0.0,0.75,0.6,0.77,96.38,0.01,200.03,71.39,252.94,218.22,87.22,29.89,23.13,6.43,3.4,52.14,2.0,119.84,217379.0,40506.0,1084.63234894778,-0.1043179252642334,0.0
12,0,23150,1996/12/24,쇠퇴기,등기이사,제조업,2012,(주)MH에탄올,3.5,-0.27,68657302.0,1089819.0,1130044.0,13.79,3.96,27.57,2.08,29.68,0.0,0.0,0.0,1.49,1.69,2.08,95.49,0.0,207.37,69.26,261.22,240.15,77.08,29.97,23.24,8.85,15.75,52.7,2.07,88.7,14900.0,45118.0,836.305883181952,-0.0339842774883301,0.0
13,0,23150,1996/12/24,성숙기,등기이사,제조업,2013,(주)MH에탄올,7.39,0.18,62626777.0,5075966.0,28473518.0,16.35,12.52,19.04,17.57,24.95,-7.27,-16.98,-7.98,7.32,10.18,14.17,67.58,0.2,857.02,58.62,221.07,120.96,54.63,46.91,39.94,10.08,46.16,63.42,8.91,72.0,396000.0,35000.0,753.6368175069906,0.1353932089446017,0.0047670002544681
14,0,23150,1996/12/24,성숙기,등기이사,제조업,2014,(주)MH에탄올,7.78,0.0,215481348.0,134171.0,-3271234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.08,0.6,79.22,0.2,1529.08,114.35,185.74,138.97,30.93,68.91,29.37,35.87,2.7,58.14,25.06,117.61,109000.0,42686.0,148.17018759322036,-0.5398565164909596,0.0023278964606744
15,0,23150,1996/12/24,쇠퇴기,등기이사,제조업,2015,(주)MH에탄올,0.1699999999999999,0.22,219851714.0,-4095630.0,-15168525.0,-1.95,-0.51,-2.98,17.05,2.0,-34.79,0.0,0.0,-2.25,-1.78,-5.36,82.25,0.0,266.1,117.12,157.12,120.09,29.23,175.52,100.82,108.97,1.05,26.95,2.69,110.47,18000.0,62371.0,1208.5703540432712,-0.8091370880990327,0.0075433316753825
16,0,23150,1996/12/24,쇠퇴기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2016,(주)MH에탄올,-3.1,2.08,134856787.0,7883058.0,52571388.0,11.96,18.5,-3.42,12.55,21.8,8.88,3.03,-2.61,5.61,6.18,12.09,88.47,0.0,2530.45,145.02,92.73,74.76,38.13,95.31,54.23,65.22,10.05,49.26,25.3,89.19,30000.0,49000.0,381.88703373898414,-0.43984331425114,0.0
17,1,23150,1996/12/24,성장기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2017,(주)MH에탄올,0.0,-0.26,137106556.0,4135626.0,55956008.0,1.67,-0.28,7.3,5.01,-8.75,-84.02,-47.54,-44.79,3.22,3.04,5.84,93.33,0.0,1741.6,137.71,102.3,80.85,27.08,89.09,50.22,64.23,1.7,50.02,17.42,98.54,189000.0,47000.0,340.8991083037634,-0.2366188202031531,0.0
18,1,23150,1996/12/24,쇠퇴기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2018,(주)MH에탄올,9.43,0.0199999999999995,70371168.0,4313757.0,30544005.0,3.18,25.65,-24.49,1.86,19.86,-31.9,8.51,-49.25,12.33,6.23,7.24,76.12,0.01,1279.28,78.63,273.98,227.41,71.97,16.99,14.0,7.39,33.52,84.87,12.79,166.41,90140.0,28788.0,654.3755115305178,0.1979395535157482,0.0270146395405183
19,0,23150,1996/12/24,성숙기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2019,(주)MH에탄올,-0.27,2.42,30761087.0,3078865.0,16621747.0,9.55,3.93,12.02,8.11,9.12,31.56,21.54,19.81,11.24,10.47,13.46,73.81,0.52,800.86,37.43,358.5,255.54,36.74,29.44,25.67,9.3,40.44,75.5,8.01,110.65,195950.0,36206.0,723.3163515970681,-0.5116421479719242,0.0125480952293021
20,0,23150,1996/12/24,성숙기,사외이사 (감사위원회 위원 제외),제조업,2020,(주)MH에탄올,1.0,-1.34,55711274.0,3909777.0,19255186.0,5.03,-0.39,8.37,8.32,7.91,5.42,-8.68,-18.03,5.52,6.04,12.14,77.4,0.15,1229.1,71.29,138.13,126.49,23.99,97.65,91.48,50.13,5.57,47.6,12.31,90.15,240000.0,35000.0,663.26421526458,-0.5707024249533198,0.0048224024839581
21,0,23150,1996/12/24,성숙기,사외이사 (감사위원회 위원 제외),제조업,2021,(주)MH에탄올,3.35,0.11,39137838.0,28437.0,7425500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,0.14,79.47,0.11,810.68,84.75,123.46,119.39,28.98,87.03,82.84,26.5,1.71,49.39,8.14,100.44,15000.0,38000.0,598.8544181464495,0.1917921368122181,0.0016329752612027
22,0,2360,1985/12/23,성숙기,등기이사,제조업,2011,(주)SH에너지화학,6.82,-2.9200000000000004,83199584.0,305256.0,19322558.0,3.9,2.13,6.24,-2.03,-2.81,42.64,0.0,0.0,-1.01,-0.86,-1.71,89.55,0.01,489.32,129.91,118.7,57.9,14.64,132.7,86.6,65.79,0.81,35.69,4.9,120.08,205000.0,30752.0,231.30809536259216,-0.9038322124825808,0.007859951887386
23,0,2360,1985/12/23,쇠퇴기,등기이사,제조업,2012,(주)SH에너지화학,0.58,-1.95,107230303.0,3126229.0,40355388.0,2.48,-15.29,11.4,-2.23,32.63,56.21,7.53,0.0,2.01,2.95,5.24,94.55,0.0,1111.17,50.23,169.52,93.75,5.07,81.83,77.63,52.17,3.04,51.81,11.11,58.28,133000.0,43000.0,239.7480614598282,0.2683442031392855,0.0
24,0,2360,1985/12/23,성숙기,등기이사,제조업,2013,(주)SH에너지화학,5.46,-1.4299999999999995,96396362.0,-392062.0,38150047.0,-10.1,-6.92,-11.32,-4.83,21.34,0.0,0.0,0.0,-0.21,-0.39,-0.68,98.4,0.0,1054.24,49.13,192.96,137.42,8.2,71.75,63.55,40.63,-1.39,54.68,10.54,43.0,128000.0,40000.0,307.4832842343158,0.2334945823239729,0.0
25,0,2360,1985/12/23,성숙기,등기이사,제조업,2014,(주)SH에너지화학,-0.1,0.04,123300140.0,3926129.0,6709731.0,5.54,5.77,5.39,5.83,6.26,-8.33,-9.06,-8.54,2.09,3.27,6.71,90.17,0.29,656.27,80.22,137.96,99.69,8.56,105.04,90.47,53.36,4.01,42.32,6.56,59.44,138000.0,35000.0,661.6615576430003,-0.3045916299999514,0.0031913393324683
26,0,2360,1985/12/23,성숙기,등기이사,제조업,2015,(주)SH에너지화학,0.01,0.37,129035330.0,2037234.0,3830559.0,4.65,-0.61,8.03,1.98,7.02,34.25,-48.11,-54.01,1.01,1.61,3.35,89.7,0.18,671.22,78.19,168.81,134.51,26.5,110.41,78.33,56.6,5.99,41.36,6.71,59.48,148000.0,36000.0,654.4725767818783,-0.5289245825716608,0.0032163536418714
27,1,2360,1985/12/23,쇠퇴기,사외이사 (감사위원회 위원 제외),제조업,2016,(주)SH에너지화학,0.09,1.2399999999999998,148458348.0,14509605.0,21742309.0,8.98,13.44,5.99,16.59,-9.2,13.21,12.68,18.69,7.79,10.19,16.75,82.98,0.16,1072.8,66.58,197.48,138.93,55.12,59.19,46.9,26.32,28.12,57.46,10.73,70.19,313000.0,41000.0,721.7333716255552,-1.5340483611124005,0.0048929896042812
28,1,2360,1985/12/23,성숙기,사외이사 (감사위원회 위원 제외),제조업,2017,(주)SH에너지화학,0.009999999999998,-0.6299999999999999,151007379.0,3629709.0,13271975.0,-2.18,1.79,-5.13,3.58,-0.39,-56.72,-62.26,-40.64,1.85,2.38,3.56,90.12,0.18,1203.31,64.67,234.47,153.55,37.59,45.71,34.57,13.84,14.39,63.36,12.03,69.25,149000.0,47000.0,514.7728633777558,-0.5386286459982584,0.0052050524132498
29,1,2360,1985/12/23,성숙기,사외이사 (감사위원회 위원 제외),제조업,2018,(주)SH에너지화학,0.0,0.7400000000000002,157495147.0,5362796.0,12419584.0,4.3,0.05,7.68,3.11,0.48,48.65,47.75,-13.1,2.72,3.48,5.1,88.53,0.19,1243.79,62.75,248.51,177.27,67.46,47.39,34.06,14.7,19.49,62.8,12.44,72.57,0.0,51000.0,432.29603519783376,-1.107283459660499,0.0054933403618288
30,0,2360,1985/12/23,성장기,사외이사 (감사위원회 위원 제외),제조업,2019,(주)SH에너지화학,-5.02,-0.89,40733734.0,3720908.0,19762082.0,14.57,4.73,22.89,10.61,32.69,43.52,53.79,41.49,11.68,9.94,17.9,77.02,0.01,790.06,76.34,155.06,123.49,28.23,82.26,68.31,39.72,12.61,50.87,7.96,116.68,155099.0,36606.0,366.9673837905457,0.2988124234422733,0.0073946973233807
31,0,2360,1985/12/23,성장기,사외이사 (감사위원회 위원 제외),제조업,2020,(주)SH에너지화학,0.0,0.0799999999999999,67762288.0,4100455.0,35088931.0,14.6,28.42,4.26,15.49,7.7,-8.24,-1.4,0.3,8.29,6.23,10.17,81.72,0.08,1394.04,77.52,184.52,156.43,75.38,61.72,45.63,41.33,8.21,58.17,13.98,134.67,2000.0,41845.0,1058.3883992228834,-0.8385412270575172,0.0074917720930237
32,0,2360,1985/12/23,쇠퇴기,사외이사 (감사위원회 위원 제외),제조업,2021,(주)SH에너지화학,-4.39,1.6,92396974.0,2852532.0,40223724.0,5.53,11.98,-5.5,5.91,-10.75,-76.79,38.24,42.22,7.73,3.31,5.93,84.4,0.01,1582.77,119.66,140.69,105.67,45.59,78.69,41.96,61.27,0.87,53.73,15.86,188.96,335318.0,43841.0,559.4101248488938,-0.8119540566646924,0.008493152062332
33,0,9160,1989/07/29,성장기,등기이사,제조업,2011,(주)SIMPAC,1.4,-1.83,140567443.0,2053652.0,54346519.0,0.8,2.94,-5.49,0.32,10.47,-61.59,-68.76,-72.04,2.6,1.47,2.46,90.76,0.04,1413.91,127.78,99.75,59.86,19.83,67.79,40.1,49.69,2.11,56.33,14.14,169.32,129200.0,42683.0,231.2284414464308,-0.5255311905290796,0.0054090838884382
34,0,9160,1989/07/29,성숙기,등기이사,제조업,2012,(주)SIMPAC,-3.0,-1.15,224339420.0,3278782.0,74842987.0,-8.39,-2.78,-15.72,6.38,-20.4,-23.52,-60.85,-54.92,0.55,0.62,1.43,94.03,0.02,1340.53,128.58,83.06,47.47,0.67,113.83,102.64,78.47,1.81,43.52,13.41,57.48,250000.0,30216.0,202.1999598733027,-2.002465256786094,0.0
35,1,9160,1989/07/29,성장기,등기이사,제조업,2013,(주)SIMPAC,-1.06,-0.52,307195349.0,186544.0,72672616.0,4.16,-0.92,11.06,8.46,5.09,0.0,0.0,0.0,0.59,0.63,1.65,95.19,0.0,1011.86,130.16,107.71,59.06,0.98,137.6,99.74,102.2,1.27,38.83,11.93,83.01,310000.0,34595.0,265.2966755756449,0.2234476081244096,0.0
36,1,9160,1989/07/29,쇠퇴기,등기이사,제조업,2014,(주)SIMPAC,-0.74,-0.27,37721152.0,737899.0,7218206.0,16.06,2.1,29.01,4.16,1.23,-40.03,-44.51,-45.08,1.82,2.06,3.86,73.39,0.0,519.66,86.04,300.35,107.26,7.16,103.14,38.99,65.19,2.58,41.41,5.27,92.74,132960.0,26992.0,858.6200470759748,-0.9083997971557218,0.0271945684374952
37,1,9160,1989/07/29,성장기,등기이사,제조업,2015,(주)SIMPAC,6.930000000000001,2.28,40799790.0,841854.0,8260060.0,8.16,-4.88,17.75,15.47,-1.53,-9.13,13.44,15.58,2.24,2.23,3.98,73.69,0.0,570.46,68.64,204.38,105.99,9.09,84.29,56.59,50.44,2.33,46.55,6.01,102.26,153328.0,24671.0,883.9206090031346,-0.6168731176942205,0.0347941533424966
38,1,9160,1989/07/29,성숙기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2016,(주)SIMPAC,-14.14,1.5699999999999998,102872752.0,-1943335.0,39668062.0,2.3,-0.61,4.41,0.23,3.56,0.0,0.0,0.0,0.21,0.18,0.29,86.18,0.08,691.24,66.58,182.37,133.37,11.48,63.32,53.05,44.09,0.54,57.36,6.91,104.93,0.0,31379.0,438.59898651296896,-0.970623667076052,0.0168798748102209
39,1,9160,1989/07/29,쇠퇴기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2017,(주)SIMPAC,12.12,-0.1500000000000001,98176729.0,2529305.0,50763149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,1.15,1.66,83.99,0.58,1634.04,67.17,199.97,148.4,17.71,43.82,38.33,25.35,33.43,66.68,16.34,85.08,146978.0,35808.0,573.1107889834057,-0.9539474290566516,0.0062321361572248
