,target,거래소코드,상장일,수명주기,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,자기자본순이익률,광고선전비대매출액비율,비유동비율,당좌비율,현금비율,부채비율,이자보상배율(이자비용),유보액대납입자본배율,투자집중도,1인년간평균급여(직원),토빈Q,WW지수,RDS,산업평균_총자산증가율차분,보통주식비율,외국인_주식분포비율,업력
0,0,990,1975/12/12,성숙기,제조업,2016,(주)DB하이텍,-25.96,3.41,986788572.0,88002359.0,-4.49,9.23,34.58,15.98,37.98,-30.29,-23.75,11.43,22.9,0.0,180.71,106.69,42.15,188.6,4.41,2.24,116.48,53000.0,1.3670044640606154,-0.677243270486627,0.0695061534636577,0.1132597671560678,19.33,13.46,61.0
1,0,990,1975/12/12,성숙기,제조업,2017,(주)DB하이텍,25.96,5.670000000000002,993950720.0,74401732.0,3.63,-4.14,33.31,-12.08,-16.95,24.71,29.62,16.21,22.9,0.0,140.48,191.87,74.02,118.07,6.05,2.24,133.86,55000.0,1.0903397757023607,-0.4447534489023017,0.0800720579082629,0.5689093623812297,19.63,20.15,61.0
2,0,990,1975/12/12,성숙기,제조업,2018,(주)DB하이텍,0.0,5.670000000000002,1066533840.0,95087399.0,6.69,8.4,22.51,-1.54,-21.09,-21.19,-14.1,12.97,17.12,0.0,122.34,217.15,75.96,91.0,6.77,2.24,138.53,56000.0,0.9392724101318716,-0.671716298530556,0.0789057915589946,7.272434708918474,19.77,28.31,61.0
3,1,990,1975/12/12,성숙기,제조업,2019,(주)DB하이텍,-0.1400000000000005,5.670000000000002,1088889810.0,120615162.0,-3.0,11.19,15.45,20.64,60.45,20.51,2.3,12.96,17.4,0.0,102.79,170.41,38.58,68.91,13.44,2.24,125.81,66000.0,1.3606630120085337,-0.4856887834577311,0.0684851068480186,1.991705282809784,19.46,33.98,61.0
4,0,23150,1996/12/24,성숙기,제조업,2013,(주)MH에탄올,7.79,-0.11,129697936.0,-8184273.0,2.54,-13.66,17.05,4.07,-44.79,860.9023444180505,45.22930641330159,11.3,16.85,0.01,188.56,41.69,2.66,182.66,0.87,9.41,190.53,49954.0,0.806346008466935,-0.5666683969091788,0.0,-3.530169283729302,54.6,0.08,35.0
5,0,23150,1996/12/24,성숙기,제조업,2014,(주)MH에탄올,2.110000000000001,3.32,85534839.0,4618332.0,-13.42,-22.39,15.27,-21.25,173.46,860.9023444180505,-98.66,-0.41,-0.38,0.14,107.61,68.77,2.66,62.03,5.62,10.48,141.36,50868.0,1.0715669855180296,-1.9914481766331693,0.0,-10.37461570353346,51.79,3.34,36.0
6,0,23150,1996/12/24,쇠퇴기,제조업,2015,(주)MH에탄올,-10.18,0.8700000000000001,78996052.0,7744832.0,-0.54,-21.69,9.65,2.86,26.84,860.9023444180505,277.71,15.44,14.06,0.01,97.6,92.01,15.38,36.47,12.69,11.79,126.67,48575.0,1.066972861023485,-0.9224205078518728,0.0,-7.850747247365109,51.79,4.21,37.0
7,1,23150,1996/12/24,쇠퇴기,제조업,2016,(주)MH에탄올,3.58,-2.5700000000000003,72339673.0,8134873.0,-6.84,-12.41,9.84,-2.96,7.05,4.71,8.01,16.66,13.41,0.0,82.78,185.46,17.87,13.77,29.41,13.15,125.25,57211.0,0.91807979508008,-1.285583865782108,0.0,-8.536740232843933,51.79,1.64,38.0
8,1,23150,1996/12/24,성장기,제조업,2017,(주)MH에탄올,33.68,-0.3799999999999999,500180086.0,5903108.0,56.61,52.18,3.63,6.3,-31.65,-17.16,-18.62,8.29,10.42,0.0,198.8,41.69,7.8,248.83,3.46,23.01,239.39,55964.0,0.8823032981085137,0.2453797958572038,0.0,40.59170528280978,52.55,1.26,39.0
9,0,23150,1996/12/24,쇠퇴기,제조업,2018,(주)MH에탄올,-24.86,-0.8400000000000001,440177523.0,6553371.0,-1.16,-22.39,-5.46,40.05,-82.19,-95.39,-101.48,-7.74,-0.93,0.03,198.8,41.69,4.89,248.83,0.1,19.93,239.39,71137.0,0.8882028395120939,0.8429429074860997,0.0,-10.37461570353346,55.46,0.42,40.0
