,회사명,거래소코드,회계년도,target
0,(주)DB하이텍,000990,2011,0
1,(주)DB하이텍,000990,2012,0
2,(주)DB하이텍,000990,2013,0
3,(주)DB하이텍,000990,2014,0
4,(주)DB하이텍,000990,2015,0
5,(주)DB하이텍,000990,2016,0
6,(주)DB하이텍,000990,2017,0
7,(주)DB하이텍,000990,2018,0
8,(주)DB하이텍,000990,2019,1
9,(주)DB하이텍,000990,2020,1
10,(주)DB하이텍,000990,2021,1
11,(주)MH에탄올,023150,2011,0
12,(주)MH에탄올,023150,2012,0
13,(주)MH에탄올,023150,2013,0
14,(주)MH에탄올,023150,2014,0
15,(주)MH에탄올,023150,2015,0
16,(주)MH에탄올,023150,2016,1
17,(주)MH에탄올,023150,2017,1
18,(주)MH에탄올,023150,2018,0
19,(주)MH에탄올,023150,2019,0
20,(주)MH에탄올,023150,2020,0
21,(주)MH에탄올,023150,2021,0
22,(주)SH에너지화학,002360,2011,0
23,(주)SH에너지화학,002360,2012,0
24,(주)SH에너지화학,002360,2013,0
25,(주)SH에너지화학,002360,2014,0
26,(주)SH에너지화학,002360,2015,0
27,(주)SH에너지화학,002360,2016,1
28,(주)SH에너지화학,002360,2017,0
29,(주)SH에너지화학,002360,2018,0
30,(주)SH에너지화학,002360,2019,0
31,(주)SH에너지화학,002360,2020,0
32,(주)SH에너지화학,002360,2021,0
33,(주)SIMPAC,009160,2011,0
34,(주)SIMPAC,009160,2012,0
35,(주)SIMPAC,009160,2013,0
36,(주)SIMPAC,009160,2014,0
37,(주)SIMPAC,009160,2015,1
38,(주)SIMPAC,009160,2016,0
39,(주)SIMPAC,009160,2017,0
40,(주)SIMPAC,009160,2018,1
41,(주)SIMPAC,009160,2019,0
42,(주)SIMPAC,009160,2020,0
43,(주)SIMPAC,009160,2021,1
44,(주)SNT에너지,100840,2011,0
45,(주)SNT에너지,100840,2012,0
46,(주)SNT에너지,100840,2013,0
47,(주)SNT에너지,100840,2014,0
48,(주)SNT에너지,100840,2015,0
49,(주)SNT에너지,100840,2016,0
50,(주)SNT에너지,100840,2017,0
51,(주)SNT에너지,100840,2018,0
52,(주)SNT에너지,100840,2019,0
53,(주)SNT에너지,100840,2020,0
54,(주)SNT에너지,100840,2021,0
55,(주)SNT홀딩스,036530,2011,0
56,(주)SNT홀딩스,036530,2012,0
57,(주)SNT홀딩스,036530,2013,0
58,(주)SNT홀딩스,036530,2014,0
59,(주)SNT홀딩스,036530,2015,1
60,(주)SNT홀딩스,036530,2016,0
61,(주)SNT홀딩스,036530,2017,0
62,(주)SNT홀딩스,036530,2018,1
63,(주)SNT홀딩스,036530,2019,1
64,(주)SNT홀딩스,036530,2020,1
65,(주)SNT홀딩스,036530,2021,1
66,(주)STX,011810,2011,0
67,(주)STX,011810,2012,0
68,(주)STX,011810,2014,0
69,(주)STX,011810,2015,0
70,(주)STX,011810,2016,0
71,(주)STX,011810,2017,0
72,(주)STX,011810,2018,0
73,(주)STX,011810,2019,0
74,(주)STX,011810,2020,0
75,(주)STX,011810,2021,0
76,(주)TCC스틸,002710,2011,0
77,(주)TCC스틸,002710,2012,0
78,(주)TCC스틸,002710,2013,0
79,(주)TCC스틸,002710,2014,1
80,(주)TCC스틸,002710,2015,0
81,(주)TCC스틸,002710,2016,0
82,(주)TCC스틸,002710,2017,0
83,(주)TCC스틸,002710,2018,0
84,(주)TCC스틸,002710,2019,0
85,(주)TCC스틸,002710,2020,0
86,(주)TCC스틸,002710,2021,1
87,(주)가비아,079940,2011,0
88,(주)가비아,079940,2012,0
89,(주)가비아,079940,2013,0
90,(주)가비아,079940,2014,1
91,(주)가비아,079940,2015,1
92,(주)가비아,079940,2016,0
93,(주)가비아,079940,2017,0
94,(주)가비아,079940,2018,0
95,(주)가비아,079940,2019,1
96,(주)가비아,079940,2020,1
97,(주)가비아,079940,2021,1
98,(주)강원랜드,035250,2011,0
99,(주)강원랜드,035250,2012,0
100,(주)강원랜드,035250,2013,0
101,(주)강원랜드,035250,2014,1
102,(주)강원랜드,035250,2015,1
103,(주)강원랜드,035250,2016,1
104,(주)강원랜드,035250,2017,0
105,(주)강원랜드,035250,2018,0
106,(주)강원랜드,035250,2019,0
107,(주)강원랜드,035250,2020,0
108,(주)강원랜드,035250,2021,0
109,(주)강원에너지,114190,2011,0
110,(주)강원에너지,114190,2012,0
111,(주)강원에너지,114190,2013,0
112,(주)강원에너지,114190,2014,0
113,(주)강원에너지,114190,2015,0
114,(주)강원에너지,114190,2016,0
115,(주)강원에너지,114190,2017,0
116,(주)강원에너지,114190,2018,0
117,(주)강원에너지,114190,2019,0
118,(주)강원에너지,114190,2020,0
119,(주)강원에너지,114190,2021,0
120,(주)경농,002100,2011,0
121,(주)경농,002100,2012,0
122,(주)경농,002100,2013,1
123,(주)경농,002100,2014,1
124,(주)경농,002100,2015,1
125,(주)경농,002100,2016,1
126,(주)경농,002100,2017,1
127,(주)경농,002100,2018,0
128,(주)경농,002100,2019,0
129,(주)경농,002100,2020,1
130,(주)경농,002100,2021,1
131,(주)경동나비엔,009450,2011,0
132,(주)경동나비엔,009450,2012,1
133,(주)경동나비엔,009450,2013,1
134,(주)경동나비엔,009450,2014,0
135,(주)경동나비엔,009450,2015,0
136,(주)경동나비엔,009450,2016,1
137,(주)경동나비엔,009450,2017,0
138,(주)경동나비엔,009450,2018,1
139,(주)경동나비엔,009450,2019,1
140,(주)경동나비엔,009450,2020,1
141,(주)경동나비엔,009450,2021,1
142,(주)경동도시가스,267290,2018,0
143,(주)경동도시가스,267290,2019,1
144,(주)경동도시가스,267290,2020,0
145,(주)경동도시가스,267290,2021,0
146,(주)경동인베스트,012320,2011,0
147,(주)경동인베스트,012320,2012,1
148,(주)경동인베스트,012320,2013,0
149,(주)경동인베스트,012320,2014,0
150,(주)경동인베스트,012320,2015,0
151,(주)경동인베스트,012320,2016,0
152,(주)경동인베스트,012320,2017,0
153,(주)경동인베스트,012320,2018,0
154,(주)경동인베스트,012320,2019,0
155,(주)경동인베스트,012320,2020,0
156,(주)경동인베스트,012320,2021,0
157,(주)경방,000050,2011,0
158,(주)경방,000050,2012,0
159,(주)경방,000050,2013,0
160,(주)경방,000050,2014,0
161,(주)경방,000050,2015,1
162,(주)경방,000050,2016,1
163,(주)경방,000050,2017,0
164,(주)경방,000050,2018,0
165,(주)경방,000050,2019,0
166,(주)경방,000050,2020,0
167,(주)경방,000050,2021,0
168,(주)경보제약,214390,2015,0
169,(주)경보제약,214390,2016,0
170,(주)경보제약,214390,2017,1
171,(주)경보제약,214390,2018,0
172,(주)경보제약,214390,2019,0
173,(주)경보제약,214390,2020,0
174,(주)경보제약,214390,2021,0
175,(주)경인양행,012610,2011,0
176,(주)경인양행,012610,2012,0
177,(주)경인양행,012610,2013,1
178,(주)경인양행,012610,2014,1
179,(주)경인양행,012610,2015,0
180,(주)경인양행,012610,2016,0
181,(주)경인양행,012610,2017,0
182,(주)경인양행,012610,2018,1
183,(주)경인양행,012610,2019,1
184,(주)경인양행,012610,2020,1
185,(주)경인양행,012610,2021,1
186,(주)고려시멘트,198440,2017,0
187,(주)고려시멘트,198440,2018,0
188,(주)고려시멘트,198440,2019,0
189,(주)고려시멘트,198440,2020,0
190,(주)고려시멘트,198440,2021,0
191,(주)고영테크놀러지,098460,2011,0
192,(주)고영테크놀러지,098460,2012,1
193,(주)고영테크놀러지,098460,2013,1
194,(주)고영테크놀러지,098460,2014,1
195,(주)고영테크놀러지,098460,2015,1
196,(주)고영테크놀러지,098460,2016,1
197,(주)고영테크놀러지,098460,2017,1
198,(주)고영테크놀러지,098460,2018,0
199,(주)고영테크놀러지,098460,2019,0
200,(주)고영테크놀러지,098460,2020,0
201,(주)고영테크놀러지,098460,2021,1
202,(주)골프존,215000,2016,0
203,(주)골프존,215000,2017,1
204,(주)골프존,215000,2018,0
205,(주)골프존,215000,2019,1
206,(주)골프존,215000,2020,1
207,(주)골프존,215000,2021,1
208,(주)골프존뉴딘홀딩스,121440,2011,0
209,(주)골프존뉴딘홀딩스,121440,2012,1
210,(주)골프존뉴딘홀딩스,121440,2013,0
211,(주)골프존뉴딘홀딩스,121440,2014,1
212,(주)골프존뉴딘홀딩스,121440,2015,1
213,(주)골프존뉴딘홀딩스,121440,2016,0
214,(주)골프존뉴딘홀딩스,121440,2017,0
215,(주)골프존뉴딘홀딩스,121440,2018,0
216,(주)골프존뉴딘홀딩스,121440,2019,0
217,(주)골프존뉴딘홀딩스,121440,2020,0
218,(주)골프존뉴딘홀딩스,121440,2021,1
219,(주)광림,014200,2011,0
220,(주)광림,014200,2012,0
221,(주)광림,014200,2013,0
222,(주)광림,014200,2014,0
223,(주)광림,014200,2015,0
224,(주)광림,014200,2016,0
225,(주)광림,014200,2017,0
226,(주)광림,014200,2018,0
227,(주)광림,014200,2019,0
228,(주)광림,014200,2020,0
229,(주)광림,014200,2021,0
230,(주)광명전기,017040,2011,0
231,(주)광명전기,017040,2012,0
232,(주)광명전기,017040,2013,0
233,(주)광명전기,017040,2014,0
234,(주)광명전기,017040,2015,0
235,(주)광명전기,017040,2016,0
236,(주)광명전기,017040,2017,0
237,(주)광명전기,017040,2018,0
238,(주)광명전기,017040,2019,0
239,(주)광명전기,017040,2020,0
240,(주)광명전기,017040,2021,0
241,(주)광주신세계,037710,2011,0
242,(주)광주신세계,037710,2012,0
243,(주)광주신세계,037710,2013,0
244,(주)광주신세계,037710,2014,0
245,(주)광주신세계,037710,2015,0
246,(주)광주신세계,037710,2016,0
247,(주)광주신세계,037710,2017,0
248,(주)광주신세계,037710,2018,0
249,(주)광주신세계,037710,2019,1
250,(주)광주신세계,037710,2020,0
251,(주)광주신세계,037710,2021,1
252,(주)구영테크,053270,2011,0
253,(주)구영테크,053270,2012,0
254,(주)구영테크,053270,2013,0
255,(주)구영테크,053270,2014,0
256,(주)구영테크,053270,2015,0
257,(주)구영테크,053270,2016,0
258,(주)구영테크,053270,2017,0
259,(주)구영테크,053270,2018,0
260,(주)구영테크,053270,2019,0
261,(주)구영테크,053270,2020,0
262,(주)구영테크,053270,2021,0
263,(주)국동,005320,2011,0
264,(주)국동,005320,2012,0
265,(주)국동,005320,2013,0
266,(주)국동,005320,2014,0
267,(주)국동,005320,2015,0
268,(주)국동,005320,2016,0
269,(주)국동,005320,2017,0
270,(주)국동,005320,2018,0
271,(주)국동,005320,2019,0
272,(주)국동,005320,2020,0
273,(주)국동,005320,2021,0
274,(주)국보,001140,2011,0
275,(주)국보,001140,2012,0
276,(주)국보,001140,2013,1
277,(주)국보,001140,2014,0
278,(주)국보,001140,2015,0
279,(주)국보,001140,2016,0
280,(주)국보,001140,2017,0
281,(주)국보,001140,2018,0
282,(주)국보,001140,2019,0
283,(주)국보,001140,2020,0
284,(주)국보,001140,2021,0
285,(주)국보디자인,066620,2011,0
286,(주)국보디자인,066620,2012,1
287,(주)국보디자인,066620,2013,1
288,(주)국보디자인,066620,2014,1
289,(주)국보디자인,066620,2015,0
290,(주)국보디자인,066620,2016,0
291,(주)국보디자인,066620,2017,1
292,(주)국보디자인,066620,2018,0
293,(주)국보디자인,066620,2019,1
294,(주)국보디자인,066620,2020,1
295,(주)국보디자인,066620,2021,1
296,(주)국순당,043650,2011,0
297,(주)국순당,043650,2012,0
298,(주)국순당,043650,2013,0
299,(주)국순당,043650,2014,1
300,(주)국순당,043650,2015,1
301,(주)국순당,043650,2016,1
302,(주)국순당,043650,2017,1
303,(주)국순당,043650,2018,1
304,(주)국순당,043650,2019,0
305,(주)국순당,043650,2020,1
306,(주)국순당,043650,2021,1
307,(주)국영지앤엠,006050,2011,0
308,(주)국영지앤엠,006050,2012,0
309,(주)국영지앤엠,006050,2013,0
310,(주)국영지앤엠,006050,2014,0
311,(주)국영지앤엠,006050,2015,0
312,(주)국영지앤엠,006050,2016,0
313,(주)국영지앤엠,006050,2017,0
314,(주)국영지앤엠,006050,2018,0
315,(주)국영지앤엠,006050,2019,0
316,(주)국영지앤엠,006050,2020,0
317,(주)국영지앤엠,006050,2021,0
318,(주)국전약품,307750,2020,0
319,(주)국전약품,307750,2021,0
320,(주)그래디언트,035080,2011,0
321,(주)그래디언트,035080,2012,0
322,(주)그래디언트,035080,2013,0
323,(주)그래디언트,035080,2014,0
324,(주)그래디언트,035080,2015,1
325,(주)그래디언트,035080,2016,1
326,(주)그래디언트,035080,2017,0
327,(주)그래디언트,035080,2018,0
328,(주)그래디언트,035080,2019,1
329,(주)그래디언트,035080,2020,0
330,(주)그래디언트,035080,2021,1
331,(주)그리티,204020,2018,0
332,(주)그리티,204020,2019,0
333,(주)그리티,204020,2020,0
334,(주)그리티,204020,2021,0
335,(주)글로벌스탠다드테크놀로지,083450,2011,0
336,(주)글로벌스탠다드테크놀로지,083450,2012,1
337,(주)글로벌스탠다드테크놀로지,083450,2013,1
338,(주)글로벌스탠다드테크놀로지,083450,2014,1
339,(주)글로벌스탠다드테크놀로지,083450,2015,0
340,(주)글로벌스탠다드테크놀로지,083450,2016,0
341,(주)글로벌스탠다드테크놀로지,083450,2017,0
342,(주)글로벌스탠다드테크놀로지,083450,2018,0
343,(주)글로벌스탠다드테크놀로지,083450,2019,0
344,(주)글로벌스탠다드테크놀로지,083450,2020,0
345,(주)글로벌스탠다드테크놀로지,083450,2021,1
346,(주)금비,008870,2011,0
347,(주)금비,008870,2012,0
348,(주)금비,008870,2014,0
349,(주)금비,008870,2015,1
350,(주)금비,008870,2016,1
