,회사명,거래소코드,회계년도,보통주식비율,외국인_주식분포비율
0,(주)CMG제약,58820,2011,2.31,0.07
1,(주)CMG제약,58820,2012,30.29,0.29
2,(주)CMG제약,58820,2013,26.8,0.25
3,(주)CMG제약,58820,2014,26.8,0.34
4,(주)CMG제약,58820,2015,26.29,0.65
5,(주)CMG제약,58820,2016,26.02,2.07
6,(주)CMG제약,58820,2017,25.98,3.51
7,(주)CMG제약,58820,2018,25.98,4.69
8,(주)CMG제약,58820,2019,25.84,2.12
9,(주)CMG제약,58820,2020,25.84,7.2
10,(주)CMG제약,58820,2021,25.84,6.62
11,(주)DB하이텍,990,2011,38.69,6.65
12,(주)DB하이텍,990,2012,37.29,7.45
13,(주)DB하이텍,990,2013,37.29,7.07
14,(주)DB하이텍,990,2014,37.4,3.72
15,(주)DB하이텍,990,2015,19.09,10.05
16,(주)DB하이텍,990,2016,19.06,13.46
17,(주)DB하이텍,990,2017,19.63,20.15
18,(주)DB하이텍,990,2018,19.77,28.31
19,(주)DB하이텍,990,2019,19.46,39.6
20,(주)DB하이텍,990,2020,17.35,27.61
21,(주)DB하이텍,990,2021,17.38,24.1
22,(주)ES큐브,50120,2011,35.11,2.12
23,(주)ES큐브,50120,2012,19.99,2.04
24,(주)ES큐브,50120,2013,16.44,0.74
25,(주)ES큐브,50120,2014,16.44,1.13
26,(주)ES큐브,50120,2015,16.44,2.77
27,(주)ES큐브,50120,2016,17.8,2.49
28,(주)ES큐브,50120,2017,19.16,1.12
29,(주)ES큐브,50120,2018,19.16,3.33
30,(주)ES큐브,50120,2019,19.57,2.92
31,(주)ES큐브,50120,2020,32.19,0.96
32,(주)ES큐브,50120,2021,32.19,2.71
33,(주)HJ중공업,97230,2011,37.38,9.87
34,(주)HJ중공업,97230,2012,37.38,8.39
35,(주)HJ중공업,97230,2013,35.12,9.27
36,(주)HJ중공업,97230,2014,32.82,2.96
37,(주)HJ중공업,97230,2015,32.87,2.78
38,(주)HJ중공업,97230,2016,31.69,7.64
39,(주)HJ중공업,97230,2017,31.68,4.64
40,(주)HJ중공업,97230,2019,16.14,20.71
41,(주)HJ중공업,97230,2020,16.14,20.92
42,(주)HJ중공업,97230,2021,66.85,20.08
43,(주)MH에탄올,23150,2011,54.6,0.22
44,(주)MH에탄올,23150,2012,54.6,0.13
45,(주)MH에탄올,23150,2013,54.6,0.02
46,(주)MH에탄올,23150,2014,51.79,3.34
47,(주)MH에탄올,23150,2015,51.79,4.21
48,(주)MH에탄올,23150,2016,51.79,1.64
49,(주)MH에탄올,23150,2017,52.55,1.26
50,(주)MH에탄올,23150,2018,55.46,0.42
51,(주)MH에탄올,23150,2019,52.17,0.71
52,(주)MH에탄올,23150,2020,44.43,1.49
53,(주)MH에탄올,23150,2021,43.63,3.47
54,(주)SH에너지화학,2360,2011,34.6,31.47
55,(주)SH에너지화학,2360,2012,32.85,31.88
56,(주)SH에너지화학,2360,2013,31.12,31.62
57,(주)SH에너지화학,2360,2014,31.12,36.92
58,(주)SH에너지화학,2360,2015,31.12,35.07
59,(주)SH에너지화학,2360,2016,31.12,35.19
60,(주)SH에너지화학,2360,2017,31.12,33.94
61,(주)SH에너지화학,2360,2018,31.12,34.72
62,(주)SH에너지화학,2360,2019,31.12,34.65
63,(주)SH에너지화학,2360,2020,31.12,33.63
64,(주)SH에너지화학,2360,2021,31.06,32.81
65,(주)SIMPAC,9160,2011,48.7,0.49
66,(주)SIMPAC,9160,2012,41.56,3.17
67,(주)SIMPAC,9160,2013,41.2,15.33
68,(주)SIMPAC,9160,2014,41.2,17.56
69,(주)SIMPAC,9160,2015,40.89,17.99
70,(주)SIMPAC,9160,2016,40.88,18.71
71,(주)SIMPAC,9160,2017,40.88,14.43
72,(주)SIMPAC,9160,2018,60.01,8.16
73,(주)SIMPAC,9160,2019,60.01,8.61
74,(주)SIMPAC,9160,2020,59.99,7.83
75,(주)SIMPAC,9160,2021,59.99,8.06
76,(주)SNT에너지,100840,2011,43.89,0
77,(주)SNT에너지,100840,2012,51.21,0
78,(주)SNT에너지,100840,2013,51.21,0.23
79,(주)SNT에너지,100840,2014,60.37,0.01
80,(주)SNT에너지,100840,2015,53.31,7.11
81,(주)SNT에너지,100840,2016,53.31,1.45
82,(주)SNT에너지,100840,2017,54.08,1.36
83,(주)SNT에너지,100840,2018,55.86,1.64
84,(주)SNT에너지,100840,2019,55.93,2.54
85,(주)SNT에너지,100840,2020,55.93,2.34
86,(주)SNT에너지,100840,2021,59.93,5.16
87,(주)SNT홀딩스,36530,2011,69.87,6.91
88,(주)SNT홀딩스,36530,2012,71.13,7.17
89,(주)SNT홀딩스,36530,2013,68.36,7.77
90,(주)SNT홀딩스,36530,2014,68.36,7.91
91,(주)SNT홀딩스,36530,2015,61.75,10
92,(주)SNT홀딩스,36530,2016,61.75,11.35
93,(주)SNT홀딩스,36530,2017,61.75,9.01
94,(주)SNT홀딩스,36530,2018,62.52,10.96
95,(주)SNT홀딩스,36530,2019,62.67,10.68
96,(주)SNT홀딩스,36530,2020,63.17,10.26
97,(주)SNT홀딩스,36530,2021,63.31,11.21
98,(주)STX,11810,2011,39.5,8.22
99,(주)STX,11810,2012,39.12,7.35
100,(주)STX,11810,2014,39.64,0.04
101,(주)STX,11810,2015,39.59,0
102,(주)STX,11810,2016,24.99,0
103,(주)STX,11810,2017,46.48,0
104,(주)STX,11810,2018,83.68,0.18
105,(주)STX,11810,2019,78.87,0.12
106,(주)STX,11810,2020,78.87,0.23
107,(주)STX,11810,2021,55.41,1.7
108,(주)TCC스틸,2710,2011,40.78,1.31
109,(주)TCC스틸,2710,2012,41.03,1.33
110,(주)TCC스틸,2710,2013,41.07,1.33
111,(주)TCC스틸,2710,2014,41.24,0.95
112,(주)TCC스틸,2710,2015,47.53,0.5
113,(주)TCC스틸,2710,2016,47.55,0.85
114,(주)TCC스틸,2710,2017,47.55,1.13
115,(주)TCC스틸,2710,2018,47.65,1.79
116,(주)TCC스틸,2710,2019,47.65,1.62
117,(주)TCC스틸,2710,2020,39.56,0.35
118,(주)TCC스틸,2710,2021,36.55,7.57
119,(주)가비아,79940,2011,34.99,5.38
120,(주)가비아,79940,2012,25.25,1.18
121,(주)가비아,79940,2013,25.26,7.57
122,(주)가비아,79940,2014,25.18,13.82
123,(주)가비아,79940,2015,25.18,13.82
124,(주)가비아,79940,2016,24.51,12.71
125,(주)가비아,79940,2017,24.65,12.85
126,(주)가비아,79940,2018,24.79,17.49
127,(주)가비아,79940,2019,24.89,16.57
128,(주)가비아,79940,2020,24.85,12.07
129,(주)가비아,79940,2021,26.13,12.99
130,(주)가온칩스,399720,2018,0,0
131,(주)가온칩스,399720,2019,0,0
132,(주)가온칩스,399720,2020,0,0
133,(주)가온칩스,399720,2021,0,0
134,(주)강스템바이오텍,217730,2013,0,0
135,(주)강스템바이오텍,217730,2014,0,0
136,(주)강스템바이오텍,217730,2015,22.95,0.01
137,(주)강스템바이오텍,217730,2016,23.22,0.53
138,(주)강스템바이오텍,217730,2017,21.51,0.68
139,(주)강스템바이오텍,217730,2018,17.07,1.19
140,(주)강스템바이오텍,217730,2019,13.02,2.78
141,(주)강스템바이오텍,217730,2020,10.25,1.7
142,(주)강스템바이오텍,217730,2021,7.69,1.38
143,(주)강원랜드,35250,2011,36.02,32.24
144,(주)강원랜드,35250,2012,36.28,32.65
145,(주)강원랜드,35250,2013,36.28,28.54
146,(주)강원랜드,35250,2014,36.27,26.43
147,(주)강원랜드,35250,2015,36.27,28.85
148,(주)강원랜드,35250,2016,36.27,28.94
149,(주)강원랜드,35250,2017,36.27,28.68
150,(주)강원랜드,35250,2018,36.27,27.48
151,(주)강원랜드,35250,2019,36.27,29.71
152,(주)강원랜드,35250,2020,36.27,22.2
153,(주)강원랜드,35250,2021,36.27,18.74
154,(주)강원에너지,114190,2011,45.42,0
155,(주)강원에너지,114190,2012,38.58,0.29
156,(주)강원에너지,114190,2013,46.65,0.16
157,(주)강원에너지,114190,2014,53.04,0.41
158,(주)강원에너지,114190,2015,52.87,0.32
159,(주)강원에너지,114190,2016,52.87,1.05
160,(주)강원에너지,114190,2017,52.4,0.66
161,(주)강원에너지,114190,2018,42.25,2.08
162,(주)강원에너지,114190,2019,11.47,1.9
163,(주)강원에너지,114190,2020,21.43,0.47
164,(주)강원에너지,114190,2021,45.78,0.32
165,(주)갤럭시아에스엠,11420,2011,33.92,0.03
166,(주)갤럭시아에스엠,11420,2012,33.94,0.49
167,(주)갤럭시아에스엠,11420,2013,30.94,0.01
168,(주)갤럭시아에스엠,11420,2014,30.36,0.89
169,(주)갤럭시아에스엠,11420,2015,37.09,0.9
170,(주)갤럭시아에스엠,11420,2016,36.95,0.21
171,(주)갤럭시아에스엠,11420,2017,36.95,0.72
172,(주)갤럭시아에스엠,11420,2018,36.95,0.31
173,(주)갤럭시아에스엠,11420,2019,36.95,3.13
174,(주)갤럭시아에스엠,11420,2020,36.66,1.7
175,(주)갤럭시아에스엠,11420,2021,36.66,0.64
176,(주)경농,2100,2011,57.8,1.76
177,(주)경농,2100,2012,60.15,1.42
178,(주)경농,2100,2013,60.15,1.13
179,(주)경농,2100,2014,60.14,0.77
180,(주)경농,2100,2015,60.14,0.76
181,(주)경농,2100,2016,60.14,0.59
182,(주)경농,2100,2017,60.13,0.71
183,(주)경농,2100,2018,60.13,0.41
184,(주)경농,2100,2019,60.13,1.29
185,(주)경농,2100,2020,60.13,0.36
186,(주)경농,2100,2021,66.81,1.03
187,(주)경동나비엔,9450,2011,58.94,2.98
188,(주)경동나비엔,9450,2012,58.04,5.28
189,(주)경동나비엔,9450,2013,58.04,4.09
190,(주)경동나비엔,9450,2014,58.04,2.35
191,(주)경동나비엔,9450,2015,57.42,4.59
192,(주)경동나비엔,9450,2016,57.42,7.87
193,(주)경동나비엔,9450,2017,57.42,3.97
194,(주)경동나비엔,9450,2018,57.42,7.67
195,(주)경동나비엔,9450,2019,51.52,8.91
196,(주)경동나비엔,9450,2020,54.6,10.13
197,(주)경동나비엔,9450,2021,57.61,13.3
198,(주)경동도시가스,267290,2017,51.99,25.8
199,(주)경동도시가스,267290,2018,51.99,21.23
200,(주)경동도시가스,267290,2019,51.99,18.18
201,(주)경동도시가스,267290,2020,51.99,15.46
202,(주)경동도시가스,267290,2021,51.99,17.34
203,(주)경동인베스트,12320,2011,45.33,17.41
204,(주)경동인베스트,12320,2012,45.33,23.2
205,(주)경동인베스트,12320,2013,43.47,22.33
206,(주)경동인베스트,12320,2014,43.47,21.93
207,(주)경동인베스트,12320,2015,43.47,21.11
208,(주)경동인베스트,12320,2016,43.47,19.64
209,(주)경동인베스트,12320,2017,54.29,13.6
210,(주)경동인베스트,12320,2018,54.29,12.83
211,(주)경동인베스트,12320,2019,54.29,11.54
212,(주)경동인베스트,12320,2020,54.29,11.03
213,(주)경동인베스트,12320,2021,54.29,13.16
214,(주)경방,50,2011,53.67,1.08
215,(주)경방,50,2012,56.54,1.92
216,(주)경방,50,2013,56.63,0.99
217,(주)경방,50,2014,55.82,1.36
218,(주)경방,50,2015,56.11,2.85
219,(주)경방,50,2016,56.73,3.32
220,(주)경방,50,2017,57.66,2.16
221,(주)경방,50,2018,58.62,2.18
222,(주)경방,50,2019,58.61,1.87
223,(주)경방,50,2020,59.37,2.96
224,(주)경방,50,2021,59.75,2.03
225,(주)경보제약,214390,2011,0,0
226,(주)경보제약,214390,2012,0,0
227,(주)경보제약,214390,2013,0,0
228,(주)경보제약,214390,2014,0,0
229,(주)경보제약,214390,2015,60.08,1.06
230,(주)경보제약,214390,2016,60.08,1.81
231,(주)경보제약,214390,2017,60,2.69
232,(주)경보제약,214390,2018,60.5,3.12
233,(주)경보제약,214390,2019,60.5,1.41
234,(주)경보제약,214390,2020,60.5,1.11
235,(주)경보제약,214390,2021,60.5,1.03
236,(주)경인양행,12610,2011,43.04,21.78
237,(주)경인양행,12610,2012,43.02,21.87
238,(주)경인양행,12610,2013,38.37,18.5
239,(주)경인양행,12610,2014,37.19,12.96
240,(주)경인양행,12610,2015,37.16,10.81
241,(주)경인양행,12610,2016,36.93,9.82
242,(주)경인양행,12610,2017,35.3,7.71
243,(주)경인양행,12610,2018,35.48,9.97
244,(주)경인양행,12610,2019,34.67,9.63
245,(주)경인양행,12610,2020,33.55,3.59
246,(주)경인양행,12610,2021,33.57,3.35
247,(주)고려시멘트,198440,2014,8.1,0.06
248,(주)고려시멘트,198440,2015,6.8,0.08
249,(주)고려시멘트,198440,2016,6.8,0.04
250,(주)고려시멘트,198440,2017,79.82,0.06
251,(주)고려시멘트,198440,2018,72.05,0.77
252,(주)고려시멘트,198440,2019,58.97,0.57
253,(주)고려시멘트,198440,2020,58.3,0.37
254,(주)고려시멘트,198440,2021,42.71,0.36
255,(주)고바이오랩,348150,2020,38.56,0.44
256,(주)고바이오랩,348150,2021,33.53,2.2
257,(주)고영테크놀러지,98460,2011,17.45,23.39
258,(주)고영테크놀러지,98460,2012,18.9,17.01
259,(주)고영테크놀러지,98460,2013,18.46,17.83
260,(주)고영테크놀러지,98460,2014,18.09,38.7
261,(주)고영테크놀러지,98460,2015,18.73,37.83
262,(주)고영테크놀러지,98460,2016,18.16,40.54
263,(주)고영테크놀러지,98460,2017,17.47,52.18
264,(주)고영테크놀러지,98460,2018,21.04,54.47
265,(주)고영테크놀러지,98460,2019,20.98,61.33
266,(주)고영테크놀러지,98460,2020,20.53,65.74
267,(주)고영테크놀러지,98460,2021,20.5,65.17
268,(주)골드앤에스,35290,2011,14.93,0.54
269,(주)골드앤에스,35290,2012,12.67,1.42
270,(주)골드앤에스,35290,2013,12.61,0.18
271,(주)골드앤에스,35290,2014,19.93,0.28
272,(주)골드앤에스,35290,2015,43.97,0.95
273,(주)골드앤에스,35290,2016,48.99,0.08
274,(주)골드앤에스,35290,2017,22.87,0.16
275,(주)골드앤에스,35290,2018,12.61,0.81
276,(주)골드앤에스,35290,2020,71.86,0.69
277,(주)골드앤에스,35290,2021,71.59,0.03
278,(주)골드퍼시픽,38530,2011,17.37,11.21
279,(주)골드퍼시픽,38530,2012,16.75,11.92
280,(주)골드퍼시픽,38530,2013,9.99,9.81
281,(주)골드퍼시픽,38530,2014,21.29,8.05
282,(주)골드퍼시픽,38530,2015,7.43,0.32
283,(주)골드퍼시픽,38530,2016,7.93,0.15
284,(주)골드퍼시픽,38530,2017,16.24,0
285,(주)골드퍼시픽,38530,2018,19.15,6.04
286,(주)골드퍼시픽,38530,2019,31.02,5.39
287,(주)골드퍼시픽,38530,2020,15.87,1.83
288,(주)골드퍼시픽,38530,2021,15.31,1.95
289,(주)골프존,215000,2015,55.39,5.41
290,(주)골프존,215000,2016,53.75,7.65
291,(주)골프존,215000,2017,53.81,6.39
292,(주)골프존,215000,2018,53.71,5.32
293,(주)골프존,215000,2019,53.61,8.18
294,(주)골프존,215000,2020,53.37,8.3
295,(주)골프존,215000,2021,39.05,21.75
296,(주)골프존뉴딘홀딩스,121440,2011,63.27,2.12
297,(주)골프존뉴딘홀딩스,121440,2012,62.67,1.88
298,(주)골프존뉴딘홀딩스,121440,2013,57.7,3.06
299,(주)골프존뉴딘홀딩스,121440,2014,55.24,4.88
300,(주)골프존뉴딘홀딩스,121440,2015,67.95,2.55
301,(주)골프존뉴딘홀딩스,121440,2016,57.41,4.09
302,(주)골프존뉴딘홀딩스,121440,2017,53.89,3.66
303,(주)골프존뉴딘홀딩스,121440,2018,54.89,3.44
304,(주)골프존뉴딘홀딩스,121440,2019,55.01,2.77
305,(주)골프존뉴딘홀딩스,121440,2020,54.98,1.95
306,(주)골프존뉴딘홀딩스,121440,2021,54.92,2.06
307,(주)공구우먼,366030,2017,0,0
308,(주)공구우먼,366030,2018,0,0
309,(주)공구우먼,366030,2019,0,0
310,(주)공구우먼,366030,2020,0,0
311,(주)공구우먼,366030,2021,99.27,0
312,(주)광림,14200,2011,26,5.56
313,(주)광림,14200,2012,18.18,2.59
314,(주)광림,14200,2013,18.18,0.11
315,(주)광림,14200,2014,24.98,0.96
316,(주)광림,14200,2015,24.98,1.34
317,(주)광림,14200,2016,32.55,0.49
318,(주)광림,14200,2017,32.81,0.73
319,(주)광림,14200,2018,32.82,1.58
320,(주)광림,14200,2019,30.07,0.93
321,(주)광림,14200,2020,41.32,0.94
322,(주)광림,14200,2021,29.12,3.44
323,(주)광명전기,17040,2011,22.49,0.82
324,(주)광명전기,17040,2012,22.49,0.14
325,(주)광명전기,17040,2013,22.49,1.24
326,(주)광명전기,17040,2014,22.49,2.75
327,(주)광명전기,17040,2015,23.18,4.25
328,(주)광명전기,17040,2016,25.15,3.93
329,(주)광명전기,17040,2017,27.59,2.53
330,(주)광명전기,17040,2018,29.98,4.4
331,(주)광명전기,17040,2019,29.98,4.74
332,(주)광명전기,17040,2020,32.19,3.39
333,(주)광명전기,17040,2021,31.06,2.95
334,(주)광무,29480,2011,18.16,0.32
335,(주)광무,29480,2012,13.01,1.92
336,(주)광무,29480,2013,8.93,0.93
337,(주)광무,29480,2014,8.93,0.52
338,(주)광무,29480,2015,7.46,1.36
339,(주)광무,29480,2016,7.46,1.7
340,(주)광무,29480,2017,15.48,0.4
341,(주)광무,29480,2018,13.8,0.78
342,(주)광무,29480,2019,17.09,0.55
343,(주)광무,29480,2020,13.05,3.09
344,(주)광무,29480,2021,12.29,0.91
345,(주)광주신세계,37710,2011,62.5,15.16
346,(주)광주신세계,37710,2012,62.5,15.82
347,(주)광주신세계,37710,2013,62.5,18.69
348,(주)광주신세계,37710,2014,62.5,14.62
349,(주)광주신세계,37710,2015,62.5,13.31
350,(주)광주신세계,37710,2016,62.5,13.03
351,(주)광주신세계,37710,2017,62.5,13.14
352,(주)광주신세계,37710,2018,62.5,12.41
353,(주)광주신세계,37710,2019,62.5,12.12
354,(주)광주신세계,37710,2020,62.5,12.25
355,(주)광주신세계,37710,2021,62.5,12.4
356,(주)구스앤홈,329050,2017,0,0
357,(주)구스앤홈,329050,2018,0,0
358,(주)구스앤홈,329050,2019,78.18,0
359,(주)구스앤홈,329050,2020,0,0
360,(주)구영테크,53270,2011,73.11,20.23
361,(주)구영테크,53270,2012,73.11,20.23
362,(주)구영테크,53270,2013,70.22,17.36
363,(주)구영테크,53270,2014,51.93,0.4
364,(주)구영테크,53270,2015,50.41,0.4
365,(주)구영테크,53270,2016,51.92,2.37
366,(주)구영테크,53270,2017,51.92,1.08
367,(주)구영테크,53270,2018,50.41,1.66
368,(주)구영테크,53270,2019,46.62,2.17
369,(주)구영테크,53270,2020,46.65,2.56
370,(주)구영테크,53270,2021,44.58,1.11
371,(주)국동,5320,2011,25.53,0.11
372,(주)국동,5320,2012,25.53,0.02
373,(주)국동,5320,2013,22.42,0.62
374,(주)국동,5320,2014,21.8,1.09
375,(주)국동,5320,2015,21.76,2.59
376,(주)국동,5320,2016,19.62,1.4
377,(주)국동,5320,2017,18.9,2.02
378,(주)국동,5320,2018,18.4,2.26
379,(주)국동,5320,2019,12.5,5.24
380,(주)국동,5320,2020,9.1,1.68
381,(주)국동,5320,2021,21.92,1.04
382,(주)국보,1140,2011,36.46,0
383,(주)국보,1140,2012,36.46,0.05
384,(주)국보,1140,2013,36.46,0.01
385,(주)국보,1140,2014,36.46,0.37
386,(주)국보,1140,2015,36.46,0.4
387,(주)국보,1140,2016,34.94,0.81
388,(주)국보,1140,2017,21.08,0.19
389,(주)국보,1140,2018,21.08,3.32
390,(주)국보,1140,2019,22.53,1.85
391,(주)국보,1140,2020,10.35,0.15
392,(주)국보,1140,2021,7.81,0.23
393,(주)국보디자인,66620,2011,52.77,1.19
394,(주)국보디자인,66620,2012,48.99,2.3
395,(주)국보디자인,66620,2013,49.17,8.73
396,(주)국보디자인,66620,2014,49.91,9.09
397,(주)국보디자인,66620,2015,51.55,9.78
398,(주)국보디자인,66620,2016,51.92,11.64
399,(주)국보디자인,66620,2017,52.02,8.06
400,(주)국보디자인,66620,2018,52.41,12.46
401,(주)국보디자인,66620,2019,52.72,12.56
402,(주)국보디자인,66620,2020,53.14,11.4
403,(주)국보디자인,66620,2021,53.14,11.42
404,(주)국순당,43650,2011,48.13,3.57
405,(주)국순당,43650,2012,48.07,1.04
406,(주)국순당,43650,2013,43.71,0.63
407,(주)국순당,43650,2014,43.74,1.85
408,(주)국순당,43650,2015,43.69,2.44
409,(주)국순당,43650,2016,42.01,3.14
410,(주)국순당,43650,2017,42.01,3.85
411,(주)국순당,43650,2018,42.01,2.71
412,(주)국순당,43650,2019,42.01,2.91
413,(주)국순당,43650,2020,42.83,0.16
414,(주)국순당,43650,2021,42.83,1.84
415,(주)국영지앤엠,6050,2011,16.39,0.94
416,(주)국영지앤엠,6050,2012,16.76,0.52
417,(주)국영지앤엠,6050,2013,14.7,0.53
418,(주)국영지앤엠,6050,2014,14.42,0.95
419,(주)국영지앤엠,6050,2015,13.88,0.25
420,(주)국영지앤엠,6050,2016,13.56,0.54
421,(주)국영지앤엠,6050,2017,15.19,3.23
422,(주)국영지앤엠,6050,2018,15.19,3.24
423,(주)국영지앤엠,6050,2019,14.37,2.97
424,(주)국영지앤엠,6050,2020,13.64,2.84
425,(주)국영지앤엠,6050,2021,14.23,4.55
426,(주)국전약품,307750,2018,9.98,0.1
427,(주)국전약품,307750,2019,9.98,0
428,(주)국전약품,307750,2020,80.77,0.01
429,(주)국전약품,307750,2021,61.99,0.87
430,(주)그래디언트,35080,2011,39.03,3.82
431,(주)그래디언트,35080,2012,39.04,1.27
432,(주)그래디언트,35080,2013,36.4,16.57
433,(주)그래디언트,35080,2014,35.09,25.13
434,(주)그래디언트,35080,2015,35.36,32.35
435,(주)그래디언트,35080,2016,35.71,26.19
436,(주)그래디언트,35080,2017,36,25.36
437,(주)그래디언트,35080,2018,36.1,20.6
438,(주)그래디언트,35080,2019,36.11,15.73
439,(주)그래디언트,35080,2020,28.58,8.5
440,(주)그래디언트,35080,2021,28.22,5.64
441,(주)그리티,204020,2011,0,0
442,(주)그리티,204020,2012,0,0
443,(주)그리티,204020,2013,0,0
444,(주)그리티,204020,2014,0,0
445,(주)그리티,204020,2015,0,0
446,(주)그리티,204020,2016,0,0
