,회사명,거래소코드,회계년도,토빈Q
0,(주)CMG제약,058820,2011,1.5796691531041085
1,(주)CMG제약,058820,2012,2.0504080376780607
2,(주)CMG제약,058820,2013,1.5537094645080034
3,(주)CMG제약,058820,2014,1.5942250655546708
4,(주)CMG제약,058820,2015,3.2754876468662335
5,(주)CMG제약,058820,2016,2.779702657852347
6,(주)CMG제약,058820,2017,6.3520324426752
7,(주)CMG제약,058820,2018,4.230112585465206
8,(주)CMG제약,058820,2019,2.939063677114015
9,(주)DB하이텍,000990,2011,1.0053847046091688
10,(주)DB하이텍,000990,2012,0.9923584629398169
11,(주)DB하이텍,000990,2013,1.0373515127354083
12,(주)DB하이텍,000990,2014,1.102824583094283
13,(주)DB하이텍,000990,2015,1.3571364415152025
14,(주)DB하이텍,000990,2016,1.3670044640606154
15,(주)DB하이텍,000990,2017,1.0903397757023607
16,(주)DB하이텍,000990,2018,0.9392724101318717
17,(주)DB하이텍,000990,2019,1.3606630120085337
18,(주)DB하이텍,000990,2020,1.7643257602114961
19,(주)DB하이텍,000990,2021,2.297555704704184
20,(주)ES큐브,050120,2011,1.195901417004428
21,(주)ES큐브,050120,2012,1.9760766647090877
22,(주)ES큐브,050120,2013,1.337467536183927
23,(주)ES큐브,050120,2014,1.0168102450519358
24,(주)ES큐브,050120,2015,1.160981238425984
25,(주)ES큐브,050120,2016,0.9685069660305738
26,(주)ES큐브,050120,2017,1.0339991606364027
27,(주)ES큐브,050120,2018,0.8793869889465259
28,(주)ES큐브,050120,2019,1.0021342035566616
29,(주)ES큐브,050120,2020,1.0126428464238215
30,(주)ES큐브,050120,2021,0.9511005859311142
31,(주)HJ중공업,097230,2011,0.8769618865594286
32,(주)HJ중공업,097230,2012,0.8337945946040549
33,(주)HJ중공업,097230,2013,0.8761451876692913
34,(주)HJ중공업,097230,2014,0.828017146156181
35,(주)HJ중공업,097230,2015,0.8374750077866148
36,(주)HJ중공업,097230,2016,0.897488773228543
37,(주)HJ중공업,097230,2017,0.9464382559406465
38,(주)HJ중공업,097230,2019,1.0605786919795064
39,(주)HJ중공업,097230,2020,1.155257239504434
40,(주)HJ중공업,097230,2021,1.0979733671276133
41,(주)MH에탄올,023150,2011,0.8257738869083516
42,(주)MH에탄올,023150,2012,0.8511133165522464
43,(주)MH에탄올,023150,2013,0.806346008466935
44,(주)MH에탄올,023150,2014,1.0715669855180296
45,(주)MH에탄올,023150,2015,1.066972861023485
46,(주)MH에탄올,023150,2016,0.9180797950800801
47,(주)MH에탄올,023150,2017,0.8823032981085137
48,(주)MH에탄올,023150,2018,0.8882028395120939
49,(주)MH에탄올,023150,2019,0.9251895003290009
50,(주)MH에탄올,023150,2020,0.9657073859599775
51,(주)MH에탄올,023150,2021,0.9769111318939193
52,(주)SH에너지화학,002360,2011,0.7292930253381841
53,(주)SH에너지화학,002360,2012,1.4299883397706261
54,(주)SH에너지화학,002360,2013,1.1154047786189951
55,(주)SH에너지화학,002360,2014,1.7888041563351276
56,(주)SH에너지화학,002360,2015,1.5852492139808747
57,(주)SH에너지화학,002360,2016,1.528839753952334
58,(주)SH에너지화학,002360,2017,1.408801223702531
59,(주)SH에너지화학,002360,2018,1.1113518920720873
60,(주)SH에너지화학,002360,2019,1.1082213263368026
61,(주)SH에너지화학,002360,2020,1.011448321855694
62,(주)SH에너지화학,002360,2021,1.1054549010157717
63,(주)SIMPAC,009160,2011,0.9472758852109974
64,(주)SIMPAC,009160,2012,1.0707305782908634
65,(주)SIMPAC,009160,2013,0.9848106335719329
66,(주)SIMPAC,009160,2014,0.8383336648083599
67,(주)SIMPAC,009160,2015,0.8542491090079215
68,(주)SIMPAC,009160,2016,0.7524188402785176
69,(주)SIMPAC,009160,2017,0.6830906501221194
70,(주)SIMPAC,009160,2018,0.5971180119931766
71,(주)SIMPAC,009160,2019,0.6298520265065303
72,(주)SIMPAC,009160,2020,0.5889885738737366
73,(주)SIMPAC,009160,2021,0.8758401251319498
74,(주)SNT에너지,100840,2019,0.6891522337853442
75,(주)SNT에너지,100840,2020,0.6433181065629862
76,(주)SNT에너지,100840,2021,0.6890946727548065
77,(주)SNT홀딩스,036530,2011,0.4725180978967258
78,(주)SNT홀딩스,036530,2012,0.4345517702847295
79,(주)SNT홀딩스,036530,2013,0.4813372390735214
80,(주)SNT홀딩스,036530,2014,0.4834830106549998
81,(주)SNT홀딩스,036530,2015,0.489493235581511
82,(주)SNT홀딩스,036530,2016,0.4195356213017055
83,(주)SNT홀딩스,036530,2017,0.40937038167016376
84,(주)SNT홀딩스,036530,2018,0.3788804726697977
85,(주)SNT홀딩스,036530,2019,0.38238462053266675
86,(주)SNT홀딩스,036530,2020,0.3941188050342038
87,(주)SNT홀딩스,036530,2021,0.37020473467364357
88,(주)STX,011810,2011,0.7770471503169076
89,(주)STX,011810,2012,0.7999270064169753
90,(주)STX,011810,2014,0.9354997687334363
91,(주)STX,011810,2015,1.0256276890904843
92,(주)STX,011810,2016,1.6187527583936336
93,(주)STX,011810,2017,1.289489920658697
94,(주)STX,011810,2018,1.331164690158665
95,(주)STX,011810,2019,1.1792862961684107
96,(주)STX,011810,2020,1.0647160831170261
97,(주)STX,011810,2021,0.9871293495339045
98,(주)TCC스틸,002710,2011,0.6890671530449343
99,(주)TCC스틸,002710,2012,0.7335684527373026
100,(주)TCC스틸,002710,2013,0.733997030155464
101,(주)TCC스틸,002710,2014,0.7517806456397396
102,(주)TCC스틸,002710,2015,0.8890738955424519
103,(주)TCC스틸,002710,2016,0.8282220648563957
104,(주)TCC스틸,002710,2017,0.7933432430591791
105,(주)TCC스틸,002710,2018,0.7759832788319533
106,(주)TCC스틸,002710,2019,0.8212632047041826
107,(주)TCC스틸,002710,2020,0.973266043317689
108,(주)TCC스틸,002710,2021,1.0767441710599974
109,(주)가비아,079940,2011,0.9438822032797142
110,(주)가비아,079940,2012,0.9625928871083377
111,(주)가비아,079940,2013,0.9442914389880297
112,(주)가비아,079940,2014,1.0845340011522966
113,(주)가비아,079940,2015,0.9870001236372872
114,(주)가비아,079940,2016,0.8580969480341282
115,(주)가비아,079940,2017,0.8284747726884644
116,(주)가비아,079940,2018,0.8133724661839975
117,(주)가비아,079940,2019,0.8520187545046077
118,(주)가비아,079940,2020,1.0005686947051555
119,(주)가비아,079940,2021,0.9288794799345773
120,(주)강스템바이오텍,217730,2017,4.5825346694893545
121,(주)강스템바이오텍,217730,2018,5.598411837959217
122,(주)강스템바이오텍,217730,2019,1.8409998009832433
123,(주)강스템바이오텍,217730,2020,2.6206468171185198
124,(주)강스템바이오텍,217730,2021,1.600706892435436
125,(주)강원랜드,035250,2011,2.385210765307375
126,(주)강원랜드,035250,2012,2.3877735801203377
127,(주)강원랜드,035250,2013,2.3601675474747084
128,(주)강원랜드,035250,2014,2.2102317202413517
129,(주)강원랜드,035250,2015,2.4757511453849728
130,(주)강원랜드,035250,2016,2.1646116120793897
131,(주)강원랜드,035250,2017,2.0198290613261545
132,(주)강원랜드,035250,2018,1.8092818986236445
133,(주)강원랜드,035250,2019,1.601864413804472
134,(주)강원랜드,035250,2020,1.4843080720825381
135,(주)강원랜드,035250,2021,1.4906700492306395
136,(주)강원에너지,114190,2015,0.8321005394532159
137,(주)강원에너지,114190,2016,0.7929702845076515
138,(주)강원에너지,114190,2017,0.8934701537123111
139,(주)강원에너지,114190,2018,0.9246759386079105
140,(주)강원에너지,114190,2019,1.790171064082947
141,(주)강원에너지,114190,2020,1.8581167719525915
142,(주)갤럭시아에스엠,011420,2011,1.2066114599494626
143,(주)갤럭시아에스엠,011420,2012,1.1154311645320756
144,(주)갤럭시아에스엠,011420,2013,1.514412907796504
145,(주)갤럭시아에스엠,011420,2014,1.200410033308685
146,(주)갤럭시아에스엠,011420,2015,1.7021342856883295
147,(주)갤럭시아에스엠,011420,2016,1.1947483640149785
148,(주)갤럭시아에스엠,011420,2017,1.8199649486428247
149,(주)갤럭시아에스엠,011420,2018,1.578369018009053
150,(주)갤럭시아에스엠,011420,2019,1.7635683241436975
151,(주)경농,002100,2011,0.556022687719025
152,(주)경농,002100,2012,0.697083596040444
153,(주)경농,002100,2013,0.6632799750063212
154,(주)경농,002100,2014,0.7704409717844966
155,(주)경농,002100,2015,0.8020873086938641
156,(주)경농,002100,2016,0.8295926451911272
157,(주)경농,002100,2017,0.8197911556675952
158,(주)경농,002100,2018,1.0608917414699879
159,(주)경농,002100,2019,1.1156891996265115
160,(주)경농,002100,2020,1.1288943636237063
