,회사명,거래소코드,회계년도,영업활동으로인한현금흐름(간접법)(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원)
0,(주)CMG제약,058820,2011,-2560438.0,-1773162.0,3038758.0
1,(주)CMG제약,058820,2012,-1572581.0,-30265984.0,35360511.0
2,(주)CMG제약,058820,2013,-3939013.0,21135376.0,-156948.0
3,(주)CMG제약,058820,2014,724893.0,-13611109.0,5451.0
4,(주)CMG제약,058820,2015,2410205.0,-8670780.0,822.0
5,(주)CMG제약,058820,2016,3321352.0,-56094458.0,52359861.0
6,(주)CMG제약,058820,2017,1948086.0,-467123.0,171180.0
7,(주)CMG제약,058820,2018,886779.0,8779219.0,0.0
8,(주)CMG제약,058820,2019,2823387.0,-70595614.0,72877952.0
11,(주)DB하이텍,000990,2011,60749180.0,-23347990.0,-88776492.0
12,(주)DB하이텍,000990,2012,73876619.0,-49272120.0,-22718301.0
13,(주)DB하이텍,000990,2013,28380938.0,-14425742.0,-18089531.0
14,(주)DB하이텍,000990,2014,48078139.0,-43635104.0,1205904.0
15,(주)DB하이텍,000990,2015,152722221.0,-12209258.0,-71767078.0
16,(주)DB하이텍,000990,2016,248312191.0,-121031883.0,-118529941.0
17,(주)DB하이텍,000990,2017,183124083.0,-101904145.0,-85790774.0
18,(주)DB하이텍,000990,2018,180343534.0,-117302225.0,-50894632.0
19,(주)DB하이텍,000990,2019,161078351.0,-123954602.0,-70941329.0
20,(주)DB하이텍,000990,2020,309982630.0,-265310218.0,-75974562.0
21,(주)DB하이텍,000990,2021,393129115.0,-252766500.0,-4884073.0
22,(주)ES큐브,050120,2011,1107724.0,-2460979.0,100000.0
23,(주)ES큐브,050120,2012,5224759.0,-4486091.0,302892.0
24,(주)ES큐브,050120,2013,2590980.0,-14873142.0,18283521.0
25,(주)ES큐브,050120,2014,2889415.0,7970827.0,109920.0
26,(주)ES큐브,050120,2015,-2778236.0,399044.0,2949998.0
27,(주)ES큐브,050120,2016,1240854.0,-23005177.0,37786301.0
28,(주)ES큐브,050120,2017,2310978.0,-6850093.0,-1313460.0
29,(주)ES큐브,050120,2018,-1347532.0,-1328332.0,4892298.0
30,(주)ES큐브,050120,2019,75624795.0,-18643079.0,27275835.0
31,(주)ES큐브,050120,2020,-37420433.0,179954.0,-62947856.0
32,(주)ES큐브,050120,2021,69284861.0,-45645.0,38303932.0
33,(주)HJ중공업,097230,2011,-401788000.0,41457000.0,94035000.0
34,(주)HJ중공업,097230,2012,-84391000.0,39701000.0,-67579000.0
35,(주)HJ중공업,097230,2013,-321347000.0,-52839000.0,237949000.0
36,(주)HJ중공업,097230,2014,-238336000.0,204078000.0,-211347000.0
37,(주)HJ중공업,097230,2015,257547000.0,-32960000.0,-418692000.0
38,(주)HJ중공업,097230,2016,-36763000.0,-85380000.0,91239000.0
39,(주)HJ중공업,097230,2017,385461000.0,198422000.0,-572275000.0
40,(주)HJ중공업,097230,2018,420195000.0,-2020000.0,-318234000.0
41,(주)HJ중공업,097230,2019,155934000.0,36099000.0,-296104000.0
