,회사명,거래소코드,회계년도,토빈Q
0,(주)CMG제약,058820,2011,1240.4781298051748
1,(주)CMG제약,058820,2012,1604.0289484658333
2,(주)CMG제약,058820,2013,1430.1528727810241
3,(주)CMG제약,058820,2014,1438.2602402900336
4,(주)CMG제약,058820,2015,3103.619219019691
5,(주)CMG제약,058820,2016,2690.8364514439363
6,(주)CMG제약,058820,2017,6246.048089119473
7,(주)CMG제약,058820,2018,4139.295608152413
8,(주)CMG제약,058820,2019,2876.2640553214774
9,(주)DB하이텍,000990,2011,263.0505650239891
10,(주)DB하이텍,000990,2012,244.3635848203885
11,(주)DB하이텍,000990,2013,231.61830114822732
12,(주)DB하이텍,000990,2014,226.2582228603096
13,(주)DB하이텍,000990,2015,615.8981378687766
14,(주)DB하이텍,000990,2016,714.1529779136923
15,(주)DB하이텍,000990,2017,549.4531790056956
16,(주)DB하이텍,000990,2018,463.3061091554301
17,(주)DB하이텍,000990,2019,953.0966661355753
18,(주)DB하이텍,000990,2020,1438.838904243099
19,(주)DB하이텍,000990,2021,2011.4511433831024
20,(주)ES큐브,050120,2011,903.6188234078564
21,(주)ES큐브,050120,2012,1837.456809219894
22,(주)ES큐브,050120,2013,1236.4787375455244
23,(주)ES큐브,050120,2014,893.5716831547381
24,(주)ES큐브,050120,2015,1053.8287001791432
25,(주)ES큐브,050120,2016,650.5765290792742
26,(주)ES큐브,050120,2017,721.9629834723036
27,(주)ES큐브,050120,2018,509.0207622911766
28,(주)ES큐브,050120,2019,162.55459307928024
29,(주)ES큐브,050120,2020,110.76036932380391
30,(주)ES큐브,050120,2021,58.99622845377361
31,(주)HJ중공업,097230,2011,142.99897109361234
32,(주)HJ중공업,097230,2012,95.0491550180081
33,(주)HJ중공업,097230,2013,122.13488554517109
34,(주)HJ중공업,097230,2014,71.89719964378689
35,(주)HJ중공업,097230,2015,69.63381110793443
36,(주)HJ중공업,097230,2016,68.61983795190075
37,(주)HJ중공업,097230,2017,84.51172690510631
38,(주)HJ중공업,097230,2019,160.65845323173383
39,(주)HJ중공업,097230,2020,301.9747080700411
40,(주)HJ중공업,097230,2021,279.9085010095437
41,(주)MH에탄올,023150,2011,144.37816973292965
42,(주)MH에탄올,023150,2012,147.0743608553382
43,(주)MH에탄올,023150,2013,160.77983240226737
44,(주)MH에탄올,023150,2014,689.1098227471966
45,(주)MH에탄올,023150,2015,799.9899959051119
46,(주)MH에탄올,023150,2016,797.136032865396
47,(주)MH에탄올,023150,2017,96.68745642144577
48,(주)MH에탄올,023150,2018,97.05962852855619
49,(주)MH에탄올,023150,2019,101.8576643797724
50,(주)MH에탄올,023150,2020,145.37929216658787
51,(주)MH에탄올,023150,2021,165.3441153506961
52,(주)SH에너지화학,002360,2011,352.74191333190845
53,(주)SH에너지화학,002360,2012,1056.085051509754
54,(주)SH에너지화학,002360,2013,745.6943250370799
55,(주)SH에너지화학,002360,2014,1549.7092549131148
56,(주)SH에너지화학,002360,2015,1378.7872973980443
57,(주)SH에너지화학,002360,2016,1365.1346687994007
58,(주)SH에너지화학,002360,2017,1268.3434727488604
59,(주)SH에너지화학,002360,2018,972.2838640373845
60,(주)SH에너지화학,002360,2019,910.5850932155932
61,(주)SH에너지화학,002360,2020,778.646270732772
62,(주)SH에너지화학,002360,2021,872.551068871578
63,(주)SIMPAC,009160,2011,491.16282728197353
64,(주)SIMPAC,009160,2012,660.665019274678
65,(주)SIMPAC,009160,2013,562.1375615441806
66,(주)SIMPAC,009160,2014,412.47745660127583
67,(주)SIMPAC,009160,2015,403.398355238905
68,(주)SIMPAC,009160,2016,328.1878290167782
69,(주)SIMPAC,009160,2017,315.28588797884896
70,(주)SIMPAC,009160,2018,235.5911532333634
71,(주)SIMPAC,009160,2019,279.8352905785996
72,(주)SIMPAC,009160,2020,218.68273329908374
73,(주)SIMPAC,009160,2021,481.46560567795746
74,(주)SNT에너지,100840,2019,423.04226532453913
